=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: NG1
分析時間: 2025-07-18 14:43:09
圖片數量: 24

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=137.02, 標準差=9.39
  G通道: 均值=162.68, 標準差=6.81
  B通道: 均值=152.27, 標準差=7.85

HSV特徵:
  飽和度: 均值=47.53, 標準差=7.74
  亮度: 均值=165.65, 標準差=7.01
  主導色調: 均值=157.83°, 標準差=38.46°

色彩豐富度指數: 均值=44.95, 標準差=4.33

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_3_roi.png,150.49,172.24,149.77,50.66,174.15,86.00,50.91,395720
10_3_roi.png,136.26,155.32,150.77,37.18,158.45,180.00,43.43,395720
11_3_roi.png,124.59,155.78,139.22,56.98,157.95,136.00,41.00,395720
12_3_roi.png,121.65,149.42,136.08,52.40,151.27,136.00,44.39,395720
13_3_roi.png,130.29,162.29,146.44,54.45,164.11,136.00,39.80,395720
14_3_roi.png,131.20,167.49,148.50,60.36,169.60,136.00,36.22,395720
15_3_roi.png,144.24,166.66,163.59,40.52,170.85,180.00,41.26,395720
16_3_roi.png,153.47,170.86,171.47,38.01,178.20,240.00,52.33,395720
17_3_roi.png,153.95,178.73,149.13,56.32,180.02,88.00,48.92,395720
18_3_roi.png,130.50,163.83,150.87,57.13,166.76,192.00,46.92,395720
19_3_roi.png,141.10,158.66,156.53,34.71,162.29,180.00,45.56,395720
1_3_roi.png,131.53,156.45,148.88,45.82,159.41,180.00,46.61,395720
20_3_roi.png,159.45,171.55,161.87,33.62,174.86,60.00,46.62,395720
21_3_roi.png,133.60,156.82,149.64,42.32,159.36,180.00,42.50,395720
22_3_roi.png,133.57,157.56,154.28,44.20,161.15,180.00,43.65,395720
23_3_roi.png,141.81,166.35,158.00,42.52,169.65,180.00,38.74,395720
2_3_roi.png,133.01,169.41,150.62,58.77,171.15,136.00,36.75,395720
3_3_roi.png,138.56,166.32,158.15,48.65,169.83,174.00,47.51,395720
4_3_roi.png,136.08,161.42,156.43,45.38,164.92,174.00,47.60,395720
5_3_roi.png,135.44,163.30,155.16,48.51,166.40,172.00,50.18,395720
6_3_roi.png,134.85,159.32,153.85,43.63,161.96,174.00,48.97,395720
7_3_roi.png,135.36,163.11,153.50,48.75,165.87,172.00,45.90,395720
8_3_roi.png,133.63,156.41,154.90,42.80,160.52,180.00,50.00,395720
9_3_roi.png,123.75,154.99,136.79,57.10,156.75,136.00,43.03,395720
