=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OK1
分析時間: 2025-07-18 14:37:02
圖片數量: 181

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=145.71, 標準差=8.82
  G通道: 均值=173.03, 標準差=6.06
  B通道: 均值=142.77, 標準差=7.21

HSV特徵:
  飽和度: 均值=54.10, 標準差=9.47
  亮度: 均值=173.81, 標準差=5.96
  主導色調: 均值=104.18°, 標準差=17.58°

色彩豐富度指數: 均值=44.46, 標準差=3.35

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_3_roi.png,155.14,182.39,139.37,64.47,182.71,92.00,43.59,395720
100_3_roi.png,158.29,171.53,148.91,41.81,173.27,86.00,47.64,395720
101_3_roi.png,138.76,167.35,140.86,51.58,168.00,110.00,45.53,395720
102_3_roi.png,136.52,166.19,139.41,54.11,166.97,110.00,51.72,395720
103_3_roi.png,141.36,167.24,148.82,43.35,168.04,160.00,42.87,395720
104_3_roi.png,135.22,165.29,136.69,55.88,165.89,110.00,45.74,395720
105_3_roi.png,141.59,166.68,148.87,43.87,168.00,160.00,50.13,395720
106_3_roi.png,136.90,168.28,138.33,57.74,168.96,110.00,51.60,395720
107_3_roi.png,155.54,176.72,144.08,52.95,177.38,92.00,47.36,395720
108_3_roi.png,153.34,178.57,143.66,56.40,179.24,92.00,47.39,395720
109_3_roi.png,133.92,174.15,152.55,60.15,174.88,146.00,34.65,395720
10_3_roi.png,150.20,185.52,143.89,66.07,185.85,98.00,43.98,395720
110_3_roi.png,148.88,167.43,149.36,39.41,168.76,96.00,40.02,395720
111_3_roi.png,140.37,166.47,143.38,47.23,167.38,110.00,44.20,395720
112_3_roi.png,155.25,175.50,147.29,48.92,176.44,92.00,42.69,395720
113_3_roi.png,138.25,169.29,140.02,54.96,169.83,110.00,45.74,395720
114_3_roi.png,154.48,179.89,145.58,55.10,180.63,92.00,47.75,395720
115_3_roi.png,139.33,163.89,146.36,42.85,164.91,160.00,40.30,395720
116_3_roi.png,131.49,168.28,122.61,74.83,168.66,102.00,43.56,395720
117_3_roi.png,153.87,177.55,146.04,51.63,178.27,92.00,45.44,395720
118_3_roi.png,137.30,166.10,142.38,50.09,167.00,110.00,43.04,395720
119_3_roi.png,153.83,184.49,144.76,62.62,184.95,88.00,41.97,395720
11_3_roi.png,136.01,168.60,137.39,57.72,169.08,110.00,40.78,395720
120_3_roi.png,152.97,180.79,142.63,59.31,181.49,92.00,43.94,395720
121_3_roi.png,157.70,174.49,152.54,40.30,175.69,92.00,43.11,395720
122_3_roi.png,135.86,167.47,133.96,60.23,167.92,106.00,44.17,395720
123_3_roi.png,137.58,168.67,139.60,56.19,169.38,110.00,49.81,395720
124_3_roi.png,135.30,169.18,135.31,60.81,169.57,110.00,40.89,395720
125_3_roi.png,154.70,180.17,146.05,54.52,180.77,92.00,43.02,395720
126_3_roi.png,154.18,180.26,144.90,56.46,181.03,92.00,43.72,395720
127_3_roi.png,150.21,182.39,145.12,59.69,182.77,100.00,39.56,395720
128_3_roi.png,136.70,170.85,136.53,60.92,171.37,110.00,42.56,395720
129_3_roi.png,137.68,167.00,140.24,52.31,167.43,110.00,47.74,395720
12_3_roi.png,152.39,174.58,145.39,50.22,175.40,92.00,45.68,395720
130_3_roi.png,140.44,165.04,144.90,43.95,166.02,160.00,47.63,395720
131_3_roi.png,154.20,173.98,150.37,42.44,175.04,92.00,44.59,395720
