=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OTP3
分析時間: 2025-07-30 15:09:51
圖片數量: 17

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=151.26, 標準差=3.99
  G通道: 均值=180.47, 標準差=5.78
  B通道: 均值=176.16, 標準差=10.42

HSV特徵:
  飽和度: 均值=47.68, 標準差=6.92
  亮度: 均值=184.91, 標準差=6.64
  主導色調: 均值=187.41°, 標準差=17.00°

色彩豐富度指數: 均值=35.77, 標準差=5.80

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_3_roi.png,155.82,191.32,194.85,54.06,197.86,192.00,28.06,387076
10_3_roi.png,144.97,177.49,161.44,53.98,180.43,192.00,40.55,387076
11_3_roi.png,156.48,178.92,175.12,40.27,183.52,192.00,38.90,387076
12_3_roi.png,157.50,192.99,197.74,53.93,199.95,192.00,24.80,387076
13_3_roi.png,152.53,177.70,174.67,41.96,182.52,196.00,44.37,387076
14_3_roi.png,148.44,182.49,179.73,53.46,187.15,190.00,34.06,387076
15_3_roi.png,151.90,170.77,160.03,37.43,174.64,120.00,44.70,387076
16_3_roi.png,144.96,179.19,166.82,53.96,182.14,190.00,38.17,387076
1_3_roi.png,148.06,182.38,178.84,52.45,186.19,190.00,28.17,387076
2_3_roi.png,152.58,179.94,180.65,43.83,184.54,190.00,34.73,387076
3_3_roi.png,152.83,186.13,187.98,51.49,191.69,190.00,28.09,387076
4_3_roi.png,154.09,176.42,174.33,39.41,180.74,190.00,39.97,387076
5_3_roi.png,155.79,174.31,169.33,36.10,177.98,196.00,37.59,387076
6_3_roi.png,145.56,180.86,168.76,56.67,184.18,190.00,35.99,387076
7_3_roi.png,151.21,172.82,168.34,39.32,177.30,196.00,42.50,387076
8_3_roi.png,146.96,178.92,170.66,50.72,182.23,190.00,35.26,387076
9_3_roi.png,151.71,185.29,185.47,51.57,190.46,190.00,32.14,387076
