=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OK2
分析時間: 2025-07-18 14:46:20
圖片數量: 181

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=106.73, 標準差=5.72
  G通道: 均值=127.77, 標準差=5.14
  B通道: 均值=111.91, 標準差=3.94

HSV特徵:
  飽和度: 均值=50.70, 標準差=7.12
  亮度: 均值=129.43, 標準差=4.74
  主導色調: 均值=123.52°, 標準差=27.00°

色彩豐富度指數: 均值=43.41, 標準差=3.71

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_4_roi.png,111.73,133.49,109.41,57.25,134.52,100.00,44.51,283712
100_4_roi.png,115.50,128.26,112.31,41.98,129.98,92.00,42.91,283712
101_4_roi.png,103.29,123.20,114.27,46.67,125.45,160.00,50.17,283712
102_4_roi.png,102.00,121.91,112.62,47.58,124.34,160.00,44.83,283712
103_4_roi.png,104.27,120.61,116.23,40.20,123.65,160.00,44.72,283712
104_4_roi.png,99.52,121.40,109.46,50.09,123.00,138.00,43.61,283712
105_4_roi.png,106.75,123.37,119.62,40.40,127.01,160.00,49.77,283712
106_4_roi.png,102.16,123.86,111.54,50.41,125.93,138.00,47.14,283712
107_4_roi.png,112.55,131.34,111.92,50.74,132.91,96.00,47.14,283712
108_4_roi.png,111.12,132.76,110.90,54.70,133.95,100.00,41.90,283712
109_4_roi.png,98.55,129.01,118.25,62.72,130.66,160.00,39.30,283712
10_4_roi.png,110.34,136.84,114.42,59.36,137.71,100.00,37.48,283712
110_4_roi.png,107.54,123.44,112.05,42.02,125.46,102.00,37.95,283712
111_4_roi.png,104.08,121.31,114.22,41.45,123.86,160.00,43.47,283712
112_4_roi.png,112.58,131.17,113.12,49.35,132.68,100.00,44.62,283712
113_4_roi.png,102.21,123.96,111.49,50.15,125.88,160.00,44.88,283712
114_4_roi.png,113.69,135.64,114.35,53.19,137.04,100.00,46.53,283712
115_4_roi.png,103.07,119.46,114.86,39.67,122.13,160.00,41.57,283712
116_4_roi.png,97.45,125.66,101.14,65.02,126.47,110.00,41.19,283712
117_4_roi.png,111.45,131.37,112.67,49.41,132.65,100.00,43.71,283712
118_4_roi.png,102.95,121.98,113.94,44.58,124.31,160.00,42.97,283712
119_4_roi.png,111.00,135.89,112.33,59.50,136.77,100.00,38.72,283712
11_4_roi.png,100.49,122.99,109.27,52.38,124.74,138.00,42.28,283712
120_4_roi.png,109.97,133.02,109.43,55.74,133.88,100.00,37.31,283712
121_4_roi.png,113.60,129.46,114.99,42.22,131.23,96.00,42.01,283712
122_4_roi.png,101.16,124.12,108.58,53.20,125.65,138.00,43.74,283712
123_4_roi.png,102.99,125.09,112.97,52.28,127.52,160.00,51.16,283712
124_4_roi.png,99.15,122.61,107.98,53.39,123.92,138.00,42.59,283712
125_4_roi.png,111.51,132.53,111.63,51.24,133.48,100.00,40.48,283712
126_4_roi.png,112.23,134.86,111.17,55.60,135.68,100.00,37.79,283712
127_4_roi.png,108.73,133.62,113.33,55.56,134.57,110.00,39.38,283712
128_4_roi.png,100.06,123.98,108.14,54.18,125.37,138.00,42.49,283712
129_4_roi.png,102.48,122.50,112.11,47.15,124.58,160.00,48.10,283712
12_4_roi.png,110.87,131.06,111.87,50.75,132.33,100.00,45.85,283712
130_4_roi.png,104.80,120.91,115.44,38.70,123.45,160.00,45.69,283712
131_4_roi.png,111.99,129.61,114.58,43.71,131.15,96.00,42.87,283712
132_4_roi.png,115.17,135.12,113.39,52.20,136.44,96.00,44.42,283712
133_4_roi.png,100.49,125.31,107.84,56.46,126.62,138.00,42.26,283712
134_4_roi.png,113.42,134.11,112.16,52.89,135.09,96.00,39.56,283712
135_4_roi.png,101.17,125.40,108.39,54.95,126.68,138.00,43.82,283712
136_4_roi.png,102.74,121.32,113.70,44.46,123.79,160.00,41.66,283712
137_4_roi.png,107.20,134.84,116.17,57.87,135.73,150.00,36.07,283712
138_4_roi.png,112.45,132.32,111.52,51.45,133.68,100.00,42.83,283712
139_4_roi.png,112.68,134.86,109.90,57.42,135.82,100.00,41.85,283712
13_4_roi.png,111.44,132.83,111.39,54.00,134.06,100.00,41.94,283712
140_4_roi.png,111.68,136.48,114.97,55.68,137.50,100.00,40.47,283712
141_4_roi.png,99.60,125.26,107.08,59.14,126.78,110.00,43.57,283712
142_4_roi.png,99.51,119.62,109.59,47.86,121.62,160.00,39.30,283712
143_4_roi.png,100.73,126.06,105.83,59.08,127.18,110.00,43.22,283712
144_4_roi.png,112.83,136.73,111.73,58.37,137.62,100.00,39.11,283712
145_4_roi.png,99.63,121.26,110.58,50.14,123.22,160.00,44.22,283712
146_4_roi.png,109.33,136.54,121.79,54.33,137.67,160.00,35.49,283712
147_4_roi.png,112.45,129.31,114.85,43.99,131.31,100.00,42.03,283712
148_4_roi.png,102.26,123.49,111.70,49.29,125.63,160.00,45.76,283712
149_4_roi.png,112.77,129.73,115.41,44.36,131.65,96.00,44.17,283712
14_4_roi.png,100.02,124.11,108.44,55.75,125.78,138.00,45.98,283712
150_4_roi.png,111.83,137.45,113.41,59.85,138.46,100.00,41.98,283712
151_4_roi.png,106.25,115.10,115.03,28.53,119.00,206.00,40.36,283712
152_4_roi.png,114.37,135.02,112.84,53.03,136.30,100.00,44.88,283712
153_4_roi.png,113.30,126.06,119.02,34.01,128.39,160.00,33.69,283712
154_4_roi.png,111.50,132.44,111.07,52.48,133.51,100.00,40.17,283712
155_4_roi.png,100.02,121.67,109.42,49.94,123.32,138.00,40.81,283712
156_4_roi.png,100.82,120.46,111.54,47.14,122.82,160.00,36.95,283712
157_4_roi.png,99.55,122.24,108.88,51.06,123.51,138.00,40.18,283712
158_4_roi.png,100.04,121.63,109.84,49.67,123.32,160.00,38.94,283712
159_4_roi.png,112.69,135.71,113.78,53.67,136.56,100.00,37.94,283712
15_4_roi.png,98.79,124.18,106.35,57.43,125.43,138.00,41.44,283712
