=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OTP4
分析時間: 2025-07-30 15:10:52
圖片數量: 17

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=103.38, 標準差=2.83
  G通道: 均值=123.48, 標準差=3.54
  B通道: 均值=125.38, 標準差=5.92

HSV特徵:
  飽和度: 均值=52.11, 標準差=7.04
  亮度: 均值=129.50, 標準差=4.47
  主導色調: 均值=195.06°, 標準差=3.76°

色彩豐富度指數: 均值=43.94, 標準差=2.58

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_4_roi.png,106.26,130.84,136.28,58.82,138.22,196.00,41.48,283712
10_4_roi.png,99.82,121.60,118.54,54.71,126.39,196.00,44.39,283712
11_4_roi.png,106.21,121.41,122.13,44.58,126.96,196.00,44.13,283712
12_4_roi.png,107.53,132.36,139.82,60.78,141.14,196.00,39.36,283712
13_4_roi.png,105.02,122.64,124.41,46.94,128.77,196.00,47.33,283712
14_4_roi.png,100.55,123.46,124.77,57.19,129.01,196.00,44.19,283712
15_4_roi.png,106.08,118.14,118.20,37.82,123.31,180.00,48.58,283712
16_4_roi.png,100.03,122.42,122.15,55.06,127.55,196.00,45.85,283712
1_4_roi.png,100.03,123.45,124.73,56.98,128.69,196.00,40.23,283712
2_4_roi.png,103.38,122.30,126.71,50.27,128.83,196.00,44.26,283712
3_4_roi.png,103.35,126.53,132.20,58.36,134.11,196.00,41.10,283712
4_4_roi.png,106.20,122.36,124.90,45.59,128.20,196.00,43.13,283712
5_4_roi.png,106.63,121.47,121.33,41.38,126.15,196.00,42.03,283712
6_4_roi.png,98.34,123.18,119.17,60.81,127.82,196.00,47.71,283712
7_4_roi.png,104.20,118.80,121.25,44.54,125.06,196.00,45.04,283712
8_4_roi.png,101.19,122.84,124.38,54.38,128.55,196.00,45.97,283712
9_4_roi.png,102.56,125.36,130.56,57.70,132.75,196.00,42.14,283712
