==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,0,23,SC,14
1,0,23,INP,8
1,0,23,deform,1
2,0,23,SC,9
2,0,23,INP,13
2,0,23,deform,1
3,17,6,OTP,6
4,23,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,INP,0.83
1,NG,INP,0.87
2,NG,deform,1.00
3,NG,INP,0.85
4,NG,INP,0.90
5,NG,SC,0.87
6,NG,SC,0.88
7,NG,SC,0.84
8,NG,SC,0.88
9,NG,INP,0.85
10,NG,SC,0.87
11,NG,SC,0.87
12,NG,INP,0.90
13,NG,SC,0.82
14,NG,SC,0.86
15,NG,SC,0.80
16,NG,INP,0.83
17,NG,INP,0.88
18,NG,SC,0.83
19,NG,SC,0.82
20,NG,SC,0.83
21,NG,INP,0.89
22,NG,INP,0.83

==== 總體統計 ====
總樣品數,23
OK數量,0
NG數量,23
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,12,0.52
INP,10,0.43
deform,1,0.04
