==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,87,13,SC,13
2,81,19,SC,14
2,81,19,deform,5
3,77,23,OTP,23
4,96,4,OTP,4

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,SC,0.61
1,OK,-,-
2,NG,SC,0.81
3,OK,-,-
4,NG,SC,0.82
5,NG,SC,0.65
6,OK,-,-
7,OK,-,-
8,OK,-,-
9,NG,SC,0.75
10,OK,-,-
11,OK,-,-
12,NG,SC,0.70
13,NG,SC,0.83
14,NG,SC,0.55
15,OK,-,-
16,OK,-,-
17,NG,SC,0.52
18,NG,SC,0.75
19,OK,-,-
20,OK,-,-
21,OK,-,-
22,OK,-,-
23,OK,-,-
24,NG,SC,0.75
25,OK,-,-
26,OK,-,-
27,OK,-,-
28,OK,-,-
29,OK,-,-
30,OK,-,-
31,OK,-,-
32,NG,OTP,0.72
33,OK,-,-
34,OK,-,-
35,OK,-,-
36,NG,OTP,0.55
37,NG,OTP,0.65
38,NG,SC,0.59
39,OK,-,-
40,NG,OTP,0.64
41,NG,OTP,0.57
42,OK,-,-
43,NG,OTP,0.73
44,NG,OTP,0.53
45,NG,OTP,0.54
46,NG,SC,0.77
47,OK,-,-
48,OK,-,-
49,NG,SC,0.83
50,OK,-,-
51,OK,-,-
52,NG,OTP,0.53
53,OK,-,-
54,OK,-,-
55,NG,OTP,0.69
56,NG,SC,0.85
57,NG,OTP,0.57
58,NG,OTP,0.52
59,OK,-,-
60,OK,-,-
61,NG,OTP,0.68
62,NG,OTP,0.55
63,OK,-,-
64,OK,-,-
65,OK,-,-
66,OK,-,-
67,NG,OTP,0.57
68,NG,OTP,0.52
69,NG,OTP,0.53
70,OK,-,-
71,NG,SC,0.67
72,NG,SC,0.56
73,OK,-,-
74,OK,-,-
75,OK,-,-
76,NG,SC,0.64
77,NG,OTP,0.67
78,NG,SC,0.53
79,OK,-,-
80,NG,SC,0.50
81,NG,OTP,0.59
82,NG,OTP,0.58
83,NG,OTP,0.67
84,NG,SC,0.74
85,NG,SC,0.63
86,NG,OTP,0.60
87,OK,-,-
88,OK,-,-
89,NG,OTP,0.80
90,NG,SC,0.51
91,OK,-,-
92,OK,-,-
93,NG,deform,1.00
94,NG,deform,1.00
95,NG,deform,1.00
96,NG,deform,1.00
97,NG,SC,0.70
98,OK,-,-
99,NG,deform,1.00

==== 總體統計 ====
總樣品數,100
OK數量,48
NG數量,52
不良率(%),52.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,24,0.46
OTP,23,0.44
deform,5,0.10
