==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,93,23,bp,2
1,93,23,dirty,20
1,93,23,wr,1
2,88,28,bp,8
2,88,28,dirty,18
2,88,28,wr,2
3,95,21,outsc,21
4,91,25,outsc,25

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,outsc,0.53
1,NG,outsc,0.84
2,NG,dirty,0.80
3,NG,outsc,0.67
4,OK,-,-
5,NG,outsc,0.73
6,NG,dirty,0.83
7,NG,dirty,0.67
8,OK,-,-
9,OK,-,-
10,OK,-,-
11,OK,-,-
12,NG,outsc,0.68
13,NG,dirty,0.52
14,NG,dirty,0.83
15,NG,dirty,0.79
16,NG,dirty,0.82
17,OK,-,-
18,OK,-,-
19,OK,-,-
20,NG,outsc,0.82
21,OK,-,-
22,OK,-,-
23,NG,dirty,0.59
24,NG,dirty,0.50
25,NG,bp,0.73
26,NG,dirty,0.59
27,NG,outsc,0.70
28,NG,dirty,0.55
29,NG,dirty,0.87
30,NG,dirty,0.64
31,NG,outsc,0.76
32,OK,-,-
33,OK,-,-
34,OK,-,-
35,NG,bp,0.64
36,NG,dirty,0.61
37,OK,-,-
38,NG,bp,0.54
39,OK,-,-
40,NG,outsc,0.83
41,OK,-,-
42,NG,outsc,0.77
43,NG,outsc,0.80
44,NG,outsc,0.85
45,NG,outsc,0.80
46,OK,-,-
47,NG,outsc,0.60
48,NG,outsc,0.83
49,NG,outsc,0.75
50,OK,-,-
51,NG,outsc,0.91
52,NG,outsc,0.71
53,NG,outsc,0.82
54,NG,outsc,0.80
55,OK,-,-
56,OK,-,-
57,NG,outsc,0.72
58,NG,dirty,0.85
59,NG,outsc,0.72
60,NG,outsc,0.86
61,NG,bp,0.63
62,NG,outsc,0.84
63,OK,-,-
64,NG,outsc,0.83
65,OK,-,-
66,NG,dirty,0.58
67,NG,dirty,0.74
68,NG,dirty,0.68
69,NG,outsc,0.87
70,OK,-,-
71,OK,-,-
72,OK,-,-
73,OK,-,-
74,OK,-,-
75,NG,dirty,0.62
76,NG,dirty,0.70
77,OK,-,-
78,NG,outsc,0.56
79,NG,dirty,0.87
80,NG,outsc,0.63
81,NG,outsc,0.82
82,NG,dirty,0.64
83,OK,-,-
84,OK,-,-
85,NG,wr,0.73
86,OK,-,-
87,NG,wr,0.67
88,OK,-,-
89,OK,-,-
90,NG,dirty,0.84
91,OK,-,-
92,OK,-,-
93,OK,-,-
94,NG,dirty,0.60
95,OK,-,-
96,NG,dirty,0.67
97,NG,dirty,0.56
98,NG,dirty,0.53
99,OK,-,-
100,OK,-,-
101,OK,-,-
102,OK,-,-
103,NG,dirty,0.77
104,NG,outsc,0.79
105,OK,-,-
106,OK,-,-
107,NG,outsc,0.79
108,OK,-,-
109,NG,dirty,0.87
110,NG,outsc,0.52
111,OK,-,-
112,NG,dirty,0.74
113,NG,bp,0.59
114,OK,-,-
115,OK,-,-

==== 總體統計 ====
總樣品數,116
OK數量,47
NG數量,69
不良率(%),59.48

==== 瑕疵統計 ====
瑕疵類型,數量,比例
outsc,32,0.46
dirty,30,0.43
bp,5,0.07
wr,2,0.03
