==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,0,63,SC,58
1,0,63,INP,4
1,0,63,deform,1
2,0,63,SC,45
2,0,63,INP,18
3,32,31,OTP,29
3,32,31,deform,2
4,63,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,INP,0.75
1,NG,OTP,0.82
2,NG,SC,0.89
3,NG,SC,0.85
4,NG,SC,0.84
5,NG,SC,0.85
6,NG,SC,0.82
7,NG,INP,0.84
8,NG,SC,0.82
9,NG,INP,0.77
10,NG,SC,0.83
11,NG,SC,0.85
12,NG,SC,0.83
13,NG,SC,0.87
14,NG,SC,0.81
15,NG,SC,0.84
16,NG,SC,0.84
17,NG,SC,0.83
18,NG,SC,0.89
19,NG,SC,0.85
20,NG,SC,0.82
21,NG,SC,0.75
22,NG,INP,0.86
23,NG,SC,0.84
24,NG,SC,0.85
25,NG,SC,0.85
26,NG,SC,0.84
27,NG,SC,0.82
28,NG,SC,0.86
29,NG,deform,1.00
30,NG,SC,0.80
31,NG,SC,0.87
32,NG,OTP,0.83
33,NG,SC,0.81
34,NG,SC,0.76
35,NG,SC,0.83
36,NG,SC,0.85
37,NG,SC,0.85
38,NG,SC,0.83
39,NG,INP,0.84
40,NG,SC,0.83
41,NG,INP,0.85
42,NG,SC,0.85
43,NG,SC,0.86
44,NG,SC,0.87
45,NG,SC,0.84
46,NG,SC,0.80
47,NG,INP,0.81
48,NG,SC,0.86
49,NG,SC,0.69
50,NG,SC,0.81
51,NG,OTP,0.81
52,NG,SC,0.88
53,NG,SC,0.85
54,NG,SC,0.88
55,NG,SC,0.85
56,NG,SC,0.88
57,NG,SC,0.85
58,NG,SC,0.87
59,NG,deform,1.00
60,NG,INP,0.76
61,NG,SC,0.85
62,NG,INP,0.85

==== 總體統計 ====
總樣品數,63
OK數量,0
NG數量,63
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,49,0.78
INP,9,0.14
OTP,3,0.05
deform,2,0.03
