==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,1,59,SC,57
1,1,59,INP,2
2,0,60,SC,45
2,0,60,INP,15
3,45,15,OTP,13
3,45,15,deform,2
4,59,1,OTP,1

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,SC,0.82
1,NG,SC,0.85
2,NG,SC,0.86
3,NG,SC,0.83
4,NG,SC,0.77
5,NG,SC,0.86
6,NG,OTP,0.83
7,NG,SC,0.76
8,NG,SC,0.87
9,NG,SC,0.88
10,NG,INP,0.86
11,NG,SC,0.87
12,NG,SC,0.82
13,NG,SC,0.89
14,NG,deform,1.00
15,NG,SC,0.86
16,NG,SC,0.82
17,NG,SC,0.83
18,NG,SC,0.83
19,NG,SC,0.88
20,NG,SC,0.86
21,NG,SC,0.88
22,NG,SC,0.76
23,NG,SC,0.84
24,NG,SC,0.88
25,NG,SC,0.83
26,NG,SC,0.80
27,NG,INP,0.76
28,NG,SC,0.84
29,NG,SC,0.85
30,NG,SC,0.84
31,NG,INP,0.84
32,NG,SC,0.89
33,NG,SC,0.85
34,NG,SC,0.83
35,NG,SC,0.85
36,NG,SC,0.86
37,NG,SC,0.85
38,NG,SC,0.85
39,NG,SC,0.87
40,NG,SC,0.85
41,NG,SC,0.86
42,NG,SC,0.88
43,NG,SC,0.80
44,NG,SC,0.81
45,NG,SC,0.84
46,NG,deform,1.00
47,NG,SC,0.86
48,NG,SC,0.85
49,NG,SC,0.86
50,NG,SC,0.86
51,NG,INP,0.85
52,NG,SC,0.84
53,NG,SC,0.82
54,NG,SC,0.82
55,NG,INP,0.75
56,NG,SC,0.87
57,NG,INP,0.78
58,NG,SC,0.85
59,NG,SC,0.85

==== 總體統計 ====
總樣品數,60
OK數量,0
NG數量,60
不良率(%),100.00

瑕疵類型,數量
SC,51,85.00
INP,6,10.00
deform,2,3.33
OTP,1,1.67
