==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,0,124,SC,118
1,0,124,INP,6
2,0,124,SC,97
2,0,124,INP,27
3,90,34,OTP,33
3,90,34,deform,1
4,124,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,SC,0.86
1,NG,SC,0.85
2,NG,INP,0.84
3,NG,SC,0.85
4,NG,INP,0.86
5,NG,SC,0.80
6,NG,INP,0.76
7,NG,SC,0.83
8,NG,SC,0.86
9,NG,SC,0.84
10,NG,SC,0.82
11,NG,SC,0.84
12,NG,SC,0.80
13,NG,SC,0.78
14,NG,SC,0.81
15,NG,SC,0.84
16,NG,SC,0.87
17,NG,SC,0.88
18,NG,SC,0.78
19,NG,INP,0.79
20,NG,INP,0.85
21,NG,INP,0.85
22,NG,SC,0.88
23,NG,SC,0.84
24,NG,SC,0.84
25,NG,deform,1.00
26,NG,INP,0.87
27,NG,SC,0.80
28,NG,SC,0.80
29,NG,INP,0.84
30,NG,SC,0.78
31,NG,SC,0.86
32,NG,INP,0.89
33,NG,SC,0.87
34,NG,SC,0.84
35,NG,INP,0.84
36,NG,SC,0.78
37,NG,SC,0.79
38,NG,SC,0.81
39,NG,SC,0.83
40,NG,INP,0.78
41,NG,SC,0.88
42,NG,SC,0.87
43,NG,SC,0.87
44,NG,SC,0.82
45,NG,SC,0.80
46,NG,INP,0.79
47,NG,SC,0.83
48,NG,SC,0.90
49,NG,INP,0.85
50,NG,SC,0.84
51,NG,SC,0.86
52,NG,SC,0.82
53,NG,SC,0.84
54,NG,SC,0.87
55,NG,SC,0.88
56,NG,SC,0.84
57,NG,SC,0.82
58,NG,SC,0.85
59,NG,SC,0.89
60,NG,SC,0.82
61,NG,SC,0.76
62,NG,SC,0.84
63,NG,SC,0.81
64,NG,SC,0.83
65,NG,SC,0.88
66,NG,SC,0.82
67,NG,SC,0.79
68,NG,INP,0.82
69,NG,SC,0.83
70,NG,SC,0.87
71,NG,SC,0.85
72,NG,SC,0.84
73,NG,SC,0.83
74,NG,SC,0.82
75,NG,SC,0.85
76,NG,SC,0.89
77,NG,SC,0.85
78,NG,SC,0.80
79,NG,SC,0.85
80,NG,SC,0.86
81,NG,SC,0.86
82,NG,SC,0.89
83,NG,SC,0.79
84,NG,SC,0.82
85,NG,SC,0.84
86,NG,SC,0.86
87,NG,SC,0.85
88,NG,SC,0.84
89,NG,SC,0.84
90,NG,SC,0.84
91,NG,INP,0.89
92,NG,INP,0.82
93,NG,SC,0.85
94,NG,SC,0.79
95,NG,SC,0.82
96,NG,SC,0.88
97,NG,SC,0.82
98,NG,SC,0.88
99,NG,SC,0.87
100,NG,SC,0.82
101,NG,SC,0.83
102,NG,SC,0.82
103,NG,SC,0.88
104,NG,SC,0.88
105,NG,OTP,0.82
106,NG,OTP,0.86
107,NG,OTP,0.86
108,NG,SC,0.82
109,NG,SC,0.86
110,NG,SC,0.85
111,NG,SC,0.85
112,NG,SC,0.82
113,NG,INP,0.82
114,NG,SC,0.90
115,NG,SC,0.78
116,NG,SC,0.87
117,NG,SC,0.84
118,NG,INP,0.85
119,NG,SC,0.81
120,NG,SC,0.86
121,NG,INP,0.80
122,NG,SC,0.88
123,NG,SC,0.81

==== 總體統計 ====
總樣品數,124
OK數量,0
NG數量,124
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,101,0.81
INP,19,0.15
OTP,3,0.02
deform,1,0.01
