==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,0,27,SC,10
1,0,27,INP,8
1,0,27,deform,9
2,0,27,SC,11
2,0,27,INP,6
2,0,27,deform,10
3,6,21,OTP,1
3,6,21,deform,20
4,26,1,OTP,1

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,deform,1.00
1,NG,INP,0.88
2,NG,deform,1.00
3,NG,deform,1.00
4,NG,deform,1.00
5,NG,deform,1.00
6,NG,deform,1.00
7,NG,SC,0.82
8,NG,SC,0.83
9,NG,SC,0.84
10,NG,deform,1.00
11,NG,deform,1.00
12,NG,deform,1.00
13,NG,SC,0.89
14,NG,deform,1.00
15,NG,deform,1.00
16,NG,SC,0.77
17,NG,deform,1.00
18,NG,deform,1.00
19,NG,deform,1.00
20,NG,deform,1.00
21,NG,deform,1.00
22,NG,deform,1.00
23,NG,SC,0.77
24,NG,deform,1.00
25,NG,deform,1.00
26,NG,deform,1.00

==== 總體統計 ====
總樣品數,27
OK數量,0
NG數量,27
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
deform,20,0.74
SC,6,0.22
INP,1,0.04
