
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,OK,OK,0.00
0,2,NG,INP,0.77
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,SC,0.89
1,2,OK,SC,0.37
1,3,NG,OTP,0.86
1,4,NG,OTP,0.77
2,1,NG,SC,0.87
2,2,NG,SC,0.86
2,3,NG,OTP,0.76
2,4,NG,OTP,0.73
3,1,NG,SC,0.76
3,2,NG,SC,0.83
3,3,NG,OTP,0.62
3,4,NG,OTP,0.76
4,1,NG,INP,0.83
4,2,NG,INP,0.85
4,3,OK,OK,0.00
4,4,OK,OTP,0.30
5,1,NG,SC,0.84
5,2,NG,SC,0.84
5,3,NG,OTP,0.86
5,4,NG,OTP,0.61
6,1,NG,SC,0.93
6,2,NG,SC,0.77
6,3,NG,OTP,0.88
6,4,NG,OTP,0.83
7,1,NG,INP,0.87
7,2,NG,INP,0.73
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,INP,0.89
8,2,NG,INP,0.82
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,SC,0.78
9,2,NG,SC,0.71
9,3,NG,OTP,0.75
9,4,NG,OTP,0.86
10,1,NG,deform,1.00
10,2,NG,SC,0.90
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,SC,0.93
11,2,OK,OK,0.00
11,3,NG,OTP,0.60
11,4,NG,OTP,0.54
12,1,NG,SC,0.79
12,2,NG,SC,0.87
12,3,NG,OTP,0.81
12,4,NG,OTP,0.66
13,1,OK,OK,0.00
13,2,OK,OK,0.00
13,3,NG,OTP,0.52
13,4,NG,OTP,0.68
14,1,NG,SC,0.88
14,2,NG,SC,0.88
14,3,NG,OTP,0.72
14,4,NG,OTP,0.45
15,1,NG,deform,1.00
15,2,NG,INP,0.91
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,OK,OK,0.00
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,SC,0.89
17,2,NG,SC,0.86
17,3,NG,OTP,0.83
17,4,NG,OTP,0.48
18,1,NG,INP,0.73
18,2,OK,INP,0.39
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,SC,0.89
19,2,NG,SC,0.88
19,3,NG,OTP,0.61
19,4,NG,OTP,0.65
20,1,NG,INP,0.85
20,2,NG,INP,0.86
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,INP,0.81
21,2,NG,INP,0.79
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,SC,0.92
22,2,NG,SC,0.59
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,INP,0.69
23,2,OK,INP,0.30
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,SC,0.91
24,2,NG,SC,0.88
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,OK,OK,0.00
25,2,OK,OK,0.00
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,SC,0.77
26,2,NG,SC,0.78
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,OK,OK,0.00
27,2,OK,OK,0.00
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,SC,0.88
28,2,NG,SC,0.81
28,3,NG,OTP,0.85
28,4,NG,OTP,0.87
29,1,OK,OK,0.00
29,2,OK,OK,0.00
29,3,NG,OTP,0.75
29,4,NG,OTP,0.71
30,1,NG,SC,0.69
30,2,NG,SC,0.51
30,3,NG,OTP,0.79
30,4,NG,OTP,0.73
31,1,NG,SC,0.84
31,2,NG,SC,0.90
31,3,NG,OTP,0.81
31,4,NG,OTP,0.73
32,1,NG,SC,0.49
32,2,OK,OK,0.00
32,3,NG,OTP,0.79
32,4,NG,OTP,0.68
33,1,NG,SC,0.89
33,2,NG,SC,0.92
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,INP,0.90
34,2,NG,INP,0.86
34,3,OK,OTP,0.31
34,4,NG,OTP,0.58
35,1,OK,OK,0.00
35,2,OK,OK,0.00
35,3,NG,OTP,0.77
35,4,NG,OTP,0.82
36,1,NG,SC,0.88
36,2,NG,SC,0.84
36,3,NG,OTP,0.80
36,4,NG,OTP,0.78
37,1,NG,INP,0.87
37,2,NG,INP,0.49
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,NG,SC,0.87
38,2,NG,SC,0.87
38,3,NG,OTP,0.75
38,4,OK,OTP,0.36
39,1,NG,INP,0.92
39,2,NG,INP,0.88
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,SC,0.83
40,2,NG,SC,0.83
40,3,NG,OTP,0.79
40,4,NG,OTP,0.82
41,1,OK,OK,0.00
41,2,OK,OK,0.00
41,3,NG,OTP,0.72
41,4,NG,OTP,0.84
42,1,NG,SC,0.90
42,2,NG,SC,0.90
42,3,OK,OTP,0.37
42,4,OK,OK,0.00
43,1,OK,OK,0.00
43,2,NG,SC,0.83
43,3,NG,OTP,0.70
43,4,NG,OTP,0.63
44,1,OK,OK,0.00
44,2,OK,OK,0.00
44,3,NG,OTP,0.41
44,4,NG,OTP,0.43
45,1,NG,SC,0.93
45,2,NG,deform,1.00
45,3,NG,OTP,0.79
45,4,NG,OTP,0.75
46,1,OK,OK,0.00
46,2,OK,OK,0.00
46,3,NG,OTP,0.83
46,4,NG,OTP,0.83
47,1,NG,INP,0.90
47,2,OK,OK,0.00
47,3,NG,OTP,0.70
47,4,NG,OTP,0.83
48,1,NG,INP,0.91
48,2,NG,INP,0.76
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,NG,SC,0.90
49,2,NG,SC,0.89
49,3,NG,OTP,0.80
49,4,NG,OTP,0.69
50,1,NG,INP,0.92
50,2,OK,OK,0.00
50,3,NG,OTP,0.85
50,4,NG,OTP,0.79
51,1,NG,SC,0.93
51,2,NG,SC,0.84
51,3,NG,OTP,0.85
51,4,OK,OTP,0.36
52,1,NG,SC,0.84
52,2,NG,SC,0.84
52,3,NG,OTP,0.64
52,4,NG,OTP,0.71
53,1,NG,SC,0.87
53,2,NG,SC,0.93
53,3,NG,OTP,0.74
53,4,NG,OTP,0.45
54,1,NG,SC,0.92
54,2,NG,SC,0.88
54,3,NG,OTP,0.70
54,4,NG,OTP,0.85
55,1,NG,SC,0.91
55,2,NG,SC,0.85
55,3,NG,OTP,0.78
55,4,NG,OTP,0.81
56,1,NG,INP,0.83
56,2,NG,INP,0.75
56,3,OK,OK,0.00
56,4,OK,OK,0.00
57,1,NG,SC,0.88
57,2,NG,SC,0.85
57,3,NG,OTP,0.49
57,4,OK,OK,0.00
58,1,NG,deform,1.00
58,2,NG,INP,0.91
58,3,NG,OTP,0.46
58,4,OK,OK,0.00
59,1,NG,deform,1.00
59,2,NG,deform,1.00
59,3,OK,OK,0.00
59,4,OK,OK,0.00
60,1,NG,SC,0.87
60,2,NG,INP,0.86
60,3,NG,OTP,0.88
60,4,NG,OTP,0.88
61,1,OK,OK,0.00
61,2,OK,OK,0.00
61,3,NG,OTP,0.56
61,4,OK,OK,0.00
62,1,NG,SC,0.84
62,2,NG,SC,0.72
62,3,NG,OTP,0.90
62,4,NG,OTP,0.82
63,1,OK,OK,0.00
63,2,OK,OK,0.00
63,3,NG,OTP,0.69
63,4,NG,OTP,0.54
64,1,NG,SC,0.83
64,2,NG,SC,0.89
64,3,OK,OTP,0.31
64,4,NG,OTP,0.70
65,1,OK,OK,0.00
65,2,OK,OK,0.00
65,3,NG,OTP,0.79
65,4,NG,OTP,0.69
66,1,OK,OK,0.00
66,2,OK,OK,0.00
66,3,NG,OTP,0.82
66,4,NG,OTP,0.75

==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.77,INP
0,3+4,OK,0.00,OK
1,1+2,NG,0.89,SC
1,3+4,NG,0.86,OTP
2,1+2,NG,0.87,SC
2,3+4,NG,0.76,OTP
3,1+2,NG,0.83,SC
3,3+4,NG,0.76,OTP
4,1+2,NG,0.85,INP
4,3+4,OK,0.30,OTP
5,1+2,NG,0.84,SC
5,3+4,NG,0.86,OTP
6,1+2,NG,0.93,SC
6,3+4,NG,0.88,OTP
7,1+2,NG,0.87,INP
7,3+4,OK,0.00,OK
8,1+2,NG,0.89,INP
8,3+4,OK,0.00,OK
9,1+2,NG,0.78,SC
9,3+4,NG,0.86,OTP
10,1+2,NG,1.00,deform
10,3+4,OK,0.00,OK
11,1+2,NG,0.93,SC
11,3+4,NG,0.60,OTP
12,1+2,NG,0.87,SC
12,3+4,NG,0.81,OTP
13,1+2,OK,0.00,OK
13,3+4,NG,0.68,OTP
14,1+2,NG,0.88,SC
14,3+4,NG,0.72,OTP
15,1+2,NG,1.00,deform
15,3+4,OK,0.00,OK
16,1+2,OK,0.00,OK
16,3+4,OK,0.00,OK
17,1+2,NG,0.89,SC
17,3+4,NG,0.83,OTP
18,1+2,NG,0.73,INP
18,3+4,OK,0.00,OK
19,1+2,NG,0.89,SC
19,3+4,NG,0.65,OTP
20,1+2,NG,0.86,INP
20,3+4,OK,0.00,OK
21,1+2,NG,0.81,INP
21,3+4,OK,0.00,OK
22,1+2,NG,0.92,SC
22,3+4,OK,0.00,OK
23,1+2,NG,0.69,INP
23,3+4,OK,0.00,OK
24,1+2,NG,0.91,SC
24,3+4,OK,0.00,OK
25,1+2,OK,0.00,OK
25,3+4,OK,0.00,OK
26,1+2,NG,0.78,SC
26,3+4,OK,0.00,OK
27,1+2,OK,0.00,OK
27,3+4,OK,0.00,OK
28,1+2,NG,0.88,SC
28,3+4,NG,0.87,OTP
29,1+2,OK,0.00,OK
29,3+4,NG,0.75,OTP
30,1+2,NG,0.69,SC
30,3+4,NG,0.79,OTP
31,1+2,NG,0.90,SC
31,3+4,NG,0.81,OTP
32,1+2,NG,0.49,SC
32,3+4,NG,0.79,OTP
33,1+2,NG,0.92,SC
33,3+4,OK,0.00,OK
34,1+2,NG,0.90,INP
34,3+4,NG,0.58,OTP
35,1+2,OK,0.00,OK
35,3+4,NG,0.82,OTP
36,1+2,NG,0.88,SC
36,3+4,NG,0.80,OTP
37,1+2,NG,0.87,INP
37,3+4,OK,0.00,OK
38,1+2,NG,0.87,SC
38,3+4,NG,0.75,OTP
39,1+2,NG,0.92,INP
39,3+4,OK,0.00,OK
40,1+2,NG,0.83,SC
40,3+4,NG,0.82,OTP
41,1+2,OK,0.00,OK
41,3+4,NG,0.84,OTP
42,1+2,NG,0.90,SC
42,3+4,OK,0.37,OTP
43,1+2,NG,0.83,SC
43,3+4,NG,0.70,OTP
44,1+2,OK,0.00,OK
44,3+4,NG,0.43,OTP
45,1+2,NG,1.00,deform
45,3+4,NG,0.79,OTP
46,1+2,OK,0.00,OK
46,3+4,NG,0.83,OTP
47,1+2,NG,0.90,INP
47,3+4,NG,0.83,OTP
48,1+2,NG,0.91,INP
48,3+4,OK,0.00,OK
49,1+2,NG,0.90,SC
49,3+4,NG,0.80,OTP
50,1+2,NG,0.92,INP
50,3+4,NG,0.85,OTP
51,1+2,NG,0.93,SC
51,3+4,NG,0.85,OTP
52,1+2,NG,0.84,SC
52,3+4,NG,0.71,OTP
53,1+2,NG,0.93,SC
53,3+4,NG,0.74,OTP
54,1+2,NG,0.92,SC
54,3+4,NG,0.85,OTP
55,1+2,NG,0.91,SC
55,3+4,NG,0.81,OTP
56,1+2,NG,0.83,INP
56,3+4,OK,0.00,OK
57,1+2,NG,0.88,SC
57,3+4,NG,0.49,OTP
58,1+2,NG,1.00,deform
58,3+4,NG,0.46,OTP
59,1+2,NG,1.00,deform
59,3+4,OK,0.00,OK
60,1+2,NG,0.87,SC
60,3+4,NG,0.88,OTP
61,1+2,OK,0.00,OK
61,3+4,NG,0.56,OTP
62,1+2,NG,0.84,SC
62,3+4,NG,0.90,OTP
