
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.89
0,2,NG,SC,0.87
0,3,OK,OK,0.00
0,4,OK,OTP,0.47
1,1,NG,SC,0.88
1,2,NG,SC,0.84
1,3,NG,OTP,0.62
1,4,OK,OTP,0.52
2,1,NG,SC,0.91
2,2,NG,SC,0.89
2,3,OK,OTP,0.44
2,4,NG,OTP,0.72
3,1,NG,SC,0.91
3,2,NG,SC,0.92
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,SC,0.83
4,2,NG,SC,0.90
4,3,NG,OTP,0.78
4,4,NG,OTP,0.80
5,1,NG,SC,0.61
5,2,NG,SC,0.78
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,OK,0.00
6,2,OK,OK,0.00
6,3,OK,OK,0.00
6,4,OK,OTP,0.54
7,1,NG,SC,0.85
7,2,NG,SC,0.89
7,3,OK,OK,0.00
7,4,NG,OTP,0.85
8,1,NG,SC,0.89
8,2,OK,OK,0.00
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,SC,0.93
9,2,NG,SC,0.72
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,SC,0.84
10,2,NG,SC,0.84
10,3,OK,OK,0.00
10,4,NG,OTP,0.60
11,1,NG,SC,0.90
11,2,NG,SC,0.89
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,SC,0.89
12,2,NG,SC,0.89
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,SC,0.85
13,2,NG,SC,0.92
13,3,OK,OTP,0.51
13,4,OK,OK,0.00
14,1,NG,SC,0.86
14,2,NG,SC,0.63
14,3,OK,OK,0.00
14,4,NG,OTP,0.70
15,1,NG,SC,0.94
15,2,NG,SC,0.68
15,3,OK,OTP,0.58
15,4,OK,OK,0.00
16,1,NG,SC,0.43
16,2,OK,OK,0.00
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,SC,0.91
17,2,NG,SC,0.91
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,SC,0.92
18,2,NG,SC,0.78
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,SC,0.91
19,2,OK,OK,0.00
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,SC,0.82
20,2,NG,SC,0.76
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,SC,0.92
21,2,NG,SC,0.90
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,SC,0.86
22,2,OK,OK,0.00
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,SC,0.90
23,2,NG,SC,0.92
23,3,OK,OK,0.00
23,4,OK,OTP,0.49
24,1,NG,SC,0.81
24,2,OK,INP,0.38
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,SC,0.80
25,2,NG,SC,0.82
25,3,OK,OK,0.00
25,4,NG,OTP,0.70
26,1,OK,OK,0.00
26,2,OK,OK,0.00
26,3,NG,OTP,0.78
26,4,OK,OTP,0.35
27,1,OK,SC,0.28
27,2,NG,INP,0.44
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,SC,0.78
28,2,NG,SC,0.90
28,3,OK,OTP,0.41
28,4,OK,OK,0.00
29,1,NG,deform,1.00
29,2,NG,SC,0.75
29,3,OK,OK,0.00
