
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.80
0,2,OK,OK,0.00
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,OK,OK,0.00
1,2,NG,deform,1.00
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,OK,OK,0.00
2,2,NG,deform,1.00
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,SC,0.89
3,2,NG,SC,0.89
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,SC,0.86
4,2,NG,SC,0.47
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,SC,0.72
5,2,OK,OK,0.00
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,deform,1.00
6,2,NG,NULL_invalid,1.00
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,SC,0.84
7,2,NG,SC,0.72
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,SC,0.85
8,2,NG,SC,0.76
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,SC,0.87
9,2,NG,SC,0.87
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,SC,0.87
10,2,NG,SC,0.87
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,NG,SC,0.69
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,deform,1.00
12,2,NG,NULL_invalid,1.00
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,SC,0.78
13,2,NG,SC,0.87
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,SC,0.88
14,2,NG,SC,0.82
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,SC,0.83
15,2,NG,SC,0.80
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,SC,0.78
16,2,OK,OK,0.00
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,SC,0.78
17,2,NG,SC,0.71
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,INP,0.86
18,2,OK,OK,0.00
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,SC,0.47
19,2,NG,SC,0.44
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,OK,OK,0.00
20,2,NG,SC,0.68
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,deform,1.00
21,2,NG,deform,1.00
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,SC,0.88
22,2,NG,SC,0.88
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,SC,0.88
23,2,NG,SC,0.67
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,SC,0.85
24,2,NG,SC,0.85
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,SC,0.82
25,2,OK,OK,0.00
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,SC,0.88
26,2,NG,SC,0.66
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,NG,SC,0.61
27,2,NG,SC,0.59
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,SC,0.87
28,2,NG,SC,0.87
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,SC,0.85
29,2,NG,SC,0.59
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,OK,OK,0.00
30,2,OK,OK,0.00
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,NG,SC,0.72
31,2,NG,SC,0.79
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,SC,0.80
32,2,NG,SC,0.65
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,NG,SC,0.86
33,2,NG,SC,0.86
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,SC,0.85
34,2,NG,SC,0.79
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,deform,1.00
35,2,OK,OK,0.00
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,SC,0.85
36,2,NG,SC,0.78
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,SC,0.85
37,2,NG,SC,0.72
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,NG,SC,0.83
38,2,NG,SC,0.68
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,NG,SC,0.85
39,2,NG,SC,0.83
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,SC,0.88
40,2,NG,SC,0.87
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,SC,0.82
41,2,NG,deform,1.00
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,NG,deform,1.00
42,2,NG,NULL_invalid,1.00
42,3,OK,OK,0.00
42,4,OK,OK,0.00
43,1,NG,SC,0.87
43,2,NG,SC,0.76
43,3,OK,OK,0.00
43,4,OK,OK,0.00
44,1,NG,SC,0.85
44,2,NG,SC,0.65
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,NG,SC,0.89
45,2,NG,SC,0.89
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,NG,SC,0.82
46,2,NG,deform,1.00
46,3,OK,OK,0.00
46,4,OK,OK,0.00
47,1,NG,SC,0.49
47,2,OK,OK,0.00
47,3,OK,OK,0.00
47,4,OK,OK,0.00
48,1,NG,deform,1.00
48,2,NG,SC,0.77
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,NG,deform,1.00
49,2,NG,SC,0.81
49,3,OK,OK,0.00
49,4,OK,OK,0.00
50,1,OK,OK,0.00
50,2,OK,OK,0.00
50,3,OK,OK,0.00
50,4,OK,OK,0.00
51,1,NG,SC,0.76
51,2,NG,SC,0.83
51,3,OK,OK,0.00
51,4,OK,OK,0.00
52,1,OK,SC,0.28
52,2,NG,deform,1.00
52,3,OK,OK,0.00
52,4,OK,OK,0.00
53,1,NG,SC,0.52
53,2,NG,SC,0.80
53,3,OK,OK,0.00
53,4,OK,OK,0.00
54,1,NG,SC,0.87
54,2,NG,SC,0.87
54,3,OK,OK,0.00
54,4,OK,OK,0.00
55,1,NG,SC,0.86
55,2,NG,SC,0.85
55,3,OK,OK,0.00
55,4,OK,OK,0.00
56,1,NG,SC,0.73
56,2,OK,SC,0.37
56,3,OK,OK,0.00
56,4,OK,OK,0.00
57,1,NG,SC,0.87
57,2,NG,SC,0.86
57,3,OK,OK,0.00
57,4,OK,OK,0.00
58,1,NG,SC,0.77
58,2,NG,SC,0.77
58,3,OK,OK,0.00
58,4,OK,OK,0.00
59,1,OK,OK,0.00
59,2,NG,SC,0.76
59,3,OK,OK,0.00
59,4,OK,OK,0.00
60,1,NG,SC,0.87
60,2,NG,SC,0.88
60,3,OK,OK,0.00
60,4,OK,OK,0.00
