
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.86,INP
0,3+4,OK,0.29,OTP
1,1+2,NG,0.83,INP
1,3+4,OK,0.00,OK
2,1+2,NG,0.89,INP
2,3+4,OK,0.00,OK
3,1+2,OK,0.30,INP
3,3+4,OK,0.25,OTP
4,1+2,NG,0.78,INP
4,3+4,NG,0.52,OTP
5,1+2,NG,0.80,INP
5,3+4,OK,0.00,OK
6,1+2,NG,0.83,INP
6,3+4,OK,0.00,OK
7,1+2,NG,0.83,INP
7,3+4,OK,0.00,OK
8,1+2,NG,1.00,deform
8,3+4,OK,0.31,OTP
9,1+2,NG,0.84,INP
9,3+4,OK,0.35,OTP
10,1+2,NG,0.87,INP
10,3+4,OK,0.00,OK
11,1+2,NG,0.55,INP
11,3+4,OK,0.00,OK
12,1+2,NG,0.83,INP
12,3+4,NG,0.45,OTP
13,1+2,NG,0.88,INP
13,3+4,OK,0.00,OK
14,1+2,NG,0.91,INP
14,3+4,OK,0.32,OTP
15,1+2,NG,0.68,INP
15,3+4,OK,0.00,OK
16,1+2,NG,0.89,INP
16,3+4,OK,0.00,OK
17,1+2,NG,0.87,INP
17,3+4,NG,0.66,OTP
18,1+2,NG,0.64,INP
18,3+4,OK,0.00,OK
19,1+2,NG,0.87,INP
19,3+4,OK,0.30,OTP
20,1+2,NG,0.65,INP
20,3+4,OK,0.00,OK
21,1+2,NG,0.76,INP
21,3+4,OK,0.00,OK
22,1+2,NG,0.87,INP
22,3+4,OK,0.00,OK
23,1+2,NG,0.82,INP
23,3+4,OK,0.00,OK
24,1+2,NG,0.84,INP
24,3+4,OK,0.33,OTP
25,1+2,NG,0.80,INP
25,3+4,OK,0.00,OK
26,1+2,NG,0.84,INP
26,3+4,NG,0.59,OTP
27,1+2,NG,0.64,INP
27,3+4,NG,0.43,OTP
28,1+2,NG,0.74,INP
28,3+4,OK,0.00,OK

==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,INP,0.82
0,2,NG,INP,0.86
0,3,OK,OTP,0.29
0,4,OK,OK,0.00
1,1,NG,INP,0.83
1,2,NG,INP,0.83
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,INP,0.89
2,2,NG,INP,0.86
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,OK,INP,0.30
3,2,OK,OK,0.00
3,3,OK,OTP,0.25
3,4,OK,OK,0.00
4,1,OK,INP,0.41
4,2,NG,INP,0.78
4,3,OK,OTP,0.31
4,4,NG,OTP,0.52
5,1,NG,INP,0.80
5,2,NG,INP,0.78
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,INP,0.83
6,2,NG,INP,0.69
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,INP,0.78
7,2,NG,INP,0.83
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,INP,0.79
8,2,NG,deform,1.00
8,3,OK,OTP,0.31
8,4,OK,OK,0.00
9,1,NG,INP,0.84
9,2,NG,INP,0.83
9,3,OK,OTP,0.25
9,4,OK,OTP,0.35
10,1,NG,INP,0.85
10,2,NG,INP,0.87
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,INP,0.55
11,2,OK,INP,0.30
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,INP,0.83
12,2,OK,OK,0.00
12,3,NG,OTP,0.45
12,4,OK,OK,0.00
13,1,NG,INP,0.88
13,2,OK,OK,0.00
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,INP,0.78
14,2,NG,INP,0.91
14,3,OK,OTP,0.32
14,4,OK,OK,0.00
15,1,NG,INP,0.68
15,2,OK,OK,0.00
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,INP,0.89
16,2,NG,INP,0.85
16,3,OK,OK,0.00
