
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.85,SC
0,3+4,NG,0.83,OTP
1,1+2,NG,0.85,SC
1,3+4,NG,0.83,OTP
2,1+2,NG,0.87,SC
2,3+4,NG,0.80,OTP
3,1+2,NG,0.81,SC
3,3+4,NG,0.81,OTP
4,1+2,NG,0.88,SC
4,3+4,NG,0.41,OTP
5,1+2,NG,0.82,SC
5,3+4,NG,0.87,OTP
6,1+2,NG,0.81,SC
6,3+4,NG,0.79,OTP
7,1+2,NG,0.82,SC
7,3+4,NG,0.82,OTP
8,1+2,NG,0.85,SC
8,3+4,NG,0.79,OTP
9,1+2,NG,0.86,SC
9,3+4,NG,0.78,OTP
10,1+2,NG,0.82,SC
10,3+4,NG,0.79,OTP
11,1+2,NG,0.84,SC
11,3+4,NG,0.81,OTP
12,1+2,NG,0.85,SC
12,3+4,NG,0.78,OTP
13,1+2,NG,0.89,SC
13,3+4,NG,0.70,OTP
14,1+2,NG,0.87,SC
14,3+4,NG,0.78,OTP
15,1+2,NG,0.83,SC
15,3+4,NG,0.83,OTP
16,1+2,NG,0.51,INP
16,3+4,NG,0.75,OTP
17,1+2,NG,0.80,SC
17,3+4,NG,0.77,OTP
18,1+2,NG,0.85,SC
18,3+4,NG,0.69,OTP
19,1+2,NG,0.68,SC
19,3+4,NG,0.81,OTP
20,1+2,NG,0.81,INP
20,3+4,NG,0.85,OTP
21,1+2,NG,0.84,SC
21,3+4,NG,0.81,OTP
22,1+2,NG,0.74,SC
22,3+4,NG,0.72,OTP
23,1+2,NG,0.86,SC
23,3+4,NG,0.79,OTP

==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.81
0,2,NG,SC,0.85
0,3,NG,OTP,0.83
0,4,NG,OTP,0.79
1,1,NG,INP,0.58
1,2,NG,SC,0.85
1,3,NG,OTP,0.77
1,4,NG,OTP,0.83
2,1,NG,SC,0.77
2,2,NG,SC,0.87
2,3,NG,OTP,0.80
2,4,NG,OTP,0.79
3,1,NG,SC,0.71
3,2,NG,SC,0.81
3,3,NG,OTP,0.56
3,4,NG,OTP,0.81
4,1,NG,SC,0.88
4,2,NG,SC,0.88
4,3,NG,OTP,0.40
4,4,NG,OTP,0.41
5,1,NG,SC,0.67
5,2,NG,SC,0.82
5,3,NG,OTP,0.87
5,4,NG,OTP,0.63
6,1,NG,SC,0.76
6,2,NG,SC,0.81
6,3,NG,OTP,0.64
6,4,NG,OTP,0.79
7,1,NG,SC,0.82
7,2,NG,SC,0.80
7,3,NG,OTP,0.82
7,4,NG,OTP,0.67
8,1,NG,SC,0.83
8,2,NG,SC,0.85
8,3,NG,OTP,0.79
8,4,NG,OTP,0.74
9,1,NG,SC,0.76
9,2,NG,SC,0.86
9,3,NG,OTP,0.78
9,4,OK,OTP,0.33
10,1,NG,SC,0.82
10,2,NG,SC,0.81
10,3,NG,OTP,0.79
10,4,NG,OTP,0.79
11,1,NG,SC,0.84
11,2,OK,OK,0.00
11,3,NG,OTP,0.77
11,4,NG,OTP,0.81
12,1,NG,SC,0.85
12,2,NG,SC,0.80
12,3,NG,OTP,0.78
12,4,NG,OTP,0.76
13,1,NG,SC,0.88
13,2,NG,SC,0.89
13,3,NG,OTP,0.70
13,4,NG,OTP,0.53
14,1,OK,OK,0.00
14,2,NG,SC,0.87
14,3,NG,OTP,0.78
14,4,NG,OTP,0.74
15,1,OK,OK,0.00
15,2,NG,SC,0.83
15,3,NG,OTP,0.74
15,4,NG,OTP,0.83
16,1,OK,OK,0.00
16,2,NG,INP,0.51
16,3,NG,OTP,0.75
16,4,OK,OK,0.00
17,1,NG,SC,0.72
17,2,NG,SC,0.80
17,3,NG,OTP,0.77
17,4,NG,OTP,0.61
18,1,NG,SC,0.79
18,2,NG,SC,0.85
18,3,NG,OTP,0.69
18,4,NG,OTP,0.65
19,1,OK,OK,0.00
19,2,NG,SC,0.68
19,3,NG,OTP,0.81
19,4,NG,OTP,0.63
20,1,NG,INP,0.79
20,2,NG,INP,0.81
20,3,NG,OTP,0.85
20,4,NG,OTP,0.70
21,1,NG,SC,0.84
21,2,NG,SC,0.82
21,3,NG,OTP,0.81
21,4,NG,OTP,0.53
22,1,NG,SC,0.74
22,2,NG,SC,0.74
22,3,NG,OTP,0.72
22,4,NG,OTP,0.72
23,1,NG,SC,0.85
23,2,NG,SC,0.86
23,3,NG,OTP,0.79
23,4,NG,OTP,0.53

==== 合併組別OK/NG統計 ====
組別,OK數量,NG數量
1+2,0,24
3+4,0,24

==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,4,20,SC,18
1,4,20,INP,2
2,1,23,SC,21
2,1,23,INP,2
3,0,24,OTP,24
4,2,22,OTP,22

==== 合併組別分數分布統計 ====
組別,樣本數,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,推薦閥值
1+2,24,0.51,0.89,0.82,0.68,0.81,0.84,0.86,0.88,0.88
3+4,24,0.41,0.87,0.78,0.69,0.78,0.79,0.82,0.85,0.85

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,NG,SC,0.85,0.00
1,NG,SC,0.85,0.00
2,NG,SC,0.87,0.00
3,NG,OTP,0.81,0.00
4,NG,SC,0.88,0.00
5,NG,OTP,0.87,0.00
6,NG,SC,0.81,0.00
7,NG,OTP,0.82,0.00
8,NG,SC,0.85,0.00
9,NG,SC,0.86,0.00
10,NG,SC,0.82,0.00
11,NG,SC,0.84,0.00
12,NG,SC,0.85,0.00
13,NG,SC,0.89,0.00
14,NG,SC,0.87,0.00
15,NG,OTP,0.83,0.00
16,NG,OTP,0.75,0.00
17,NG,SC,0.80,0.00
18,NG,SC,0.85,0.00
19,NG,OTP,0.81,0.00
20,NG,OTP,0.85,0.00
21,NG,SC,0.84,0.00
22,NG,SC,0.74,0.00
23,NG,SC,0.86,0.00

==== 總體統計 ====
總樣品數,24
OK數量,0
NG數量,24
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,17,0.71
OTP,7,0.29

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
SC,17,0.74,0.89,0.84,0.74,0.84,0.85,0.86,0.89,0.89,0.00
OTP,7,0.75,0.87,0.82,0.75,0.81,0.82,0.85,0.87,0.87,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
SC,0.00,17,0,0,0,1.00,1.00,0.00
OTP,0.00,7,0,0,0,1.00,1.00,0.00
