
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.74,INP
0,3+4,OK,0.00,OK
1,1+2,OK,0.00,OK
1,3+4,NG,0.61,OTP
2,1+2,NG,0.69,INP
2,3+4,OK,0.00,OK
3,1+2,NG,0.86,INP
3,3+4,OK,0.00,OK
4,1+2,OK,0.00,OK
4,3+4,OK,0.00,OK
5,1+2,NG,0.71,INP
5,3+4,NG,0.84,OTP
6,1+2,NG,0.83,INP
6,3+4,NG,0.66,OTP
7,1+2,NG,0.80,INP
7,3+4,OK,0.00,OK
8,1+2,NG,0.41,INP
8,3+4,NG,0.73,OTP
9,1+2,NG,0.85,INP
9,3+4,OK,0.00,OK
10,1+2,NG,0.86,INP
10,3+4,OK,0.00,OK
11,1+2,NG,0.57,INP
11,3+4,OK,0.00,OK
12,1+2,NG,0.53,INP
12,3+4,OK,0.00,OK
13,1+2,NG,0.62,INP
13,3+4,OK,0.00,OK
14,1+2,NG,0.86,INP
14,3+4,OK,0.00,OK
15,1+2,NG,0.61,INP
15,3+4,OK,0.00,OK
16,1+2,NG,0.80,INP
16,3+4,NG,0.37,OTP
17,1+2,NG,0.72,INP
17,3+4,OK,0.00,OK
18,1+2,NG,0.69,INP
18,3+4,OK,0.00,OK
19,1+2,NG,0.51,INP
19,3+4,OK,0.00,OK
20,1+2,NG,0.68,INP
20,3+4,OK,0.00,OK
21,1+2,NG,0.68,INP
21,3+4,OK,0.00,OK
22,1+2,NG,0.79,INP
22,3+4,OK,0.00,OK
23,1+2,OK,0.00,OK
23,3+4,OK,0.00,OK
24,1+2,NG,0.74,INP
24,3+4,OK,0.00,OK
25,1+2,NG,0.89,INP
25,3+4,OK,0.00,OK
26,1+2,NG,0.67,INP
26,3+4,NG,0.67,OTP
27,1+2,NG,0.80,INP
27,3+4,OK,0.00,OK
28,1+2,OK,0.28,INP
28,3+4,OK,0.31,OTP
29,1+2,NG,0.76,INP
29,3+4,OK,0.00,OK
30,1+2,NG,0.66,INP
30,3+4,OK,0.00,OK
31,1+2,NG,0.82,INP
31,3+4,NG,0.65,OTP
32,1+2,NG,0.77,INP
32,3+4,OK,0.00,OK
33,1+2,NG,0.74,INP
33,3+4,OK,0.00,OK
34,1+2,NG,0.81,INP
34,3+4,OK,0.00,OK
35,1+2,NG,0.43,INP
35,3+4,OK,0.00,OK
36,1+2,NG,0.86,INP
36,3+4,OK,0.00,OK
37,1+2,NG,0.89,SC
37,3+4,OK,0.00,OK
38,1+2,OK,0.00,OK
38,3+4,OK,0.29,OTP
39,1+2,NG,0.89,SC
39,3+4,OK,0.28,OTP
40,1+2,NG,0.82,INP
40,3+4,OK,0.00,OK
41,1+2,OK,0.32,INP
41,3+4,OK,0.00,OK
42,1+2,NG,0.86,INP
42,3+4,OK,0.00,OK
43,1+2,OK,0.00,OK
43,3+4,OK,0.00,OK
44,1+2,NG,0.47,INP
44,3+4,NG,0.36,OTP
45,1+2,NG,0.86,INP
45,3+4,OK,0.00,OK
46,1+2,NG,0.38,INP
46,3+4,OK,0.00,OK
47,1+2,OK,0.00,OK
47,3+4,OK,0.00,OK
48,1+2,NG,0.85,INP
48,3+4,NG,0.44,OTP
49,1+2,NG,0.83,INP
49,3+4,OK,0.00,OK
50,1+2,NG,0.86,INP
50,3+4,OK,0.00,OK
51,1+2,NG,1.00,deform
51,3+4,OK,0.35,OTP
52,1+2,NG,0.88,INP
52,3+4,OK,0.00,OK
53,1+2,OK,0.00,OK
53,3+4,NG,0.77,OTP
54,1+2,NG,0.72,INP
54,3+4,OK,0.00,OK
55,1+2,NG,0.72,INP
55,3+4,OK,0.00,OK
