
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,OK,0.00,OK
0,3+4,NG,1.00,blackDot
1,1+2,NG,0.83,SC
1,3+4,NG,1.00,blackDot
2,1+2,NG,0.85,SC
2,3+4,NG,1.00,blackDot
3,1+2,NG,0.77,SC
3,3+4,NG,1.00,blackDot
4,1+2,OK,0.00,OK
4,3+4,NG,1.00,blackDot
5,1+2,NG,0.72,SC
5,3+4,NG,1.00,blackDot
6,1+2,NG,0.85,SC
6,3+4,NG,1.00,blackDot
7,1+2,NG,0.82,SC
7,3+4,OK,0.00,OK
8,1+2,NG,0.83,SC
8,3+4,OK,0.00,OK
9,1+2,NG,0.86,SC
9,3+4,NG,1.00,blackDot
10,1+2,NG,1.00,deform
10,3+4,NG,1.00,blackDot
11,1+2,NG,0.90,INP
11,3+4,NG,1.00,blackDot
12,1+2,NG,0.83,SC
12,3+4,OK,0.00,OK
13,1+2,NG,0.85,SC
13,3+4,NG,1.00,blackDot
14,1+2,NG,1.00,deform
14,3+4,NG,1.00,blackDot
15,1+2,NG,0.82,INP
15,3+4,NG,1.00,blackDot
16,1+2,NG,0.54,INP
16,3+4,NG,0.82,OTP
17,1+2,NG,0.38,SC
17,3+4,NG,0.83,OTP
18,1+2,NG,0.84,SC
18,3+4,NG,1.00,blackDot
19,1+2,NG,0.86,SC
19,3+4,NG,1.00,blackDot
20,1+2,NG,0.65,INP
20,3+4,NG,0.81,OTP
21,1+2,NG,0.80,SC
21,3+4,NG,1.00,blackDot
22,1+2,NG,0.85,SC
22,3+4,NG,1.00,blackDot
23,1+2,NG,0.85,SC
23,3+4,NG,1.00,blackDot
24,1+2,NG,0.76,INP
24,3+4,NG,1.00,blackDot
25,1+2,NG,0.82,SC
25,3+4,NG,0.69,OTP
26,1+2,NG,0.80,SC
26,3+4,NG,0.66,OTP
27,1+2,NG,0.89,SC
27,3+4,NG,0.64,OTP
28,1+2,NG,0.85,SC
28,3+4,NG,0.77,OTP
29,1+2,NG,0.86,SC
29,3+4,NG,1.00,blackDot
30,1+2,NG,0.88,SC
30,3+4,NG,0.77,OTP
31,1+2,NG,0.77,SC
31,3+4,NG,0.80,OTP
32,1+2,NG,0.87,SC
32,3+4,NG,0.73,OTP
33,1+2,NG,0.84,SC
33,3+4,NG,1.00,blackDot
34,1+2,NG,0.85,SC
34,3+4,NG,1.00,blackDot
35,1+2,NG,0.86,SC
35,3+4,NG,1.00,blackDot
36,1+2,NG,0.86,SC
36,3+4,NG,1.00,blackDot
37,1+2,NG,0.83,SC
37,3+4,NG,0.85,OTP
38,1+2,NG,0.74,SC
38,3+4,NG,1.00,blackDot
39,1+2,NG,0.83,SC
39,3+4,NG,0.83,OTP
40,1+2,NG,0.78,SC
