==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,25,4,SC,4
2,22,7,SC,7
3,23,6,OTP,6
4,29,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,OTP,0.76
1,NG,OTP,0.53
2,OK,-,-
3,NG,SC,0.79
4,OK,-,-
5,OK,-,-
6,NG,OTP,0.54
7,NG,SC,0.59
8,NG,SC,0.69
9,OK,-,-
10,NG,SC,0.68
11,NG,SC,0.60
12,OK,-,-
13,NG,SC,0.65
14,OK,-,-
15,OK,-,-
16,NG,SC,0.75
17,OK,-,-
18,NG,OTP,0.55
19,OK,-,-
20,OK,-,-
21,OK,-,-
22,OK,-,-
23,OK,-,-
24,OK,-,-
25,NG,OTP,0.61
26,NG,SC,0.58
27,OK,-,-
28,OK,-,-

==== 總體統計 ====
總樣品數,29
OK數量,16
NG數量,13
不良率(%),44.83

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,8,0.62
OTP,5,0.38
