==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,10,42,SC,42
2,15,37,SC,18
2,15,37,deform,19
3,45,7,OTP,6
3,45,7,deform,1
4,50,2,OTP,2

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
12,NG,SC,0.74
13,NG,SC,0.87
14,NG,SC,0.81
15,NG,SC,0.54
16,NG,OTP,0.56
17,NG,SC,0.59
18,NG,SC,0.80
19,NG,SC,0.85
20,OK,-,-
21,NG,SC,0.72
22,NG,SC,0.72
23,NG,SC,0.89
24,NG,SC,0.88
25,NG,OTP,0.70
26,NG,SC,0.76
27,NG,SC,0.73
28,NG,SC,0.84
29,NG,SC,0.83
30,NG,SC,0.86
31,NG,SC,0.71
32,NG,SC,0.81
33,NG,SC,0.71
34,NG,SC,0.73
35,NG,SC,0.83
36,OK,-,-
37,NG,SC,0.78
38,NG,SC,0.83
39,NG,SC,0.84
40,NG,SC,0.87
41,NG,SC,0.85
42,NG,SC,0.66
43,NG,SC,0.62
44,NG,SC,0.87
45,NG,deform,1.00
46,NG,deform,1.00
47,NG,deform,1.00
48,NG,deform,1.00
49,NG,deform,1.00
50,NG,deform,1.00
51,NG,deform,1.00
52,NG,deform,1.00
53,NG,deform,1.00
54,NG,deform,1.00
55,NG,deform,1.00
56,NG,deform,1.00
57,NG,deform,1.00
58,NG,deform,1.00
59,NG,deform,1.00
60,NG,deform,1.00
61,NG,deform,1.00
62,NG,deform,1.00
63,NG,deform,1.00

==== 總體統計 ====
總樣品數,52
OK數量,2
NG數量,50
不良率(%),96.15

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,29,0.58
deform,19,0.38
OTP,2,0.04
