==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,15,52,SC,51
1,15,52,INP,1
2,14,53,SC,30
2,14,53,deform,23
3,55,12,OTP,11
3,55,12,deform,1
4,67,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
62,OK,-,-
63,OK,-,-
64,OK,-,-
65,OK,-,-
66,OK,-,-
67,OK,-,-
68,OK,-,-
69,OK,-,-
70,OK,-,-
71,OK,-,-
72,OK,-,-
73,OK,-,-
74,OK,-,-
75,OK,-,-
76,OK,-,-
77,OK,-,-
78,OK,-,-
79,OK,-,-
80,OK,-,-
81,OK,-,-
82,OK,-,-
83,OK,-,-
84,OK,-,-
85,OK,-,-
86,OK,-,-
87,OK,-,-
88,OK,-,-
89,OK,-,-
90,OK,-,-
91,OK,-,-
92,OK,-,-
93,OK,-,-
94,OK,-,-
95,OK,-,-
96,OK,-,-
97,OK,-,-
98,OK,-,-
99,OK,-,-
100,OK,-,-
101,OK,-,-
102,OK,-,-
103,OK,-,-
104,OK,-,-
105,OK,-,-
106,OK,-,-
107,OK,-,-
108,OK,-,-
109,OK,-,-
110,OK,-,-
111,OK,-,-
112,OK,-,-
113,OK,-,-
114,OK,-,-
115,OK,-,-
116,OK,-,-
117,OK,-,-
118,OK,-,-
119,OK,-,-
120,OK,-,-
121,OK,-,-
122,OK,-,-
123,OK,-,-
124,OK,-,-
125,OK,-,-
126,OK,-,-
127,OK,-,-
128,OK,-,-

==== 總體統計 ====
總樣品數,67
OK數量,67
NG數量,0
不良率(%),0.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
