==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,46,137,SC,134
1,46,137,INP,2
1,46,137,deform,1
2,20,163,SC,22
2,20,163,INP,1
2,20,163,deform,140
3,154,29,OTP,26
3,154,29,deform,3
4,177,6,OTP,6

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
103,OK,-,-
104,OK,-,-
105,OK,-,-
106,OK,-,-
107,OK,-,-
108,OK,-,-
109,OK,-,-
110,OK,-,-
111,OK,-,-
112,OK,-,-
113,OK,-,-
114,OK,-,-
115,OK,-,-
116,OK,-,-
117,OK,-,-
118,OK,-,-
119,OK,-,-
120,OK,-,-
121,OK,-,-
122,OK,-,-
123,OK,-,-
124,OK,-,-
125,OK,-,-
126,OK,-,-
127,OK,-,-
128,OK,-,-
129,OK,-,-
130,OK,-,-
131,OK,-,-
132,OK,-,-
133,OK,-,-
134,OK,-,-
135,OK,-,-
136,OK,-,-
137,OK,-,-
138,OK,-,-
139,OK,-,-
140,OK,-,-
141,OK,-,-
142,OK,-,-
143,OK,-,-
144,OK,-,-
145,OK,-,-
146,OK,-,-
147,OK,-,-
148,OK,-,-
149,OK,-,-
150,OK,-,-
151,OK,-,-
152,OK,-,-
153,OK,-,-
154,OK,-,-
155,OK,-,-
156,OK,-,-
157,OK,-,-
158,OK,-,-
159,OK,-,-
160,OK,-,-
161,OK,-,-
162,OK,-,-
163,OK,-,-
164,OK,-,-
165,OK,-,-
166,OK,-,-
167,OK,-,-
168,OK,-,-
169,OK,-,-
170,OK,-,-
171,OK,-,-
172,OK,-,-
173,OK,-,-
174,OK,-,-
175,OK,-,-
176,OK,-,-
177,OK,-,-
178,OK,-,-
179,OK,-,-
180,OK,-,-
181,OK,-,-
182,OK,-,-
183,OK,-,-
184,OK,-,-
185,OK,-,-
186,OK,-,-
187,OK,-,-
188,OK,-,-
189,OK,-,-
190,OK,-,-
191,OK,-,-
192,OK,-,-
193,OK,-,-
194,OK,-,-
195,OK,-,-
196,OK,-,-
197,OK,-,-
198,OK,-,-
199,OK,-,-
200,OK,-,-
201,OK,-,-
202,OK,-,-
203,OK,-,-
204,OK,-,-
205,OK,-,-
206,OK,-,-
207,OK,-,-
208,OK,-,-
209,OK,-,-
210,OK,-,-
211,OK,-,-
212,OK,-,-
213,OK,-,-
214,OK,-,-
215,OK,-,-
216,OK,-,-
217,OK,-,-
218,OK,-,-
219,OK,-,-
220,OK,-,-
221,OK,-,-
222,OK,-,-
223,OK,-,-
224,OK,-,-
225,OK,-,-
226,OK,-,-
227,OK,-,-
228,OK,-,-
229,OK,-,-
230,OK,-,-
231,OK,-,-
232,OK,-,-
233,OK,-,-
234,OK,-,-
235,OK,-,-
236,OK,-,-
237,OK,-,-
238,OK,-,-
239,OK,-,-
240,OK,-,-
241,OK,-,-
242,OK,-,-
243,OK,-,-
244,OK,-,-
245,OK,-,-
246,OK,-,-
247,OK,-,-
248,OK,-,-
249,OK,-,-
250,OK,-,-
251,OK,-,-
252,OK,-,-
253,OK,-,-
254,OK,-,-
255,OK,-,-
256,OK,-,-
257,OK,-,-
258,OK,-,-
259,OK,-,-
260,OK,-,-
261,OK,-,-
262,OK,-,-
263,OK,-,-
264,OK,-,-
265,OK,-,-
266,OK,-,-
267,OK,-,-
268,OK,-,-
269,OK,-,-
270,OK,-,-
271,OK,-,-
272,OK,-,-
273,OK,-,-
274,OK,-,-
275,OK,-,-
276,OK,-,-
277,OK,-,-
278,OK,-,-
279,OK,-,-
280,OK,-,-
281,OK,-,-
282,OK,-,-
283,OK,-,-
284,OK,-,-
285,OK,-,-

==== 總體統計 ====
總樣品數,183
OK數量,183
NG數量,0
不良率(%),0.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
