==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,64,4,SC,4
2,64,4,SC,1
2,64,4,NULL_invalid,2
2,64,4,INP,1
3,67,1,OTP,1
4,67,1,OTP,1

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,OK,0.00,-359.65
1,OK,OK,0.00,-588.90
2,OK,OK,0.00,-574.37
3,NG,SC,0.54,-3962.87
4,OK,OK,0.00,-567.58
5,OK,OK,0.00,-590.96
6,OK,OK,0.00,-593.75
7,OK,OK,0.00,-591.23
8,OK,OK,0.00,-569.60
9,OK,OK,0.00,-574.65
10,OK,OK,0.00,-550.62
11,NG,SC,0.77,-3961.99
12,OK,OK,0.00,-595.56
13,NG,OTP,0.58,-3944.04
14,NG,OTP,0.72,-3980.36
15,OK,OK,0.00,-578.20
16,OK,OK,0.00,-364.98
17,OK,OK,0.00,-596.82
18,OK,OK,0.00,-595.83
19,OK,OK,0.00,-596.40
20,OK,OK,0.00,-596.32
21,OK,OK,0.00,-587.62
22,OK,OK,0.00,-555.34
23,OK,OK,0.00,-570.82
24,OK,OK,0.00,-570.01
25,OK,OK,0.00,1476.60
26,OK,OK,0.00,2746.48
27,OK,OK,0.00,2477.09
28,NG,SC,0.78,-1092.75
29,OK,OK,0.00,1500.85
30,OK,OK,0.00,1615.97
31,OK,OK,0.00,1119.01
32,OK,OK,0.00,567.18
33,OK,OK,0.00,310.22
34,OK,OK,0.00,-588.82
35,OK,OK,0.00,-565.36
36,OK,OK,0.00,-579.35
37,OK,OK,0.00,-589.88
38,OK,OK,0.00,-579.55
39,OK,OK,0.00,-543.98
40,OK,OK,0.00,-552.40
41,OK,SC,0.00,-391.03
42,OK,OK,0.00,-577.30
43,NG,INP,0.60,-3955.35
44,OK,SC,0.00,-593.10
45,OK,OK,0.00,-555.04
46,NG,SC,0.70,-3975.31
47,OK,OK,0.00,-588.78
48,OK,OK,0.00,-578.17
49,OK,OK,0.00,-563.82
50,OK,INP,0.00,-580.81
51,OK,OK,0.00,-560.58
52,OK,OK,0.00,-488.97
53,OK,OK,0.00,-597.16
54,OK,OK,0.00,-594.94
55,OK,OK,0.00,-593.09
56,OK,OK,0.00,-585.60
57,OK,OK,0.00,-589.92
58,NG,SC,0.76,-3941.18
59,OK,OK,0.00,-580.66
60,OK,OK,0.00,-574.77
61,OK,OK,0.00,-550.37
62,OK,OK,0.00,-558.07
63,OK,OK,0.00,-544.22
64,OK,OK,0.00,-563.84
65,OK,OK,0.00,-562.91
66,OK,NULL_invalid,1.00,-1254.27
67,OK,NULL_invalid,1.00,-1256.67

==== 總體統計 ====
總樣品數,68
OK數量,60
NG數量,8
不良率(%),11.76

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,5,0.63
OTP,2,0.25
INP,1,0.13

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
OK,55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SC,7,0.00,0.78,0.51,0.00,0.00,0.70,0.77,0.78,0.78,0.01
OTP,2,0.58,0.72,0.65,0.58,0.58,0.65,0.72,0.72,0.72,0.00
INP,2,0.00,0.60,0.30,0.00,0.00,0.30,0.60,0.60,0.60,0.01
NULL_invalid,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
OK,0.00,0.00,1.00,0.00,0.00
OK,0.05,0.00,0.00,1.00,0.00
OK,0.10,0.00,0.00,1.00,0.00
OK,0.15,0.00,0.00,1.00,0.00
OK,0.20,0.00,0.00,1.00,0.00
OK,0.25,0.00,0.00,1.00,0.00
OK,0.30,0.00,0.00,1.00,0.00
OK,0.35,0.00,0.00,1.00,0.00
OK,0.40,0.00,0.00,1.00,0.00
OK,0.45,0.00,0.00,1.00,0.00
OK,0.50,0.00,0.00,1.00,0.00
OK,0.55,0.00,0.00,1.00,0.00
OK,0.60,0.00,0.00,1.00,0.00
OK,0.65,0.00,0.00,1.00,0.00
OK,0.70,0.00,0.00,1.00,0.00
OK,0.75,0.00,0.00,1.00,0.00
OK,0.80,0.00,0.00,1.00,0.00
OK,0.85,0.00,0.00,1.00,0.00
OK,0.90,0.00,0.00,1.00,0.00
OK,0.95,0.00,0.00,1.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
OK,0.00,0,55,0,0,0.00,0.00,0.00
SC,0.01,5,0,2,0,1.00,1.00,1.00
OTP,0.00,2,0,0,0,1.00,1.00,0.00
INP,0.01,1,0,1,0,1.00,1.00,1.00
NULL_invalid,1.00,0,2,0,0,0.00,0.00,0.00
