==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,SC,0.80
1,NG,SC,0.82
2,NG,SC,0.74
3,NG,SC,0.51
4,NG,SC,0.66
5,NG,SC,0.78
6,NG,INP,0.84
7,NG,SC,0.58
8,OK,-,-
9,NG,SC,0.69
10,NG,SC,0.83
11,OK,-,-
12,NG,SC,0.85
13,OK,-,-
14,NG,OTP,0.72
15,NG,SC,0.62
16,NG,SC,0.69
17,NG,SC,0.78
18,NG,SC,0.83
19,NG,SC,0.79
20,NG,SC,0.75
21,NG,SC,0.81
22,NG,SC,0.78
23,NG,SC,0.89
24,NG,SC,0.82
25,NG,SC,0.85
26,NG,SC,0.87
27,OK,-,-
28,NG,SC,0.89
29,NG,SC,0.82
30,NG,SC,0.80
31,OK,-,-
32,OK,-,-
33,OK,-,-
34,NG,SC,0.77
35,OK,-,-
36,NG,SC,0.79
37,NG,deform,1.00
38,NG,SC,0.69
39,NG,SC,0.86
40,NG,SC,0.81
41,NG,SC,0.82
42,NG,SC,0.79
43,NG,SC,0.80
44,NG,SC,0.81
45,NG,SC,0.62
46,OK,-,-
47,NG,SC,0.84
48,OK,-,-
49,OK,-,-
50,NG,SC,0.80
51,OK,-,-
52,NG,SC,0.90
53,NG,SC,0.75
54,NG,SC,0.82
55,NG,SC,0.86
56,NG,SC,0.80
57,NG,SC,0.56
58,NG,SC,0.84
59,OK,-,-
60,NG,SC,0.78
61,OK,-,-
62,NG,SC,0.71
63,NG,SC,0.83
64,NG,SC,0.85
65,NG,deform,1.00
66,NG,SC,0.64
67,OK,-,-
68,NG,SC,0.81
69,NG,SC,0.82
70,NG,SC,0.84
71,NG,SC,0.81
72,NG,SC,0.80
73,NG,SC,0.84
74,OK,-,-
75,NG,SC,0.80
76,NG,SC,0.86
77,NG,SC,0.79
78,NG,SC,0.88
79,NG,SC,0.86
80,NG,SC,0.85

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
SC,61,0.51,0.90,0.79,0.81,0.88,0.90,0.00
INP,1,0.84,0.84,0.84,0.84,0.84,0.84,0.00
OTP,1,0.72,0.72,0.72,0.72,0.72,0.72,0.00
deform,2,1.00,1.00,1.00,1.00,1.00,1.00,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
SC,0.00,1.00,0.00,1.00,1.00
SC,0.05,1.00,0.00,1.00,1.00
SC,0.10,1.00,0.00,1.00,1.00
SC,0.15,1.00,0.00,1.00,1.00
SC,0.20,1.00,0.00,1.00,1.00
SC,0.25,1.00,0.00,1.00,1.00
SC,0.30,1.00,0.00,1.00,1.00
SC,0.35,1.00,0.00,1.00,1.00
SC,0.40,1.00,0.00,1.00,1.00
SC,0.45,1.00,0.00,1.00,1.00
SC,0.50,1.00,0.00,1.00,1.00
SC,0.55,0.98,0.00,0.98,0.99
SC,0.60,0.95,0.00,0.95,0.97
SC,0.65,0.90,0.00,0.90,0.95
SC,0.70,0.84,0.00,0.84,0.91
SC,0.75,0.80,0.00,0.80,0.89
SC,0.80,0.57,0.00,0.57,0.73
SC,0.85,0.16,0.00,0.16,0.28
SC,0.90,0.00,0.00,0.00,0.00
SC,0.95,0.00,0.00,0.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
SC,0.00,61,0,0,0,1.00,1.00,0.00
INP,0.00,1,0,0,0,1.00,1.00,0.00
OTP,0.00,1,0,0,0,1.00,1.00,0.00
deform,0.00,2,0,0,0,1.00,1.00,0.00
