
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.87
0,2,NG,SC,0.87
0,3,NG,OTP,0.65
0,4,NG,OTP,0.80
1,1,NG,SC,0.80
1,2,NG,SC,0.90
1,3,NG,OTP,0.83
1,4,OK,OTP,0.49
2,1,NG,INP,0.85
2,2,OK,OK,0.00
2,3,NG,OTP,0.81
2,4,NG,OTP,0.86
3,1,NG,SC,0.77
3,2,NG,INP,0.41
3,3,NG,OTP,0.83
3,4,NG,OTP,0.82
4,1,OK,OK,0.00
4,2,NG,SC,0.86
4,3,NG,OTP,0.83
4,4,OK,OTP,0.27
5,1,NG,SC,0.88
5,2,NG,SC,0.85
5,3,NG,OTP,0.86
5,4,NG,OTP,0.59
6,1,NG,SC,0.88
6,2,NG,SC,0.88
6,3,NG,OTP,0.82
6,4,NG,OTP,0.82
7,1,NG,INP,0.68
7,2,OK,OK,0.00
7,3,NG,OTP,0.86
7,4,NG,OTP,0.85
8,1,NG,SC,0.64
8,2,NG,SC,0.58
8,3,NG,OTP,0.85
8,4,NG,OTP,0.82
9,1,NG,SC,0.90
9,2,NG,SC,0.90
9,3,NG,OTP,0.62
9,4,OK,OTP,0.45
10,1,NG,SC,0.88
10,2,NG,SC,0.89
10,3,NG,OTP,0.64
10,4,NG,OTP,0.79
11,1,NG,SC,0.85
11,2,NG,SC,0.72
11,3,NG,OTP,0.83
11,4,NG,OTP,0.66
12,1,OK,OK,0.00
12,2,OK,OK,0.00
12,3,NG,OTP,0.79
12,4,NG,OTP,0.73
13,1,NG,SC,0.84
13,2,NG,SC,0.83
13,3,OK,OTP,0.45
13,4,NG,OTP,0.66
14,1,NG,INP,0.70
14,2,OK,OK,0.00
14,3,NG,OTP,0.85
14,4,NG,OTP,0.83
15,1,NG,SC,0.86
15,2,NG,SC,0.77
15,3,NG,OTP,0.74
15,4,NG,OTP,0.78
16,1,NG,SC,0.86
16,2,NG,SC,0.82
16,3,NG,OTP,0.79
16,4,NG,OTP,0.77
17,1,OK,OK,0.00
17,2,OK,OK,0.00
17,3,NG,OTP,0.72
17,4,NG,OTP,0.70
18,1,NG,SC,0.71
18,2,NG,SC,0.80
18,3,NG,OTP,0.69
18,4,NG,OTP,0.53
19,1,NG,SC,0.91
19,2,NG,SC,0.86
19,3,OK,OTP,0.25
19,4,OK,OTP,0.34
20,1,NG,SC,0.89
20,2,NG,SC,0.86
20,3,NG,OTP,0.81
20,4,NG,OTP,0.78
21,1,NG,SC,0.85
21,2,NG,SC,0.83
21,3,NG,OTP,0.82
21,4,NG,OTP,0.81
22,1,NG,SC,0.87
22,2,OK,OK,0.00
22,3,NG,OTP,0.54
22,4,NG,OTP,0.74
23,1,NG,SC,0.87
23,2,NG,SC,0.82
23,3,NG,OTP,0.77
