
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,OK,OK,0.00
0,2,OK,OK,0.00
0,3,NG,OTP,0.66
0,4,NG,OTP,0.81
1,1,NG,INP,0.83
1,2,OK,OK,0.00
1,3,NG,OTP,0.87
1,4,NG,OTP,0.82
2,1,NG,SC,0.82
2,2,NG,SC,0.85
2,3,NG,OTP,0.86
2,4,NG,OTP,0.67
3,1,NG,SC,0.90
3,2,NG,SC,0.88
3,3,NG,OTP,0.86
3,4,OK,OK,0.00
4,1,NG,SC,0.92
4,2,NG,SC,0.83
4,3,OK,OTP,0.29
4,4,OK,OTP,0.34
5,1,NG,SC,0.86
5,2,NG,SC,0.87
5,3,NG,OTP,0.68
5,4,NG,OTP,0.51
6,1,NG,SC,0.90
6,2,NG,SC,0.88
6,3,NG,OTP,0.84
6,4,NG,OTP,0.75
7,1,NG,INP,0.70
7,2,OK,OK,0.00
7,3,NG,OTP,0.69
7,4,NG,OTP,0.63
8,1,OK,OK,0.00
8,2,OK,OK,0.00
8,3,NG,OTP,0.78
8,4,OK,OTP,0.32
9,1,NG,SC,0.55
9,2,NG,SC,0.85
9,3,NG,OTP,0.87
9,4,NG,OTP,0.83
10,1,NG,SC,0.91
10,2,OK,OK,0.00
10,3,NG,OTP,0.75
10,4,NG,OTP,0.72
11,1,NG,SC,0.85
11,2,NG,SC,0.83
11,3,NG,OTP,0.77
11,4,NG,OTP,0.82
12,1,NG,SC,0.74
12,2,OK,SC,0.31
12,3,NG,OTP,0.78
12,4,NG,OTP,0.74
13,1,NG,SC,0.77
13,2,NG,SC,0.85
13,3,NG,OTP,0.81
13,4,NG,OTP,0.76
14,1,NG,SC,0.84
14,2,NG,SC,0.84
14,3,NG,OTP,0.80
14,4,OK,OTP,0.41
15,1,NG,SC,0.87
15,2,NG,SC,0.73
15,3,NG,OTP,0.78
15,4,NG,OTP,0.56
16,1,NG,SC,0.87
16,2,OK,OK,0.00
16,3,NG,OTP,0.51
16,4,OK,OK,0.00
17,1,NG,SC,0.84
17,2,NG,SC,0.86
17,3,NG,OTP,0.89
17,4,NG,OTP,0.81
18,1,NG,SC,0.86
18,2,NG,SC,0.86
18,3,NG,OTP,0.78
18,4,NG,OTP,0.88
19,1,NG,SC,0.84
19,2,OK,SC,0.40
19,3,NG,OTP,0.79
19,4,NG,OTP,0.70
20,1,NG,SC,0.65
20,2,OK,OK,0.00
20,3,OK,OTP,0.49
20,4,NG,OTP,0.77
21,1,NG,SC,0.91
21,2,NG,SC,0.89
21,3,OK,OTP,0.37
21,4,NG,OTP,0.78
22,1,NG,SC,0.78
