
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,OK,OK,0.00
0,2,NG,wr,0.79
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,OK,OK,0.00
1,2,NG,dirty,0.78
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,dirty,0.89
2,2,NG,dirty,0.85
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,OK,OK,0.00
3,2,OK,OK,0.00
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,wr,0.72
4,2,NG,dirty,0.71
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,OK,OK,0.00
5,2,NG,dirty,0.83
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,bp,0.36
6,2,OK,bp,0.46
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,dirty,0.87
7,2,NG,dirty,0.84
7,3,OK,outsc,0.47
7,4,OK,OK,0.00
8,1,OK,wr,0.37
8,2,OK,dirty,0.47
8,3,OK,OK,0.00
8,4,OK,outsc,0.44
9,1,NG,dirty,0.69
9,2,OK,dirty,0.37
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,dirty,0.43
10,2,OK,dirty,0.54
10,3,OK,outsc,0.38
10,4,OK,OK,0.00
11,1,NG,wr,0.73
11,2,OK,dirty,0.27
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,wr,0.80
12,2,OK,bp,0.38
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,dirty,0.84
13,2,NG,dirty,0.83
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,OK,OK,0.00
14,2,OK,dirty,0.32
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,OK,OK,0.00
15,2,OK,dirty,0.69
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,dirty,0.86
16,2,OK,dirty,0.68
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,wr,0.79
17,2,NG,bp,0.52
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,dirty,0.49
18,2,NG,dirty,0.75
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.81
19,2,NG,dirty,0.82
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,dirty,0.70
20,2,NG,dirty,0.77
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,dirty,0.79
21,2,OK,dirty,0.60
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,wr,0.82
22,2,OK,dirty,0.63
22,3,OK,OK,0.00
22,4,OK,OK,0.00
