
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,bp,0.75
0,2,NG,dirty,0.65
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,dirty,0.77
1,2,NG,dirty,0.80
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,dirty,0.81
2,2,NG,dirty,0.78
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,dirty,0.84
3,2,NG,dirty,0.75
3,3,OK,OK,0.00
3,4,OK,outsc,0.40
4,1,OK,OK,0.00
4,2,NG,dirty,0.71
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,dirty,0.72
5,2,NG,dirty,0.81
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,OK,0.00
6,2,OK,dirty,0.38
6,3,NG,outsc,0.44
6,4,OK,OK,0.00
7,1,NG,dirty,0.89
7,2,NG,bp,0.43
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,dirty,0.76
8,2,NG,bp,0.49
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,dirty,0.71
9,2,OK,OK,0.00
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,NG,dirty,0.85
10,3,OK,OK,0.00
10,4,OK,outsc,0.31
11,1,NG,bp,0.84
11,2,NG,dirty,0.80
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,OK,OK,0.00
12,2,NG,bp,0.41
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,dirty,0.63
13,2,OK,bp,0.37
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,dirty,0.61
14,2,NG,dirty,0.63
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,bp,0.52
15,2,NG,dirty,0.79
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,NG,dirty,0.79
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,OK,OK,0.00
17,2,OK,dirty,0.30
17,3,OK,OK,0.00
17,4,OK,outsc,0.25
18,1,OK,OK,0.00
18,2,NG,dirty,0.62
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.81
19,2,NG,dirty,0.80
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,dirty,0.67
20,2,NG,dirty,0.60
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,OK,dirty,0.33
21,2,OK,bp,0.30
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,OK,OK,0.00
22,2,NG,bp,0.65
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,dirty,0.80
23,2,NG,dirty,0.74
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,dirty,0.75
24,2,NG,dirty,0.84
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,OK,dirty,0.40
25,2,NG,dirty,0.80
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,OK,OK,0.00
26,2,NG,dirty,0.61
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,OK,OK,0.00
