
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,dirty,0.85
0,2,NG,dirty,0.83
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,dirty,0.86
1,2,NG,dirty,0.87
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,dirty,0.88
2,2,NG,dirty,0.82
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,dirty,0.91
3,2,NG,dirty,0.86
3,3,OK,OK,0.00
3,4,OK,outsc,0.40
4,1,OK,OK,0.00
4,2,NG,dirty,0.78
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,dirty,0.86
5,2,NG,dirty,0.85
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,dirty,0.85
6,2,NG,dirty,0.78
6,3,NG,outsc,0.44
6,4,OK,OK,0.00
7,1,NG,dirty,0.92
7,2,NG,bp,0.86
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,dirty,0.76
8,2,NG,bp,0.80
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,dirty,0.89
9,2,NG,dirty,0.75
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,dirty,0.70
10,2,NG,dirty,0.86
10,3,OK,OK,0.00
10,4,OK,outsc,0.31
11,1,NG,bp,0.87
11,2,NG,bp,0.87
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,dirty,0.79
12,2,NG,bp,0.83
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,bp,0.80
13,2,NG,dirty,0.86
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,dirty,0.82
14,2,NG,dirty,0.83
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,dirty,0.86
15,2,NG,bp,0.87
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,dirty,0.87
16,2,NG,dirty,0.85
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,OK,OK,0.00
17,2,NG,bp,0.80
17,3,OK,OK,0.00
17,4,OK,outsc,0.25
18,1,OK,OK,0.00
18,2,NG,dirty,0.77
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.83
19,2,NG,dirty,0.88
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,dirty,0.87
20,2,NG,dirty,0.86
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,dirty,0.88
21,2,NG,dirty,0.82
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,dirty,0.82
22,2,NG,bp,0.84
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,dirty,0.87
23,2,NG,dirty,0.87
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,dirty,0.91
24,2,NG,dirty,0.92
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,dirty,0.85
25,2,NG,dirty,0.85
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,dirty,0.58
26,2,NG,dirty,0.84
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,NG,bp,0.49
27,2,NG,dirty,0.84
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,bp,0.84
28,2,NG,dirty,0.83
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,dirty,0.90
29,2,NG,dirty,0.86
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,NG,dirty,0.87
30,2,NG,dirty,0.87
30,3,NG,outsc,0.48
30,4,NG,outsc,0.75
31,1,OK,OK,0.00
31,2,NG,dirty,0.87
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,bp,0.88
32,2,NG,dirty,0.88
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,NG,dirty,0.84
33,2,NG,dirty,0.84
33,3,OK,OK,0.00
33,4,NG,outsc,0.50
34,1,NG,dirty,0.75
34,2,NG,bp,0.83
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,OK,OK,0.00
35,2,NG,dirty,0.85
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,dirty,0.93
36,2,NG,bp,0.73
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,dirty,0.88
37,2,NG,dirty,0.85
37,3,OK,outsc,0.33
37,4,OK,OK,0.00
38,1,NG,bp,0.55
38,2,NG,dirty,0.86
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,NG,bp,0.85
39,2,NG,bp,0.85
39,3,NG,outsc,0.66
39,4,OK,OK,0.00
40,1,NG,dirty,0.87
40,2,NG,dirty,0.83
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,dirty,0.93
41,2,NG,bp,0.85
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,OK,OK,0.00
42,2,NG,dirty,0.81
42,3,OK,OK,0.00
42,4,OK,OK,0.00
43,1,NG,bp,0.83
43,2,NG,dirty,0.86
43,3,OK,OK,0.00
43,4,OK,OK,0.00
44,1,NG,dirty,0.87
44,2,NG,dirty,0.83
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,OK,OK,0.00
45,2,NG,dirty,0.82
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,NG,dirty,0.87
46,2,NG,dirty,0.86
46,3,OK,OK,0.00
