
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,wr,0.92
0,2,NG,wr,0.94
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,wr,0.94
1,2,NG,wr,0.95
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,wr,0.87
2,2,NG,wr,0.90
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,wr,0.95
3,2,NG,wr,0.92
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,wr,0.90
4,2,NG,wr,0.83
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,dirty,0.85
5,2,NG,dirty,0.86
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,wr,0.35
6,2,NG,wr,0.86
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,wr,0.96
7,2,NG,wr,0.94
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,wr,0.91
8,2,NG,wr,0.94
8,3,OK,OK,0.00
8,4,NG,outsc,0.82
9,1,NG,wr,0.90
9,2,NG,wr,0.91
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,wr,0.88
10,2,NG,wr,0.89
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,wr,0.77
11,2,NG,dirty,0.85
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,wr,0.82
12,2,NG,wr,0.94
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,wr,0.90
13,2,NG,wr,0.93
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,wr,0.86
14,2,NG,dirty,0.86
14,3,OK,outsc,0.25
14,4,OK,outsc,0.35
15,1,NG,wr,0.93
15,2,NG,wr,0.95
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,wr,0.93
16,2,NG,wr,0.95
16,3,OK,OK,0.00
16,4,OK,outsc,0.29
17,1,NG,wr,0.94
17,2,NG,wr,0.87
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,wr,0.94
18,2,NG,wr,0.91
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,wr,0.95
19,2,NG,wr,0.91
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,wr,0.87
20,2,NG,wr,0.89
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,OK,OK,0.00
21,2,NG,dirty,0.86
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,wr,0.90
22,2,NG,wr,0.86
22,3,NG,outsc,0.67
22,4,NG,outsc,0.76
23,1,NG,wr,0.88
23,2,NG,wr,0.94
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,dirty,0.87
24,2,NG,wr,0.91
24,3,OK,OK,0.00
24,4,NG,outsc,0.71
25,1,NG,wr,0.85
25,2,NG,wr,0.91
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,wr,0.90
26,2,NG,wr,0.93
26,3,NG,outsc,0.87
26,4,NG,outsc,0.82
27,1,NG,wr,0.88
27,2,NG,dirty,0.85
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,wr,0.84
28,2,NG,dirty,0.76
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,wr,0.86
29,2,NG,wr,0.86
29,3,NG,outsc,0.83
29,4,NG,outsc,0.81
30,1,NG,wr,0.89
30,2,NG,wr,0.90
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,NG,dirty,0.63
31,2,NG,bp,0.76
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,wr,0.94
32,2,NG,wr,0.94
32,3,OK,outsc,0.28
32,4,OK,OK,0.00
33,1,NG,wr,0.88
33,2,NG,wr,0.88
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,wr,0.91
34,2,NG,wr,0.90
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,wr,0.87
35,2,NG,wr,0.95
35,3,OK,OK,0.00
35,4,NG,outsc,0.61
36,1,NG,dirty,0.91
36,2,NG,wr,0.94
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,wr,0.91
37,2,NG,bp,0.83
37,3,OK,outsc,0.26
37,4,OK,OK,0.00
38,1,NG,wr,0.93
38,2,NG,wr,0.90
38,3,OK,OK,0.00
38,4,OK,outsc,0.30
39,1,NG,wr,0.84
39,2,NG,wr,0.87
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,dirty,0.81
40,2,NG,dirty,0.82
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,wr,0.90
41,2,NG,wr,0.93
41,3,OK,OK,0.00
