
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,wr,0.84
0,2,NG,wr,0.92
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,wr,0.92
1,2,NG,wr,0.93
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,wr,0.84
2,2,NG,wr,0.87
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,wr,0.90
3,2,NG,wr,0.87
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,wr,0.83
4,2,NG,wr,0.90
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,wr,0.83
5,2,NG,wr,0.86
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,wr,0.71
6,2,NG,dirty,0.63
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,wr,0.91
7,2,NG,wr,0.91
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,wr,0.92
8,2,NG,wr,0.89
8,3,OK,OK,0.00
8,4,NG,outsc,0.82
9,1,NG,wr,0.88
9,2,NG,wr,0.91
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,wr,0.80
10,2,NG,wr,0.80
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,wr,0.82
11,2,NG,dirty,0.59
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,wr,0.86
12,2,NG,wr,0.90
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,wr,0.88
13,2,NG,wr,0.92
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,wr,0.84
14,2,NG,wr,0.89
14,3,OK,outsc,0.25
14,4,OK,outsc,0.35
15,1,NG,wr,0.84
15,2,NG,wr,0.79
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,wr,0.91
16,2,NG,wr,0.92
16,3,OK,OK,0.00
16,4,OK,outsc,0.29
17,1,NG,wr,0.91
17,2,NG,wr,0.86
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,wr,0.82
18,2,NG,wr,0.88
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,wr,0.92
19,2,NG,wr,0.92
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,wr,0.88
20,2,NG,wr,0.86
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,OK,OK,0.00
21,2,NG,dirty,0.67
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,wr,0.86
22,2,NG,wr,0.78
22,3,NG,outsc,0.67
22,4,NG,outsc,0.76
23,1,NG,wr,0.89
23,2,NG,wr,0.93
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,wr,0.76
24,2,NG,wr,0.83
24,3,OK,OK,0.00
24,4,NG,outsc,0.71
25,1,NG,wr,0.87
25,2,NG,wr,0.92
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,wr,0.87
26,2,NG,wr,0.93
26,3,NG,outsc,0.87
26,4,NG,outsc,0.82
27,1,NG,wr,0.81
27,2,NG,wr,0.86
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,wr,0.89
28,2,NG,wr,0.76
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,wr,0.93
29,2,NG,wr,0.84
29,3,NG,outsc,0.83
29,4,NG,outsc,0.81
30,1,NG,wr,0.87
30,2,NG,wr,0.88
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,NG,wr,0.71
31,2,NG,wr,0.61
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,wr,0.87
32,2,NG,wr,0.89
32,3,OK,outsc,0.28
32,4,OK,OK,0.00
33,1,NG,wr,0.80
33,2,NG,wr,0.86
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,wr,0.88
34,2,NG,wr,0.87
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,wr,0.91
35,2,NG,wr,0.90
35,3,OK,OK,0.00
35,4,NG,outsc,0.61
36,1,NG,wr,0.93
36,2,NG,wr,0.93
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,wr,0.86
37,2,NG,wr,0.83
37,3,OK,outsc,0.26
37,4,OK,OK,0.00
38,1,NG,wr,0.91
38,2,NG,wr,0.89
38,3,OK,OK,0.00
38,4,OK,outsc,0.30
39,1,NG,wr,0.88
39,2,NG,wr,0.88
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,dirty,0.47
40,2,NG,bp,0.51
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,wr,0.82
41,2,NG,wr,0.90
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,NG,wr,0.83
42,2,NG,wr,0.78
42,3,NG,outsc,0.68
42,4,OK,OK,0.00
43,1,NG,wr,0.84
43,2,NG,wr,0.92
43,3,OK,OK,0.00
43,4,OK,OK,0.00
44,1,NG,wr,0.80
44,2,NG,wr,0.83
44,3,NG,outsc,0.84
44,4,NG,outsc,0.83
45,1,NG,wr,0.76
45,2,NG,dirty,0.72
45,3,OK,OK,0.00
45,4,NG,outsc,0.85
46,1,NG,wr,0.91
46,2,NG,wr,0.92
46,3,OK,OK,0.00
46,4,OK,OK,0.00
47,1,NG,wr,0.91
47,2,NG,wr,0.86
47,3,OK,OK,0.00
47,4,OK,OK,0.00
48,1,NG,wr,0.92
48,2,NG,wr,0.88
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,NG,wr,0.83
49,2,NG,wr,0.92
49,3,OK,OK,0.00
49,4,OK,OK,0.00
50,1,NG,wr,0.91
50,2,NG,wr,0.92
50,3,OK,OK,0.00
50,4,NG,outsc,0.84
51,1,NG,wr,0.87
51,2,NG,wr,0.94
51,3,OK,OK,0.00
51,4,OK,OK,0.00
52,1,NG,wr,0.85
52,2,NG,wr,0.90
52,3,OK,OK,0.00
52,4,OK,OK,0.00
53,1,NG,wr,0.90
53,2,NG,wr,0.88
53,3,OK,OK,0.00
53,4,OK,OK,0.00
54,1,NG,wr,0.89
54,2,NG,wr,0.89
54,3,OK,OK,0.00
54,4,OK,OK,0.00
55,1,NG,dirty,0.89
55,2,NG,dirty,0.87
55,3,NG,outsc,0.78
55,4,OK,OK,0.00
56,1,NG,bp,0.61
56,2,NG,wr,0.70
56,3,OK,OK,0.00
56,4,OK,OK,0.00
57,1,NG,wr,0.86
57,2,NG,wr,0.63
57,3,NG,outsc,0.40
57,4,OK,OK,0.00
58,1,NG,wr,0.82
58,2,NG,wr,0.93
58,3,NG,outsc,0.57
58,4,OK,OK,0.00
59,1,NG,wr,0.81
59,2,NG,dirty,0.78
59,3,OK,OK,0.00
59,4,OK,OK,0.00
60,1,NG,wr,0.89
60,2,NG,wr,0.88
60,3,OK,OK,0.00
60,4,OK,OK,0.00
61,1,NG,dirty,0.75
61,2,NG,dirty,0.60
61,3,NG,outsc,0.79
61,4,NG,outsc,0.40
62,1,NG,wr,0.92
62,2,NG,wr,0.93
62,3,OK,OK,0.00
62,4,OK,OK,0.00
63,1,NG,wr,0.88
63,2,NG,wr,0.81
63,3,OK,OK,0.00
63,4,OK,OK,0.00
64,1,NG,wr,0.92
64,2,NG,wr,0.92
64,3,OK,OK,0.00
64,4,OK,OK,0.00
65,1,NG,wr,0.84
65,2,NG,wr,0.90
65,3,OK,OK,0.00
65,4,OK,OK,0.00
66,1,NG,wr,0.92
66,2,NG,wr,0.90
66,3,NG,outsc,0.86
66,4,NG,outsc,0.84
67,1,NG,wr,0.85
67,2,NG,dirty,0.78
67,3,OK,OK,0.00
67,4,OK,OK,0.00
68,1,NG,wr,0.84
68,2,NG,wr,0.89
68,3,OK,OK,0.00
68,4,OK,OK,0.00
69,1,NG,wr,0.71
69,2,NG,dirty,0.70
69,3,OK,OK,0.00
69,4,OK,OK,0.00
70,1,NG,wr,0.92
70,2,NG,wr,0.81
70,3,OK,OK,0.00
70,4,OK,OK,0.00
71,1,NG,wr,0.92
71,2,NG,wr,0.87
71,3,NG,outsc,0.80
71,4,NG,outsc,0.80
72,1,NG,wr,0.89
72,2,NG,wr,0.85
72,3,OK,OK,0.00
72,4,OK,OK,0.00
73,1,NG,wr,0.91
73,2,NG,wr,0.86
73,3,OK,OK,0.00
73,4,OK,OK,0.00
74,1,NG,wr,0.82
74,2,NG,wr,0.89
74,3,OK,OK,0.00
74,4,OK,OK,0.00
75,1,NG,wr,0.83
75,2,NG,wr,0.81
75,3,OK,OK,0.00
75,4,NG,outsc,0.49
76,1,NG,wr,0.85
76,2,NG,wr,0.84
76,3,OK,OK,0.00
76,4,OK,OK,0.00
77,1,NG,wr,0.86
77,2,NG,wr,0.74
77,3,OK,OK,0.00
77,4,OK,OK,0.00
78,1,NG,wr,0.88
78,2,NG,wr,0.90
78,3,NG,outsc,0.57
78,4,OK,OK,0.00
79,1,NG,wr,0.72
79,2,NG,wr,0.85
79,3,OK,OK,0.00
79,4,OK,OK,0.00
80,1,NG,wr,0.80
80,2,NG,wr,0.91
80,3,OK,OK,0.00
80,4,OK,OK,0.00
81,1,NG,wr,0.84
81,2,NG,wr,0.88
81,3,NG,outsc,0.85
81,4,NG,outsc,0.81
82,1,NG,wr,0.91
82,2,NG,wr,0.83
82,3,NG,outsc,0.84
82,4,NG,outsc,0.70
83,1,NG,wr,0.91
83,2,NG,wr,0.88
83,3,OK,OK,0.00
83,4,OK,OK,0.00
84,1,NG,wr,0.92
84,2,NG,wr,0.90
84,3,OK,OK,0.00
84,4,OK,OK,0.00
85,1,NG,dirty,0.89
85,2,NG,dirty,0.79
85,3,OK,OK,0.00
85,4,NG,outsc,0.54
86,1,NG,wr,0.83
86,2,NG,dirty,0.77
86,3,OK,OK,0.00
86,4,OK,outsc,0.31
87,1,NG,wr,0.89
87,2,NG,wr,0.86
87,3,OK,OK,0.00
87,4,OK,OK,0.00
88,1,NG,wr,0.93
88,2,NG,wr,0.92
88,3,OK,OK,0.00
88,4,OK,OK,0.00
89,1,NG,wr,0.86
89,2,NG,wr,0.84
89,3,OK,OK,0.00
89,4,OK,OK,0.00
90,1,NG,wr,0.88
90,2,NG,wr,0.87
90,3,OK,OK,0.00
90,4,OK,OK,0.00
91,1,NG,wr,0.87
91,2,NG,wr,0.86
91,3,OK,OK,0.00
91,4,OK,OK,0.00
92,1,NG,wr,0.84
92,2,NG,wr,0.87
92,3,OK,OK,0.00
92,4,OK,OK,0.00
93,1,NG,wr,0.91
93,2,NG,wr,0.80
93,3,OK,OK,0.00
93,4,OK,OK,0.00
94,1,NG,wr,0.89
94,2,NG,wr,0.89
94,3,NG,outsc,0.78
94,4,NG,outsc,0.87
95,1,NG,wr,0.87
95,2,NG,wr,0.88
95,3,OK,OK,0.00
95,4,OK,OK,0.00
96,1,NG,wr,0.93
96,2,NG,wr,0.93
96,3,NG,outsc,0.55
96,4,NG,outsc,0.76
97,1,NG,wr,0.85
97,2,NG,dirty,0.72
97,3,NG,outsc,0.49
97,4,OK,OK,0.00
98,1,NG,wr,0.92
98,2,NG,wr,0.88
98,3,OK,OK,0.00
98,4,OK,OK,0.00
99,1,NG,wr,0.85
99,2,NG,wr,0.83
99,3,OK,OK,0.00
99,4,OK,OK,0.00

==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.92,wr
0,3+4,OK,0.00,OK
1,1+2,NG,0.93,wr
1,3+4,OK,0.00,OK
2,1+2,NG,0.87,wr
2,3+4,OK,0.00,OK
3,1+2,NG,0.90,wr
3,3+4,OK,0.00,OK
4,1+2,NG,0.90,wr
4,3+4,OK,0.00,OK
5,1+2,NG,0.86,wr
5,3+4,OK,0.00,OK
6,1+2,NG,0.71,wr
6,3+4,OK,0.00,OK
7,1+2,NG,0.91,wr
7,3+4,OK,0.00,OK
8,1+2,NG,0.92,wr
8,3+4,NG,0.82,outsc
9,1+2,NG,0.91,wr
9,3+4,OK,0.00,OK
10,1+2,NG,0.80,wr
10,3+4,OK,0.00,OK
11,1+2,NG,0.82,wr
11,3+4,OK,0.00,OK
12,1+2,NG,0.90,wr
