
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,dirty,0.88
0,2,NG,dirty,0.90
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,OK,OK,0.00
1,2,OK,OK,0.00
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,dirty,0.88
2,2,OK,OK,0.00
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,OK,OK,0.00
3,2,NG,bp,0.86
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,OK,OK,0.00
4,2,OK,OK,0.00
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,OK,OK,0.00
5,2,OK,OK,0.00
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,dirty,0.67
6,2,NG,dirty,0.90
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,bp,0.87
7,2,NG,dirty,0.92
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,dirty,0.89
8,2,NG,dirty,0.89
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,bp,0.89
9,2,NG,bp,0.86
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,dirty,0.88
10,2,OK,OK,0.00
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,OK,OK,0.00
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,OK,OK,0.00
12,2,OK,OK,0.00
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,bp,0.60
13,2,NG,dirty,0.58
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,dirty,0.91
14,2,OK,OK,0.00
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,bp,0.83
15,2,NG,dirty,0.83
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,bp,0.88
16,2,NG,bp,0.83
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,dirty,0.88
17,2,OK,OK,0.00
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,OK,0.00
18,2,NG,dirty,0.44
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.69
19,2,OK,OK,0.00
19,3,OK,OK,0.00
