
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,wr,0.86
0,2,NG,wr,0.82
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,wr,0.83
1,2,NG,wr,0.83
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,wr,0.84
2,2,NG,wr,0.88
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,wr,0.83
3,2,NG,wr,0.74
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,wr,0.87
4,2,NG,wr,0.79
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,wr,0.87
5,2,NG,wr,0.87
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,wr,0.83
6,2,NG,wr,0.87
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,wr,0.54
7,2,NG,wr,0.68
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,wr,0.82
8,2,NG,wr,0.66
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,wr,0.88
9,2,NG,wr,0.82
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,OK,OK,0.00
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,wr,0.83
11,2,NG,wr,0.79
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,wr,0.77
12,2,NG,wr,0.76
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,wr,0.83
13,2,NG,wr,0.71
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,wr,0.85
14,2,NG,wr,0.85
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,wr,0.71
15,2,NG,wr,0.86
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,wr,0.78
16,2,NG,wr,0.80
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,wr,0.88
17,2,NG,wr,0.87
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,wr,0.80
18,2,NG,wr,0.86
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,wr,0.74
19,2,NG,wr,0.81
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,dirty,0.89
20,2,NG,dirty,0.80
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,wr,0.87
21,2,NG,wr,0.84
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,OK,OK,0.00
22,2,NG,bp,0.62
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,wr,0.88
23,2,NG,wr,0.86
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,wr,0.77
24,2,NG,wr,0.84
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,wr,0.87
25,2,NG,wr,0.83
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,wr,0.87
26,2,NG,wr,0.87
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,NG,wr,0.91
27,2,NG,wr,0.85
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,wr,0.83
28,2,NG,wr,0.82
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,wr,0.88
29,2,NG,wr,0.75
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,NG,wr,0.85
30,2,NG,wr,0.74
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,NG,wr,0.88
31,2,NG,wr,0.84
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,wr,0.85
32,2,NG,wr,0.64
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,NG,wr,0.78
33,2,NG,wr,0.84
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,wr,0.76
34,2,NG,wr,0.86
34,3,OK,OK,0.00
34,4,OK,OK,0.00
