==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,8,19,bp,2
1,8,19,SC,14
1,8,19,WP,3
2,13,14,bp,8
2,13,14,SC,5
2,13,14,WP,1
3,13,14,outsc,13
3,13,14,deform,1
4,12,15,outsc,15

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
8,NG,outsc,0.86
9,NG,deform,1.00
10,NG,outsc,0.88
11,NG,outsc,0.84
12,NG,outsc,0.88
13,NG,SC,0.79
14,NG,outsc,0.88
15,NG,outsc,0.88
16,NG,SC,0.75
17,NG,bp,0.50
18,NG,SC,0.82
19,NG,SC,0.67
20,NG,bp,0.59
21,NG,SC,0.78
22,NG,bp,0.52
23,NG,SC,0.69
24,NG,bp,0.75
25,NG,WP,0.77
26,NG,WP,0.72

==== 總體統計 ====
總樣品數,19
OK數量,0
NG數量,19
不良率(%),100.00

==== 瑕疵統計 ====
瑕疵類型,數量,比例
outsc,6,0.32
SC,6,0.32
bp,4,0.21
WP,2,0.11
deform,1,0.05
