==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,243,0,無,0
2,243,0,無,0
3,146,97,outsc,96
3,146,97,deform,1
4,172,71,outsc,70
4,172,71,deform,1

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,outsc,0.67
1,OK,-,-
2,OK,-,-
3,OK,-,-
4,OK,-,-
5,NG,outsc,0.59
6,NG,outsc,0.69
7,NG,outsc,0.84
8,OK,-,-
9,NG,outsc,0.68
10,OK,-,-
11,NG,outsc,0.77
12,OK,-,-
13,NG,outsc,0.72
14,NG,outsc,0.89
15,NG,outsc,0.55
16,OK,-,-
17,NG,outsc,0.52
18,OK,-,-
19,OK,-,-
20,NG,outsc,0.63
21,NG,outsc,0.77
22,OK,-,-
23,OK,-,-
24,OK,-,-
25,OK,-,-
26,NG,outsc,0.82
27,NG,outsc,0.86
28,NG,outsc,0.66
29,NG,deform,1.00
30,NG,outsc,0.59
31,NG,outsc,0.67
32,NG,outsc,0.60
33,NG,outsc,0.50
34,OK,-,-
35,OK,-,-
36,NG,outsc,0.53
37,OK,-,-
38,OK,-,-
39,OK,-,-
40,NG,outsc,0.78
41,NG,outsc,0.68
42,NG,outsc,0.67
43,OK,-,-
44,OK,-,-
45,NG,outsc,0.60
46,NG,outsc,0.79
47,NG,outsc,0.71
48,NG,outsc,0.82
49,NG,outsc,0.81
50,NG,outsc,0.85
51,NG,outsc,0.63
52,NG,outsc,0.89
53,OK,-,-
54,NG,outsc,0.69
55,NG,outsc,0.78
56,OK,-,-
57,NG,outsc,0.65
58,NG,outsc,0.85
59,NG,outsc,0.51
60,OK,-,-
61,NG,outsc,0.58
62,OK,-,-
63,NG,outsc,0.73
64,NG,outsc,0.72
65,NG,outsc,0.86
66,OK,-,-
67,NG,outsc,0.62
68,OK,-,-
69,OK,-,-
70,NG,outsc,0.86
71,OK,-,-
72,OK,-,-
73,NG,outsc,0.63
74,OK,-,-
75,NG,outsc,0.63
76,NG,outsc,0.84
77,NG,outsc,0.59
78,NG,outsc,0.52
79,NG,outsc,0.64
80,OK,-,-
81,NG,outsc,0.83
82,NG,outsc,0.73
83,NG,outsc,0.59
84,OK,-,-
85,NG,outsc,0.83
86,NG,outsc,0.78
87,NG,outsc,0.71
88,OK,-,-
89,NG,outsc,0.55
90,OK,-,-
91,NG,outsc,0.83
92,NG,outsc,0.62
93,OK,-,-
94,NG,outsc,0.85
95,OK,-,-
96,NG,outsc,0.87
97,NG,outsc,0.60
98,NG,outsc,0.68
99,NG,outsc,0.84
100,NG,outsc,0.82
101,NG,outsc,0.59
102,NG,outsc,0.52
103,NG,outsc,0.86
104,OK,-,-
105,NG,outsc,0.80
106,NG,outsc,0.57
107,NG,outsc,0.83
108,NG,outsc,0.81
109,NG,outsc,0.88
110,OK,-,-
111,NG,outsc,0.61
112,OK,-,-
113,NG,outsc,0.56
114,OK,-,-
115,NG,outsc,0.77
116,OK,-,-
117,NG,outsc,0.52
118,OK,-,-
119,OK,-,-
120,NG,outsc,0.85
121,NG,outsc,0.88
122,OK,-,-
123,NG,outsc,0.91
124,NG,outsc,0.69
125,NG,outsc,0.78
126,NG,outsc,0.62
127,NG,outsc,0.61
128,OK,-,-
129,NG,outsc,0.88
130,NG,outsc,0.54
131,OK,-,-
132,NG,outsc,0.87
133,NG,outsc,0.81
134,NG,outsc,0.78
135,OK,-,-
136,NG,outsc,0.89
137,OK,-,-
138,OK,-,-
139,OK,-,-
140,OK,-,-
141,OK,-,-
142,OK,-,-
143,OK,-,-
144,OK,-,-
145,OK,-,-
146,OK,-,-
147,OK,-,-
148,NG,outsc,0.76
149,OK,-,-
150,OK,-,-
151,NG,outsc,0.68
152,NG,outsc,0.73
153,OK,-,-
154,NG,outsc,0.66
155,OK,-,-
156,OK,-,-
157,OK,-,-
158,OK,-,-
159,NG,outsc,0.87
160,NG,outsc,0.56
161,OK,-,-
162,OK,-,-
163,OK,-,-
164,NG,outsc,0.78
165,OK,-,-
166,NG,outsc,0.74
167,NG,outsc,0.83
168,NG,outsc,0.65
169,OK,-,-
170,OK,-,-
171,NG,outsc,0.78
172,OK,-,-
173,NG,outsc,0.64
174,NG,outsc,0.56
175,OK,-,-
176,NG,outsc,0.93
177,OK,-,-
178,OK,-,-
179,NG,outsc,0.87
180,OK,-,-
181,NG,outsc,0.84
182,NG,outsc,0.76
183,NG,outsc,0.71
184,NG,outsc,0.81
185,NG,outsc,0.84
186,NG,outsc,0.55
187,NG,outsc,0.68
188,NG,outsc,0.65
189,NG,outsc,0.51
190,NG,outsc,0.78
191,NG,outsc,0.54
192,NG,outsc,0.86
193,NG,outsc,0.58
194,OK,-,-
195,OK,-,-
196,OK,-,-
197,OK,-,-
198,NG,outsc,0.74
199,NG,outsc,0.59
200,NG,outsc,0.57
201,NG,outsc,0.91
202,NG,outsc,0.86
203,OK,-,-
204,NG,outsc,0.54
205,OK,-,-
206,OK,-,-
207,NG,outsc,0.68
208,NG,outsc,0.68
209,NG,outsc,0.87
210,OK,-,-
211,OK,-,-
212,OK,-,-
213,NG,outsc,0.60
214,NG,outsc,0.75
215,OK,-,-
216,OK,-,-
217,NG,outsc,0.76
218,NG,outsc,0.58
219,OK,-,-
220,OK,-,-
221,NG,outsc,0.67
222,OK,-,-
223,OK,-,-
224,NG,outsc,0.87
225,NG,outsc,0.76
226,NG,outsc,0.51
227,NG,outsc,0.67
228,NG,outsc,0.73
229,NG,outsc,0.50
230,OK,-,-
231,NG,outsc,0.83
232,OK,-,-
233,NG,outsc,0.84
234,NG,outsc,0.90
235,NG,outsc,0.87
236,OK,-,-
237,NG,outsc,0.58
238,OK,-,-
239,NG,outsc,0.87
240,NG,outsc,0.68
