==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,OK,bp,0.42,-21.95
1,OK,outsc,0.35,45.13
2,OK,outsc,0.36,72.89
3,OK,outsc,0.40,-11.20
4,NG,bp,0.65,-3420.85
5,OK,outsc,0.44,-32.97
6,OK,OK,0.00,85.42
7,NG,outsc,0.78,-3216.74
8,OK,OK,0.00,15.88
9,OK,OK,0.00,-15.94
10,OK,OK,0.00,-77.46
11,OK,outsc,0.38,-53.82
12,OK,outsc,0.30,19.25
13,OK,outsc,0.38,71.89
14,NG,dirty,0.72,-3262.11
15,OK,outsc,0.41,33.76
16,NG,outsc,0.50,-3346.17
17,OK,outsc,0.48,32.14
18,OK,outsc,0.45,-42.78
19,NG,outsc,0.75,-3437.55
20,NG,outsc,0.73,-3186.92
21,OK,outsc,0.45,99.28
22,OK,outsc,0.29,37.04
23,OK,wr,0.47,77.86
24,OK,outsc,0.32,44.70
25,NG,outsc,0.55,-3300.27
26,OK,OK,0.00,41.14
27,NG,outsc,0.82,-3295.73
28,NG,outsc,0.60,-3313.34
29,NG,outsc,0.56,-3247.27
30,OK,outsc,0.37,94.67
31,NG,outsc,0.77,-3156.53
32,OK,outsc,0.38,187.62
33,OK,outsc,0.49,119.29
34,OK,outsc,0.32,22.39
35,OK,OK,0.00,31.65
36,NG,cf,0.57,-3349.52
37,NG,cf,0.60,-3378.59
38,NG,outsc,0.63,-3268.71
39,OK,outsc,0.42,50.45
40,NG,cf,0.55,-3422.94
41,NG,outsc,0.63,-3414.28
42,OK,outsc,0.43,-59.06
43,OK,outsc,0.48,217.25
44,NG,outsc,0.51,-3199.25
45,OK,outsc,0.43,80.41
46,OK,outsc,0.35,40.83
47,NG,outsc,0.86,-3314.62
48,OK,outsc,0.29,58.82
49,NG,dirty,0.67,-3295.02
50,OK,outsc,0.42,35.96
51,OK,outsc,0.30,42.25
52,OK,outsc,0.28,123.24
53,NG,outsc,0.80,-3047.56
54,NG,outsc,0.52,-3067.40
55,OK,outsc,0.35,230.35
56,OK,outsc,0.29,193.00
57,OK,outsc,0.48,178.93
58,NG,outsc,0.73,-3182.85
59,OK,outsc,0.50,99.83
60,OK,outsc,0.31,74.12
61,NG,outsc,0.64,-3206.76
62,OK,OK,0.00,124.16
63,OK,OK,0.00,133.55
64,OK,outsc,0.26,62.81
65,OK,dirty,0.31,206.86
66,NG,outsc,0.85,-3185.59
67,OK,outsc,0.31,94.12
68,OK,outsc,0.42,41.20
69,OK,OK,0.00,55.53
70,NG,outsc,0.52,-3436.77
71,OK,OK,0.00,-111.64
72,OK,outsc,0.29,-213.07
73,NG,outsc,0.64,-3567.16
74,OK,outsc,0.36,-199.15
75,NG,outsc,0.81,-3537.22
76,OK,outsc,0.35,-191.58
77,NG,outsc,0.60,-3555.68
78,OK,outsc,0.38,-885.75
79,OK,outsc,0.32,-902.20
80,NG,outsc,0.65,-3588.78
81,OK,outsc,0.47,-913.47
82,OK,outsc,0.38,-979.56
83,OK,outsc,0.34,-1019.63
84,OK,outsc,0.37,-949.95
85,NG,outsc,0.77,-3640.49
86,NG,outsc,0.87,-3662.62
87,OK,outsc,0.30,-991.58
88,OK,outsc,0.40,-1152.57
89,NG,outsc,0.86,-3829.57
90,OK,OK,0.00,-1097.15
91,OK,outsc,0.41,-1111.20
92,OK,outsc,0.38,-1086.72
93,OK,outsc,0.35,-1115.82

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
bp,2,0.42,0.65,0.53,0.42,0.42,0.53,0.65,0.65,0.65,0.42
outsc,74,0.26,0.87,0.49,0.29,0.35,0.42,0.60,0.85,0.87,0.50
OK,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dirty,3,0.31,0.72,0.57,0.31,0.31,0.67,0.72,0.72,0.72,0.32
wr,1,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
cf,3,0.55,0.60,0.57,0.55,0.55,0.57,0.60,0.60,0.60,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
outsc,0.00,1.00,1.00,0.35,0.52
outsc,0.05,1.00,1.00,0.35,0.52
outsc,0.10,1.00,1.00,0.35,0.52
outsc,0.15,1.00,1.00,0.35,0.52
outsc,0.20,1.00,1.00,0.35,0.52
outsc,0.25,1.00,1.00,0.35,0.52
outsc,0.30,1.00,0.88,0.43,0.55
outsc,0.35,1.00,0.65,0.58,0.63
outsc,0.40,1.00,0.38,0.76,0.74
outsc,0.45,1.00,0.13,0.92,0.90
outsc,0.50,1.00,0.00,1.00,1.00
outsc,0.55,0.81,0.00,0.93,0.89
outsc,0.60,0.73,0.00,0.91,0.84
outsc,0.65,0.50,0.00,0.82,0.67
outsc,0.70,0.50,0.00,0.82,0.67
outsc,0.75,0.42,0.00,0.80,0.59
outsc,0.80,0.27,0.00,0.74,0.42
outsc,0.85,0.12,0.00,0.69,0.21
outsc,0.90,0.00,0.00,0.65,0.00
outsc,0.95,0.00,0.00,0.65,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
bp,0.42,1,0,1,0,1.00,1.00,1.00
