==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,bp,0.83
1,NG,bp,0.83
2,NG,dirty,0.84
3,OK,OK,0.00
4,NG,outsc,0.76
5,OK,outsc,0.37
6,NG,outsc,0.54
7,OK,bp,0.47
8,NG,outsc,0.82
9,NG,dirty,0.83
10,NG,wr,0.67
11,OK,OK,0.00
12,NG,dirty,0.79
13,NG,bp,0.69
14,OK,dirty,0.38
15,OK,OK,0.00
16,OK,OK,0.00
17,OK,outsc,0.31
18,NG,dirty,0.84
19,NG,dirty,0.85
20,NG,dirty,0.83
21,NG,dirty,0.79
22,NG,outsc,0.57
23,NG,dirty,0.82
24,OK,outsc,0.37
25,NG,bp,0.76
26,NG,bp,0.84
27,NG,outsc,0.75
28,NG,dirty,0.83
29,NG,outsc,0.80
30,NG,outsc,0.88
31,OK,OK,0.00
32,NG,outsc,0.67
33,NG,dirty,0.77
34,NG,bp,0.78
35,OK,outsc,0.29
36,OK,outsc,0.45
37,NG,outsc,0.64
38,OK,outsc,0.47
39,NG,outsc,0.88
40,OK,dirty,0.43
41,NG,dirty,0.79
42,NG,outsc,0.84
43,OK,outsc,0.41
44,NG,dirty,0.76
45,NG,dirty,0.78
46,NG,dirty,0.82
47,NG,outsc,0.76
48,NG,dirty,0.87
49,OK,OK,0.00
50,NG,dirty,0.59
51,NG,dirty,0.73
52,NG,bp,0.88
53,OK,dirty,0.27
54,NG,dirty,0.88
55,NG,outsc,0.89
56,OK,OK,0.00
57,OK,dirty,0.35
58,OK,OK,0.00
59,OK,outsc,0.28
60,OK,outsc,0.41
61,NG,dirty,0.61
62,NG,dirty,0.68
63,NG,outsc,0.51
64,NG,dirty,0.54
65,NG,dirty,0.77
66,NG,dirty,0.88
67,NG,dirty,0.89
68,NG,bp,0.82
69,NG,outsc,0.88
70,OK,dirty,0.46
71,OK,bp,0.33
72,OK,OK,0.00
73,NG,bp,0.50
74,NG,dirty,0.81
75,OK,outsc,0.49
76,NG,dirty,0.62
77,OK,bp,0.29
78,NG,wr,0.86
79,NG,outsc,0.77
80,OK,wr,0.43
81,NG,outsc,0.89
82,NG,bp,0.84
83,OK,dirty,0.34
84,NG,bp,0.64
85,NG,dirty,0.65
86,NG,dirty,0.76
87,NG,bp,0.80
88,OK,outsc,0.32
89,NG,bp,0.75
90,OK,bp,0.33
91,NG,outsc,0.89
92,OK,dirty,0.48
93,NG,dirty,0.86
94,NG,outsc,0.77
95,NG,dirty,0.77
96,OK,dirty,0.36
97,NG,dirty,0.84
98,NG,outsc,0.87
99,NG,dirty,0.79
100,NG,bp,0.70
101,NG,dirty,0.64
102,OK,bp,0.47
103,NG,bp,0.58
104,NG,bp,0.83
105,NG,dirty,0.79
106,NG,dirty,0.91
107,NG,outsc,0.85
108,NG,dirty,0.88
109,NG,dirty,0.87
110,NG,dirty,0.71
111,NG,dirty,0.80
112,OK,dirty,0.48
113,OK,OK,0.00
114,OK,OK,0.00
115,NG,dirty,0.54
116,OK,OK,0.00
117,OK,bp,0.46

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
