
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,dirty,0.48
0,2,NG,dirty,0.85
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,dirty,0.79
1,2,NG,dirty,0.86
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,OK,OK,0.00
2,2,NG,dirty,0.68
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,bp,0.55
3,2,NG,dirty,0.71
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,OK,OK,0.00
4,2,NG,dirty,0.72
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,bp,0.53
5,2,NG,bp,0.73
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,dirty,0.84
6,2,NG,dirty,0.84
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,OK,OK,0.00
7,2,NG,dirty,0.86
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,OK,OK,0.00
8,2,NG,bp,0.61
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,OK,OK,0.00
9,2,NG,dirty,0.89
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,NG,bp,0.51
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,OK,OK,0.00
11,3,OK,OK,0.00
11,4,NG,outsc,0.81
12,1,OK,OK,0.00
12,2,NG,dirty,0.86
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,OK,OK,0.00
13,2,NG,bp,0.51
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,OK,OK,0.00
14,2,NG,dirty,0.53
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,OK,OK,0.00
15,2,NG,dirty,0.86
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,NG,bp,0.73
16,3,OK,outsc,0.30
16,4,OK,OK,0.00
17,1,OK,OK,0.00
17,2,OK,bp,0.33
17,3,OK,OK,0.00
17,4,OK,outsc,0.29
18,1,OK,OK,0.00
18,2,NG,bp,0.45
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.60
19,2,NG,bp,0.79
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,OK,OK,0.00
20,2,OK,OK,0.00
20,3,NG,outsc,0.50
20,4,NG,outsc,0.84
21,1,NG,dirty,0.81
21,2,NG,dirty,0.89
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,OK,OK,0.00
22,2,NG,dirty,0.83
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,OK,OK,0.00
23,2,OK,dirty,0.30
23,3,NG,outsc,0.61
23,4,OK,OK,0.00
24,1,OK,OK,0.00
24,2,NG,bp,0.74
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,OK,OK,0.00
25,2,NG,dirty,0.78
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,OK,OK,0.00
26,2,OK,OK,0.00
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,NG,bp,0.59
27,2,NG,dirty,0.86
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,OK,OK,0.00
28,2,OK,OK,0.00
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,OK,OK,0.00
29,2,OK,dirty,0.36
29,3,NG,outsc,0.79
29,4,OK,OK,0.00
30,1,OK,OK,0.00
30,2,OK,OK,0.00
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,OK,OK,0.00
31,2,NG,dirty,0.86
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,NG,bp,0.64
32,2,NG,dirty,0.86
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,OK,OK,0.00
33,2,NG,bp,0.80
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,OK,OK,0.00
34,2,NG,dirty,0.56
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,OK,OK,0.00
35,2,NG,dirty,0.73
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,OK,OK,0.00
36,2,NG,dirty,0.86
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,OK,OK,0.00
37,2,NG,bp,0.72
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,NG,dirty,0.85
38,2,NG,bp,0.76
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,OK,OK,0.00
39,2,NG,dirty,0.66
39,3,OK,OK,0.00
39,4,OK,outsc,0.37
40,1,NG,dirty,0.86
40,2,NG,bp,0.79
40,3,OK,OK,0.00
40,4,NG,outsc,0.46
41,1,OK,OK,0.00
41,2,OK,dirty,0.34
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,OK,OK,0.00
42,2,NG,dirty,0.83
42,3,OK,OK,0.00
42,4,OK,OK,0.00
43,1,OK,OK,0.00
43,2,NG,dirty,0.84
43,3,NG,outsc,0.70
43,4,OK,OK,0.00
44,1,OK,OK,0.00
44,2,NG,bp,0.74
44,3,OK,OK,0.00
44,4,NG,outsc,0.77
45,1,NG,dirty,0.70
45,2,NG,bp,0.72
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,OK,OK,0.00
46,2,NG,dirty,0.82
46,3,NG,outsc,0.52
46,4,NG,outsc,0.77
47,1,NG,dirty,0.52
47,2,NG,dirty,0.80
47,3,NG,outsc,0.56
47,4,NG,outsc,0.73
48,1,OK,OK,0.00
48,2,NG,dirty,0.76
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,OK,OK,0.00
49,2,NG,dirty,0.86
49,3,OK,outsc,0.36
49,4,NG,outsc,0.87
50,1,OK,OK,0.00
50,2,NG,dirty,0.82
50,3,OK,OK,0.00
50,4,OK,OK,0.00
51,1,OK,OK,0.00
51,2,OK,OK,0.00
51,3,NG,outsc,0.72
51,4,NG,outsc,0.80
52,1,OK,OK,0.00
52,2,OK,OK,0.00
52,3,OK,OK,0.00
52,4,NG,outsc,0.45
53,1,OK,OK,0.00
53,2,NG,dirty,0.83
53,3,NG,outsc,0.66
53,4,NG,outsc,0.72
54,1,OK,OK,0.00
54,2,NG,bp,0.81
54,3,NG,outsc,0.81
54,4,NG,outsc,0.80
55,1,OK,OK,0.00
55,2,NG,dirty,0.60
55,3,OK,OK,0.00
55,4,OK,OK,0.00
56,1,OK,OK,0.00
56,2,NG,bp,0.62
56,3,OK,OK,0.00
56,4,OK,OK,0.00
57,1,OK,OK,0.00
57,2,NG,dirty,0.51
57,3,NG,outsc,0.53
57,4,OK,outsc,0.38
58,1,OK,OK,0.00
58,2,NG,dirty,0.85
58,3,NG,outsc,0.83
58,4,NG,outsc,0.86
59,1,OK,OK,0.00
59,2,NG,dirty,0.69
59,3,OK,OK,0.00
59,4,NG,outsc,0.66
60,1,OK,OK,0.00
60,2,NG,dirty,0.77
60,3,OK,OK,0.00
60,4,OK,OK,0.00
61,1,OK,OK,0.00
61,2,NG,bp,0.73
61,3,OK,OK,0.00
61,4,OK,OK,0.00
62,1,OK,OK,0.00
62,2,NG,dirty,0.83
62,3,OK,OK,0.00
62,4,OK,OK,0.00
63,1,OK,OK,0.00
63,2,NG,dirty,0.57
63,3,OK,OK,0.00
63,4,OK,OK,0.00
64,1,OK,OK,0.00
64,2,NG,bp,0.78
64,3,NG,outsc,0.64
64,4,OK,OK,0.00
65,1,OK,OK,0.00
65,2,NG,bp,0.78
65,3,NG,outsc,0.62
65,4,NG,outsc,0.85
66,1,NG,bp,0.80
66,2,NG,dirty,0.84
66,3,OK,OK,0.00
66,4,NG,outsc,0.76
67,1,OK,OK,0.00
67,2,NG,dirty,0.75
67,3,OK,OK,0.00
67,4,OK,OK,0.00
68,1,OK,OK,0.00
68,2,NG,dirty,0.71
68,3,OK,OK,0.00
68,4,OK,OK,0.00
69,1,OK,OK,0.00
69,2,NG,dirty,0.74
69,3,OK,outsc,0.34
69,4,NG,outsc,0.86
70,1,OK,OK,0.00
70,2,NG,bp,0.47
