
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.81,dirty
0,3+4,OK,0.00,OK
1,1+2,NG,0.63,dirty
1,3+4,OK,0.00,OK
2,1+2,NG,0.70,dirty
2,3+4,OK,0.00,OK
3,1+2,NG,0.69,dirty
3,3+4,OK,0.00,OK
4,1+2,NG,0.64,dirty
4,3+4,OK,0.00,OK
5,1+2,NG,0.62,dirty
5,3+4,OK,0.00,OK
6,1+2,NG,0.79,dirty
6,3+4,OK,0.00,OK
7,1+2,NG,0.78,dirty
7,3+4,OK,0.00,OK
8,1+2,OK,0.00,OK
8,3+4,OK,0.00,OK
9,1+2,NG,0.73,dirty
9,3+4,OK,0.00,OK
10,1+2,NG,0.55,dirty
10,3+4,OK,0.00,OK
11,1+2,NG,0.78,dirty
11,3+4,OK,0.00,OK
12,1+2,NG,0.42,dirty
12,3+4,OK,0.00,OK
13,1+2,NG,0.57,dirty
13,3+4,OK,0.00,OK
14,1+2,NG,0.74,dirty
14,3+4,OK,0.00,OK
15,1+2,NG,0.80,dirty
15,3+4,OK,0.00,OK
16,1+2,NG,0.65,dirty
16,3+4,OK,0.00,OK
17,1+2,NG,0.45,dirty
17,3+4,OK,0.00,OK
18,1+2,OK,0.00,OK
18,3+4,OK,0.00,OK
19,1+2,NG,0.51,dirty
19,3+4,OK,0.00,OK
20,1+2,NG,0.65,dirty
20,3+4,OK,0.00,OK
21,1+2,NG,0.74,wr
21,3+4,OK,0.00,OK
22,1+2,OK,0.35,dirty
22,3+4,OK,0.00,OK
23,1+2,NG,0.66,dirty
23,3+4,OK,0.00,OK
24,1+2,OK,0.33,dirty
24,3+4,OK,0.00,OK
25,1+2,NG,0.80,dirty
25,3+4,OK,0.00,OK
26,1+2,NG,0.63,dirty
26,3+4,OK,0.00,OK
27,1+2,OK,0.38,dirty
27,3+4,OK,0.00,OK
28,1+2,NG,0.65,dirty
28,3+4,OK,0.00,OK
29,1+2,NG,0.76,dirty
29,3+4,OK,0.00,OK
30,1+2,NG,0.64,wr
30,3+4,OK,0.00,OK
31,1+2,NG,0.78,dirty
31,3+4,OK,0.00,OK
32,1+2,NG,0.84,dirty
32,3+4,OK,0.00,OK
33,1+2,OK,0.27,dirty
33,3+4,OK,0.00,OK
34,1+2,NG,0.75,wr
34,3+4,OK,0.00,OK
35,1+2,NG,0.53,dirty
35,3+4,OK,0.00,OK
36,1+2,OK,0.00,OK
36,3+4,OK,0.00,OK
37,1+2,NG,0.58,dirty
37,3+4,OK,0.00,OK
38,1+2,NG,0.72,dirty
38,3+4,OK,0.00,OK
39,1+2,OK,0.30,dirty
39,3+4,OK,0.00,OK
40,1+2,OK,0.35,dirty
40,3+4,OK,0.00,OK
41,1+2,NG,0.70,dirty
41,3+4,OK,0.00,OK
42,1+2,NG,0.57,dirty
42,3+4,OK,0.00,OK
43,1+2,OK,0.00,OK
43,3+4,OK,0.00,OK
44,1+2,OK,0.27,dirty
44,3+4,OK,0.00,OK
45,1+2,OK,0.34,dirty
45,3+4,OK,0.00,OK
46,1+2,NG,0.68,dirty
46,3+4,OK,0.00,OK
47,1+2,NG,0.63,dirty
47,3+4,OK,0.00,OK
48,1+2,NG,0.61,bp
48,3+4,OK,0.00,OK
49,1+2,OK,0.32,wr
49,3+4,OK,0.00,OK
50,1+2,NG,0.68,dirty
50,3+4,OK,0.00,OK
51,1+2,OK,0.26,dirty
51,3+4,OK,0.00,OK
52,1+2,NG,0.68,dirty
52,3+4,OK,0.00,OK
53,1+2,NG,0.74,dirty
53,3+4,OK,0.00,OK
54,1+2,NG,0.71,dirty
54,3+4,OK,0.00,OK
55,1+2,NG,0.76,dirty
55,3+4,OK,0.00,OK
56,1+2,NG,0.57,dirty
56,3+4,OK,0.00,OK
57,1+2,NG,0.67,dirty
57,3+4,OK,0.00,OK
58,1+2,OK,0.36,dirty
58,3+4,OK,0.00,OK
59,1+2,NG,0.63,dirty
59,3+4,OK,0.00,OK
60,1+2,NG,0.62,dirty
60,3+4,OK,0.00,OK
61,1+2,NG,0.76,dirty
61,3+4,OK,0.00,OK
62,1+2,OK,0.00,OK
62,3+4,OK,0.00,OK
63,1+2,NG,0.81,bp
63,3+4,OK,0.00,OK
64,1+2,NG,0.74,dirty
64,3+4,OK,0.00,OK
65,1+2,NG,0.45,bp
65,3+4,OK,0.00,OK
66,1+2,OK,0.00,OK
66,3+4,OK,0.00,OK
67,1+2,OK,0.27,dirty
67,3+4,OK,0.00,OK
68,1+2,NG,0.69,bp
68,3+4,OK,0.00,OK
69,1+2,NG,0.76,bp
69,3+4,OK,0.00,OK
70,1+2,NG,0.71,dirty
70,3+4,OK,0.00,OK
71,1+2,NG,0.51,dirty
71,3+4,OK,0.00,OK
