
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,dirty,0.86
0,2,NG,wr,0.83
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,dirty,0.73
1,2,NG,dirty,0.85
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,dirty,0.83
2,2,NG,dirty,0.91
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,bp,0.73
3,2,NG,dirty,0.84
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,wr,0.87
4,2,NG,dirty,0.84
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,wr,0.74
5,2,NG,dirty,0.88
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,bp,0.61
6,2,NG,dirty,0.84
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,dirty,0.91
7,2,NG,dirty,0.89
7,3,NG,outsc,0.47
7,4,OK,OK,0.00
8,1,NG,wr,0.73
8,2,NG,bp,0.83
8,3,OK,OK,0.00
8,4,NG,outsc,0.44
9,1,NG,dirty,0.84
9,2,NG,dirty,0.84
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,dirty,0.63
10,2,NG,dirty,0.87
10,3,OK,outsc,0.38
10,4,OK,OK,0.00
11,1,NG,dirty,0.85
11,2,NG,dirty,0.84
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,dirty,0.82
12,2,NG,dirty,0.83
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,dirty,0.85
13,2,NG,dirty,0.85
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,OK,OK,0.00
14,2,NG,dirty,0.40
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,dirty,0.81
15,2,NG,dirty,0.84
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,dirty,0.89
16,2,NG,bp,0.83
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,wr,0.88
17,2,NG,bp,0.86
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,bp,0.73
18,2,NG,dirty,0.85
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,dirty,0.87
19,2,NG,dirty,0.88
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,dirty,0.85
20,2,NG,dirty,0.78
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,dirty,0.87
21,2,NG,bp,0.81
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,dirty,0.94
22,2,NG,dirty,0.88
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,dirty,0.83
23,2,NG,dirty,0.86
23,3,OK,OK,0.00
23,4,NG,outsc,0.75
24,1,NG,bp,0.83
24,2,NG,bp,0.85
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,bp,0.83
25,2,NG,bp,0.83
25,3,OK,OK,0.00
25,4,NG,outsc,0.63
26,1,NG,dirty,0.86
26,2,NG,dirty,0.82
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,NG,bp,0.76
27,2,NG,dirty,0.84
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,wr,0.95
28,2,NG,wr,0.87
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,wr,0.92
29,2,NG,wr,0.91
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,NG,dirty,0.75
30,2,NG,dirty,0.89
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,NG,dirty,0.89
31,2,NG,dirty,0.84
31,3,NG,outsc,0.87
31,4,OK,OK,0.00
32,1,NG,dirty,0.86
32,2,NG,dirty,0.87
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,NG,bp,0.81
33,2,NG,dirty,0.86
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,NG,dirty,0.82
34,2,NG,dirty,0.81
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,dirty,0.84
35,2,NG,bp,0.83
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,dirty,0.80
36,2,NG,bp,0.82
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,bp,0.63
37,2,NG,dirty,0.84
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,NG,dirty,0.86
38,2,NG,bp,0.88
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,OK,bp,0.36
39,2,NG,bp,0.84
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,bp,0.63
40,2,NG,dirty,0.83
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,dirty,0.73
41,2,NG,dirty,0.86
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,NG,wr,0.87
42,2,NG,wr,0.92
42,3,NG,outsc,0.87
42,4,NG,outsc,0.86
43,1,NG,wr,0.91
43,2,NG,dirty,0.78
43,3,OK,OK,0.00
43,4,OK,OK,0.00
44,1,NG,bp,0.82
44,2,NG,dirty,0.86
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,NG,dirty,0.73
45,2,NG,dirty,0.86
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,NG,wr,0.52
46,2,NG,dirty,0.83
46,3,OK,OK,0.00
46,4,OK,OK,0.00
47,1,NG,dirty,0.86
47,2,NG,dirty,0.85
47,3,OK,outsc,0.33
47,4,OK,OK,0.00
48,1,NG,bp,0.85
48,2,NG,dirty,0.83
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,OK,OK,0.00
49,2,NG,dirty,0.83
49,3,NG,outsc,0.51
