
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,OK,OK,0.00
0,2,NG,bp,0.65
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,SC,0.53
1,2,NG,bp,0.74
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,SC,0.80
2,2,NG,bp,0.78
2,3,OK,OK,0.00
2,4,NG,outsc,0.64
3,1,NG,SC,0.92
3,2,NG,bp,0.88
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,OK,OK,0.00
4,2,NG,bp,0.83
4,3,OK,outsc,0.34
4,4,OK,OK,0.00
5,1,NG,WP,0.43
5,2,NG,bp,0.85
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,OK,0.00
6,2,NG,bp,0.81
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,OK,OK,0.00
7,2,NG,bp,0.90
7,3,NG,outsc,0.72
7,4,OK,outsc,0.29
8,1,OK,OK,0.00
8,2,NG,bp,0.83
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,SC,0.82
9,2,NG,bp,0.85
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,NG,bp,0.71
10,2,NG,bp,0.79
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,NG,bp,0.43
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,bp,0.84
12,2,NG,bp,0.92
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,SC,0.53
13,2,NG,bp,0.82
13,3,NG,outsc,0.79
13,4,NG,outsc,0.72
14,1,OK,OK,0.00
14,2,OK,OK,0.00
14,3,OK,outsc,0.26
14,4,OK,OK,0.00
15,1,OK,OK,0.00
15,2,NG,bp,0.74
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,NG,bp,0.82
16,3,NG,outsc,0.68
16,4,OK,OK,0.00
17,1,NG,SC,0.61
17,2,NG,bp,0.83
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,OK,0.00
18,2,OK,OK,0.00
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,NG,SC,0.52
19,2,NG,bp,0.84
19,3,NG,outsc,0.87
19,4,NG,outsc,0.65
20,1,OK,OK,0.00
20,2,NG,bp,0.78
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,SC,0.86
21,2,NG,bp,0.91
21,3,NG,outsc,0.85
21,4,OK,OK,0.00
22,1,NG,deform,1.00
22,2,NG,bp,0.87
22,3,OK,OK,0.00
22,4,NG,outsc,0.54
23,1,OK,OK,0.00
23,2,NG,bp,0.77
23,3,OK,outsc,0.35
23,4,NG,outsc,0.75
24,1,OK,OK,0.00
24,2,NG,bp,0.63
24,3,OK,outsc,0.28
24,4,OK,OK,0.00
25,1,NG,bp,0.88
25,2,NG,bp,0.80
25,3,NG,outsc,0.47
25,4,NG,outsc,0.87
26,1,OK,OK,0.00
26,2,NG,bp,0.88
26,3,OK,OK,0.00
26,4,OK,OK,0.00
27,1,OK,OK,0.00
27,2,NG,bp,0.60
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,OK,OK,0.00
28,2,NG,bp,0.92
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,OK,OK,0.00
29,2,NG,bp,0.84
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,NG,SC,0.65
30,2,NG,SC,0.91
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,OK,OK,0.00
31,2,NG,bp,0.68
31,3,NG,outsc,0.73
31,4,NG,outsc,0.70
32,1,OK,OK,0.00
32,2,OK,bp,0.40
32,3,OK,OK,0.00
32,4,OK,OK,0.00
33,1,NG,WP,0.70
33,2,NG,bp,0.80
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,OK,bp,0.31
34,2,NG,bp,0.89
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,OK,OK,0.00
35,2,NG,bp,0.76
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,bp,0.90
36,2,NG,bp,0.64
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,NG,bp,0.64
37,2,NG,bp,0.85
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,OK,OK,0.00
38,2,NG,SC,0.86
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,OK,OK,0.00
39,2,NG,bp,0.80
39,3,NG,outsc,0.82
39,4,NG,outsc,0.73
40,1,OK,SC,0.35
40,2,NG,bp,0.87
40,3,OK,OK,0.00
40,4,OK,outsc,0.29
41,1,OK,OK,0.00
41,2,NG,bp,0.88
41,3,OK,OK,0.00
41,4,NG,outsc,0.68
42,1,NG,SC,0.85
42,2,NG,bp,0.67
42,3,OK,OK,0.00
42,4,OK,outsc,0.29
43,1,NG,bp,0.51
43,2,NG,bp,0.82
43,3,OK,outsc,0.25
43,4,OK,outsc,0.26
44,1,OK,OK,0.00
44,2,NG,WP,0.70
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,OK,OK,0.00
45,2,NG,bp,0.81
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,OK,OK,0.00
46,2,NG,bp,0.74
46,3,NG,outsc,0.81
46,4,NG,outsc,0.67
47,1,NG,SC,0.72
47,2,NG,bp,0.82
47,3,NG,outsc,0.79
47,4,OK,outsc,0.30
48,1,OK,OK,0.00
48,2,NG,bp,0.88
48,3,OK,outsc,0.38
48,4,NG,outsc,0.52
49,1,OK,OK,0.00
49,2,NG,bp,0.88
49,3,OK,OK,0.00
49,4,OK,OK,0.00
50,1,OK,OK,0.00
50,2,NG,bp,0.76
50,3,NG,outsc,0.87
50,4,NG,outsc,0.63
51,1,OK,OK,0.00
51,2,NG,bp,0.78
51,3,OK,outsc,0.35
51,4,OK,OK,0.00
52,1,OK,OK,0.00
52,2,NG,bp,0.69
52,3,NG,outsc,0.69
52,4,NG,outsc,0.75
53,1,OK,OK,0.00
53,2,NG,bp,0.80
53,3,NG,outsc,0.71
53,4,NG,outsc,0.77
54,1,NG,SC,0.92
54,2,NG,SC,0.92
54,3,OK,OK,0.00
54,4,OK,outsc,0.28
55,1,NG,bp,0.72
55,2,NG,bp,0.86
55,3,OK,OK,0.00
55,4,NG,outsc,0.52
56,1,NG,deform,1.00
56,2,NG,SC,0.86
