
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.56
0,2,NG,bp,0.83
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,OK,SC,0.28
1,2,NG,bp,0.76
1,3,NG,outsc,0.51
1,4,NG,outsc,0.79
2,1,NG,SC,0.91
2,2,NG,SC,0.89
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,SC,0.92
3,2,NG,SC,0.89
3,3,OK,OK,0.00
3,4,NG,outsc,0.59
4,1,OK,OK,0.00
4,2,NG,bp,0.79
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,SC,0.84
5,2,NG,SC,0.87
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,OK,OK,0.00
6,2,OK,OK,0.00
6,3,NG,outsc,0.74
6,4,OK,OK,0.00
7,1,NG,SC,0.69
7,2,NG,bp,0.85
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,SC,0.91
8,2,NG,SC,0.89
8,3,NG,outsc,0.52
8,4,NG,outsc,0.85
9,1,NG,SC,0.87
9,2,NG,SC,0.91
9,3,OK,OK,0.00
9,4,NG,outsc,0.69
10,1,NG,SC,0.86
10,2,NG,SC,0.81
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,NG,SC,0.90
11,2,NG,SC,0.87
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,SC,0.50
12,2,NG,bp,0.51
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,OK,OK,0.00
13,2,NG,bp,0.84
13,3,NG,outsc,0.76
13,4,NG,outsc,0.83
14,1,NG,WP,0.85
14,2,NG,SC,0.88
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,SC,0.67
15,2,NG,SC,0.88
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,NG,bp,0.79
16,3,NG,outsc,0.75
16,4,NG,outsc,0.80
17,1,OK,SC,0.29
17,2,NG,bp,0.80
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,NG,SC,0.91
18,2,NG,SC,0.83
18,3,NG,outsc,0.79
18,4,NG,outsc,0.44
19,1,OK,OK,0.00
19,2,OK,bp,0.36
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,SC,0.88
20,2,NG,bp,0.89
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,SC,0.88
21,2,NG,SC,0.77
21,3,OK,OK,0.00
21,4,OK,outsc,0.34
22,1,NG,SC,0.90
22,2,NG,SC,0.84
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,OK,OK,0.00
23,2,NG,bp,0.82
23,3,OK,OK,0.00
23,4,OK,OK,0.00
24,1,NG,SC,0.88
24,2,NG,SC,0.90
24,3,OK,OK,0.00
24,4,OK,OK,0.00
25,1,NG,SC,0.94
25,2,NG,bp,0.88
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,OK,SC,0.39
26,2,NG,bp,0.84
26,3,OK,OK,0.00
26,4,NG,outsc,0.50
27,1,NG,SC,0.91
27,2,NG,SC,0.89
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,NG,SC,0.59
28,2,NG,SC,0.73
28,3,OK,OK,0.00
28,4,NG,outsc,0.43
29,1,NG,SC,0.90
29,2,NG,SC,0.91
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,NG,SC,0.90
30,2,NG,SC,0.86
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,OK,OK,0.00
31,2,NG,SC,0.89
31,3,NG,outsc,0.61
31,4,OK,OK,0.00
32,1,NG,deform,1.00
32,2,NG,SC,0.88
32,3,OK,outsc,0.31
32,4,OK,OK,0.00
33,1,NG,SC,0.90
33,2,NG,SC,0.90
33,3,NG,outsc,0.63
33,4,OK,OK,0.00
34,1,OK,OK,0.00
34,2,NG,bp,0.83
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,SC,0.91
35,2,NG,bp,0.84
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,WP,0.45
36,2,NG,bp,0.80
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,OK,OK,0.00
37,2,NG,bp,0.77
37,3,OK,outsc,0.40
37,4,OK,OK,0.00
38,1,NG,SC,0.78
38,2,NG,SC,0.80
38,3,NG,outsc,0.74
38,4,OK,OK,0.00
39,1,NG,SC,0.87
39,2,NG,SC,0.91
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,OK,OK,0.00
40,2,NG,bp,0.68
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,NG,SC,0.91
41,2,NG,SC,0.87
41,3,OK,OK,0.00
41,4,NG,outsc,0.71
42,1,NG,SC,0.92
42,2,NG,SC,0.78
42,3,NG,outsc,0.67
42,4,NG,outsc,0.75
43,1,NG,SC,0.83
43,2,NG,SC,0.90
43,3,OK,outsc,0.37
43,4,NG,outsc,0.54
44,1,NG,bp,0.86
44,2,NG,bp,0.84
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,NG,SC,0.82
45,2,NG,SC,0.83
45,3,NG,outsc,0.67
45,4,OK,OK,0.00
46,1,NG,SC,0.88
46,2,NG,SC,0.88
46,3,OK,OK,0.00
46,4,OK,OK,0.00
47,1,NG,SC,0.89
47,2,NG,SC,0.89
47,3,OK,outsc,0.37
47,4,OK,OK,0.00
48,1,NG,SC,0.85
48,2,NG,SC,0.87
48,3,NG,outsc,0.78
48,4,OK,OK,0.00
49,1,NG,SC,0.82
49,2,NG,SC,0.88
49,3,OK,OK,0.00
49,4,OK,OK,0.00
50,1,NG,SC,0.90
50,2,NG,SC,0.90
50,3,OK,OK,0.00
50,4,NG,outsc,0.83
51,1,OK,OK,0.00
