
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.82
0,2,NG,SC,0.88
0,3,OK,OK,0.00
0,4,OK,outsc,0.27
1,1,NG,bp,0.87
1,2,OK,OK,0.00
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,bp,0.83
2,2,NG,bp,0.78
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,SC,0.88
3,2,NG,SC,0.86
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,bp,0.93
4,2,NG,bp,0.92
4,3,NG,outsc,0.74
4,4,NG,outsc,0.82
5,1,OK,OK,0.00
5,2,OK,OK,0.00
5,3,NG,outsc,0.64
5,4,NG,outsc,0.72
6,1,OK,WP,0.28
6,2,OK,OK,0.00
6,3,OK,OK,0.00
6,4,NG,outsc,0.76
7,1,NG,bp,0.92
7,2,NG,bp,0.96
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,WP,0.56
8,2,OK,OK,0.00
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,NG,bp,0.88
9,2,NG,bp,0.92
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,NG,bp,0.60
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,SC,0.39
11,2,NG,bp,0.75
11,3,OK,OK,0.00
11,4,NG,outsc,0.47
12,1,NG,SC,0.82
12,2,NG,SC,0.82
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,SC,0.91
13,2,NG,bp,0.93
13,3,OK,outsc,0.30
13,4,OK,OK,0.00
14,1,NG,WP,0.79
14,2,OK,OK,0.00
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,WP,0.66
15,2,OK,OK,0.00
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,SC,0.79
16,2,OK,OK,0.00
16,3,NG,outsc,0.80
16,4,NG,outsc,0.85
17,1,NG,bp,0.88
17,2,NG,bp,0.86
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,OK,0.00
18,2,NG,bp,0.64
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,OK,OK,0.00
19,2,NG,bp,0.90
19,3,NG,outsc,0.80
19,4,NG,outsc,0.80
20,1,OK,OK,0.00
20,2,NG,SC,0.77
20,3,OK,OK,0.00
20,4,OK,OK,0.00
21,1,NG,SC,0.90
21,2,NG,SC,0.84
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,NG,bp,0.59
22,2,OK,OK,0.00
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,SC,0.72
23,2,OK,OK,0.00
23,3,NG,outsc,0.80
23,4,OK,OK,0.00
24,1,NG,WP,0.79
24,2,OK,OK,0.00
24,3,NG,outsc,0.83
24,4,OK,outsc,0.33
25,1,NG,WP,0.46
25,2,OK,OK,0.00
25,3,NG,outsc,0.86
25,4,OK,OK,0.00
26,1,OK,OK,0.00
26,2,NG,SC,0.87
26,3,OK,OK,0.00
26,4,NG,outsc,0.62
27,1,NG,WP,0.43
27,2,NG,bp,0.74
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,OK,OK,0.00
28,2,OK,OK,0.00
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,OK,OK,0.00
29,2,NG,WP,0.83
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,OK,OK,0.00
30,2,OK,OK,0.00
30,3,NG,outsc,0.83
30,4,OK,OK,0.00
31,1,NG,SC,0.82
31,2,NG,bp,0.76
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,OK,OK,0.00
32,2,NG,bp,0.75
32,3,OK,outsc,0.37
32,4,OK,OK,0.00
33,1,OK,OK,0.00
33,2,OK,OK,0.00
33,3,NG,outsc,0.63
33,4,OK,OK,0.00
34,1,NG,bp,0.73
34,2,NG,bp,0.44
34,3,OK,OK,0.00
34,4,NG,outsc,0.74
35,1,NG,bp,0.72
35,2,NG,bp,0.45
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,NG,WP,0.64
36,2,NG,bp,0.62
36,3,OK,OK,0.00
36,4,OK,OK,0.00
37,1,OK,OK,0.00
37,2,OK,OK,0.00
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,NG,SC,0.74
38,2,OK,OK,0.00
38,3,OK,outsc,0.31
38,4,OK,OK,0.00
39,1,NG,bp,0.66
39,2,OK,OK,0.00
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,NG,bp,0.83
40,2,OK,OK,0.00
40,3,NG,outsc,0.44
40,4,OK,OK,0.00
41,1,NG,bp,0.48
41,2,NG,bp,0.59
41,3,OK,OK,0.00
41,4,OK,OK,0.00
42,1,NG,deform,1.00
42,2,NG,WP,0.87
42,3,OK,OK,0.00
42,4,OK,OK,0.00
43,1,OK,OK,0.00
43,2,OK,OK,0.00
43,3,OK,OK,0.00
43,4,OK,OK,0.00
