
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.83
0,2,NG,SC,0.92
0,3,NG,outsc,0.78
0,4,NG,outsc,0.80
1,1,OK,OK,0.00
1,2,OK,OK,0.00
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,bp,0.95
2,2,NG,SC,0.88
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,OK,OK,0.00
3,2,NG,WP,0.43
3,3,NG,outsc,0.68
3,4,OK,OK,0.00
4,1,OK,OK,0.00
4,2,OK,OK,0.00
4,3,NG,outsc,0.77
4,4,OK,OK,0.00
5,1,OK,OK,0.00
5,2,OK,OK,0.00
5,3,NG,outsc,0.52
5,4,OK,OK,0.00
6,1,OK,bp,0.33
6,2,OK,OK,0.00
6,3,NG,outsc,0.67
6,4,NG,outsc,0.65
7,1,OK,OK,0.00
7,2,OK,OK,0.00
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,SC,0.87
8,2,NG,SC,0.83
8,3,OK,outsc,0.30
8,4,OK,OK,0.00
9,1,NG,WP,0.64
9,2,OK,OK,0.00
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,OK,OK,0.00
10,3,NG,outsc,0.64
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,NG,bp,0.66
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,SC,0.45
12,2,NG,SC,0.62
12,3,NG,outsc,0.43
12,4,OK,OK,0.00
13,1,OK,OK,0.00
13,2,OK,OK,0.00
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,OK,OK,0.00
14,2,NG,bp,0.85
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,SC,0.66
15,2,NG,SC,0.66
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,OK,OK,0.00
16,2,OK,OK,0.00
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,bp,0.85
17,2,NG,bp,0.92
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,OK,0.00
18,2,OK,OK,0.00
18,3,OK,OK,0.00
18,4,NG,outsc,0.40
19,1,OK,OK,0.00
19,2,NG,WP,0.66
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,OK,OK,0.00
20,2,OK,OK,0.00
20,3,OK,OK,0.00
20,4,NG,outsc,0.58
21,1,NG,SC,0.66
21,2,OK,OK,0.00
21,3,OK,OK,0.00
21,4,OK,OK,0.00
22,1,OK,OK,0.00
22,2,NG,bp,0.76
22,3,OK,OK,0.00
22,4,OK,OK,0.00
23,1,NG,SC,0.65
23,2,NG,bp,0.91
23,3,OK,OK,0.00
23,4,OK,outsc,0.30
24,1,NG,bp,0.87
24,2,NG,bp,0.89
24,3,NG,outsc,0.55
24,4,OK,OK,0.00
25,1,OK,bp,0.25
25,2,OK,OK,0.00
25,3,OK,OK,0.00
25,4,OK,OK,0.00
26,1,NG,bp,0.76
26,2,OK,OK,0.00
26,3,NG,outsc,0.63
26,4,NG,outsc,0.75
27,1,OK,OK,0.00
27,2,NG,SC,0.48
27,3,OK,OK,0.00
27,4,OK,OK,0.00
28,1,OK,OK,0.00
28,2,OK,OK,0.00
28,3,OK,OK,0.00
28,4,OK,OK,0.00
29,1,NG,bp,0.76
29,2,OK,OK,0.00
29,3,OK,OK,0.00
29,4,OK,OK,0.00
30,1,OK,OK,0.00
30,2,NG,bp,0.57
30,3,OK,OK,0.00
30,4,OK,OK,0.00
31,1,OK,OK,0.00
31,2,NG,WP,0.52
31,3,OK,OK,0.00
31,4,OK,OK,0.00
32,1,OK,OK,0.00
32,2,OK,OK,0.00
32,3,OK,outsc,0.27
32,4,OK,OK,0.00
33,1,NG,WP,0.46
33,2,OK,OK,0.00
33,3,OK,OK,0.00
33,4,OK,OK,0.00
34,1,OK,OK,0.00
34,2,NG,bp,0.87
34,3,OK,OK,0.00
34,4,OK,OK,0.00
35,1,NG,deform,1.00
35,2,OK,OK,0.00
35,3,OK,OK,0.00
35,4,OK,OK,0.00
36,1,OK,OK,0.00
36,2,NG,SC,0.63
36,3,OK,outsc,0.40
36,4,OK,OK,0.00
37,1,NG,SC,0.85
37,2,OK,OK,0.00
37,3,OK,OK,0.00
37,4,OK,OK,0.00
38,1,OK,OK,0.00
38,2,OK,OK,0.00
38,3,OK,OK,0.00
38,4,OK,OK,0.00
39,1,OK,OK,0.00
39,2,OK,OK,0.00
39,3,OK,OK,0.00
39,4,OK,OK,0.00
40,1,OK,OK,0.00
40,2,OK,OK,0.00
40,3,OK,OK,0.00
40,4,OK,OK,0.00
41,1,OK,OK,0.00
41,2,OK,OK,0.00
41,3,OK,OK,0.00
41,4,OK,outsc,0.26
42,1,OK,OK,0.00
42,2,OK,OK,0.00
42,3,OK,OK,0.00
42,4,OK,OK,0.00
43,1,NG,bp,0.88
43,2,NG,bp,0.59
43,3,OK,OK,0.00
43,4,OK,OK,0.00
44,1,NG,SC,0.54
44,2,OK,OK,0.00
44,3,OK,OK,0.00
44,4,OK,OK,0.00
45,1,NG,SC,0.80
45,2,NG,SC,0.84
45,3,OK,OK,0.00
45,4,OK,OK,0.00
46,1,OK,OK,0.00
46,2,OK,OK,0.00
46,3,OK,OK,0.00
46,4,OK,outsc,0.37
47,1,NG,SC,0.91
47,2,NG,SC,0.76
47,3,OK,OK,0.00
47,4,OK,OK,0.00
48,1,NG,SC,0.89
48,2,NG,SC,0.91
48,3,OK,OK,0.00
48,4,OK,OK,0.00
49,1,OK,OK,0.00
49,2,OK,OK,0.00
49,3,NG,outsc,0.49
49,4,NG,outsc,0.59
50,1,NG,bp,0.64
50,2,NG,bp,0.82
50,3,NG,outsc,0.69
50,4,OK,OK,0.00
51,1,OK,OK,0.00
51,2,NG,WP,0.87
51,3,OK,OK,0.00
51,4,NG,outsc,0.64
52,1,OK,SC,0.30
52,2,NG,SC,0.45
52,3,OK,OK,0.00
52,4,OK,OK,0.00
53,1,OK,OK,0.00
53,2,OK,OK,0.00
53,3,OK,OK,0.00
53,4,OK,outsc,0.38
54,1,OK,OK,0.00
54,2,NG,WP,0.78
54,3,OK,OK,0.00
54,4,OK,OK,0.00
55,1,OK,OK,0.00
55,2,OK,OK,0.00
55,3,OK,OK,0.00
55,4,OK,OK,0.00
56,1,NG,SC,0.43
56,2,NG,SC,0.79
56,3,NG,outsc,0.48
56,4,OK,OK,0.00
57,1,OK,OK,0.00
57,2,OK,OK,0.00
57,3,NG,outsc,0.56
57,4,NG,outsc,0.85
58,1,NG,bp,0.83
58,2,NG,bp,0.82
58,3,OK,OK,0.00
58,4,OK,OK,0.00
59,1,NG,SC,0.89
59,2,NG,WP,0.82
59,3,OK,OK,0.00
59,4,NG,outsc,0.40
60,1,NG,bp,0.88
60,2,NG,bp,0.89
60,3,OK,OK,0.00
60,4,NG,outsc,0.71
61,1,NG,bp,0.49
61,2,OK,bp,0.37
61,3,OK,OK,0.00
61,4,NG,outsc,0.64
62,1,OK,OK,0.00
62,2,NG,bp,0.45
62,3,OK,OK,0.00
62,4,OK,OK,0.00
63,1,OK,OK,0.00
63,2,OK,OK,0.00
63,3,OK,OK,0.00
63,4,OK,OK,0.00
64,1,NG,bp,0.89
64,2,NG,SC,0.84
64,3,OK,OK,0.00
64,4,OK,OK,0.00
65,1,OK,OK,0.00
65,2,OK,OK,0.00
65,3,OK,OK,0.00
65,4,OK,OK,0.00
66,1,NG,SC,0.69
66,2,NG,SC,0.79
66,3,OK,OK,0.00
66,4,NG,outsc,0.52
67,1,OK,OK,0.00
67,2,OK,OK,0.00
67,3,NG,outsc,0.87
67,4,NG,outsc,0.63
68,1,NG,bp,0.88
68,2,NG,bp,0.91
68,3,NG,outsc,0.77
68,4,NG,outsc,0.70
69,1,OK,OK,0.00
69,2,OK,OK,0.00
69,3,OK,OK,0.00
69,4,NG,outsc,0.72
70,1,OK,OK,0.00
70,2,OK,bp,0.33
70,3,OK,OK,0.00
70,4,OK,OK,0.00
71,1,OK,OK,0.00
71,2,OK,OK,0.00
71,3,OK,OK,0.00
71,4,OK,outsc,0.29
72,1,OK,OK,0.00
72,2,NG,SC,0.90
72,3,OK,OK,0.00
72,4,NG,outsc,0.49
73,1,NG,SC,0.46
73,2,NG,SC,0.63
73,3,OK,OK,0.00
73,4,NG,outsc,0.82
74,1,NG,bp,0.88
74,2,OK,OK,0.00
74,3,OK,OK,0.00
74,4,NG,outsc,0.64
75,1,OK,OK,0.00
75,2,OK,bp,0.32
75,3,OK,OK,0.00
75,4,OK,OK,0.00
76,1,OK,OK,0.00
76,2,OK,OK,0.00
76,3,OK,OK,0.00
76,4,OK,OK,0.00
77,1,NG,bp,0.86
77,2,NG,bp,0.76
77,3,OK,outsc,0.26
77,4,NG,outsc,0.50
78,1,OK,OK,0.00
78,2,OK,OK,0.00
78,3,OK,OK,0.00
78,4,OK,OK,0.00
79,1,OK,OK,0.00
79,2,OK,OK,0.00
79,3,OK,OK,0.00
79,4,OK,OK,0.00
80,1,NG,SC,0.93
80,2,NG,bp,0.81
80,3,OK,OK,0.00
80,4,OK,OK,0.00
81,1,NG,bp,0.94
81,2,NG,bp,0.93
81,3,OK,OK,0.00
81,4,OK,OK,0.00
82,1,NG,bp,0.83
82,2,NG,bp,0.78
82,3,OK,OK,0.00
82,4,OK,OK,0.00
83,1,OK,OK,0.00
83,2,NG,bp,0.81
83,3,OK,OK,0.00
83,4,OK,OK,0.00
84,1,NG,bp,0.69
84,2,OK,OK,0.00
84,3,NG,outsc,0.56
84,4,NG,outsc,0.83
85,1,OK,OK,0.00
85,2,NG,WP,0.77
85,3,OK,OK,0.00
85,4,OK,OK,0.00
86,1,NG,bp,0.65
86,2,OK,SC,0.32
86,3,OK,OK,0.00
86,4,OK,OK,0.00
87,1,OK,OK,0.00
87,2,OK,OK,0.00
87,3,OK,OK,0.00
87,4,OK,OK,0.00
88,1,OK,OK,0.00
88,2,OK,SC,0.35
88,3,OK,OK,0.00
88,4,OK,OK,0.00
89,1,OK,OK,0.00
89,2,OK,OK,0.00
89,3,NG,outsc,0.54
89,4,OK,OK,0.00
90,1,OK,OK,0.00
90,2,OK,OK,0.00
90,3,NG,outsc,0.87
90,4,OK,OK,0.00
91,1,NG,SC,0.77
91,2,OK,OK,0.00
91,3,NG,outsc,0.45
91,4,NG,outsc,0.68
92,1,NG,bp,0.87
92,2,NG,bp,0.88
92,3,NG,outsc,0.77
92,4,OK,OK,0.00
93,1,OK,OK,0.00
93,2,NG,bp,0.87
93,3,OK,outsc,0.34
93,4,OK,OK,0.00
94,1,NG,WP,0.74
94,2,OK,bp,0.26
94,3,NG,outsc,0.88
94,4,NG,outsc,0.88
95,1,OK,OK,0.00
95,2,OK,OK,0.00
95,3,NG,outsc,0.60
95,4,NG,outsc,0.81
96,1,NG,WP,0.57
96,2,NG,SC,0.83
96,3,OK,OK,0.00
96,4,OK,OK,0.00
97,1,NG,SC,0.82
97,2,NG,bp,0.78
97,3,OK,OK,0.00
97,4,OK,OK,0.00
98,1,OK,OK,0.00
98,2,OK,OK,0.00
98,3,OK,OK,0.00
98,4,OK,OK,0.00
99,1,OK,OK,0.00
99,2,OK,OK,0.00
99,3,OK,OK,0.00
99,4,OK,OK,0.00
100,1,OK,OK,0.00
100,2,NG,SC,0.81
100,3,NG,outsc,0.75
100,4,OK,OK,0.00
101,1,OK,OK,0.00
101,2,NG,SC,0.74
101,3,OK,OK,0.00
101,4,NG,outsc,0.68
102,1,OK,OK,0.00
102,2,NG,WP,0.47
102,3,OK,OK,0.00
102,4,OK,OK,0.00
103,1,NG,bp,0.66
103,2,NG,bp,0.54
103,3,OK,OK,0.00
103,4,OK,OK,0.00
104,1,NG,WP,0.82
104,2,NG,bp,0.89
104,3,OK,OK,0.00
104,4,OK,OK,0.00
105,1,OK,OK,0.00
105,2,OK,OK,0.00
105,3,OK,OK,0.00
105,4,OK,OK,0.00
106,1,OK,OK,0.00
106,2,OK,OK,0.00
106,3,OK,OK,0.00
106,4,OK,OK,0.00
107,1,OK,OK,0.00
107,2,NG,bp,0.80
107,3,NG,outsc,0.49
107,4,OK,OK,0.00
108,1,OK,OK,0.00
108,2,OK,bp,0.26
108,3,NG,outsc,0.41
108,4,OK,OK,0.00
109,1,OK,OK,0.00
109,2,NG,WP,0.66
109,3,OK,OK,0.00
109,4,OK,OK,0.00
110,1,OK,OK,0.00
110,2,NG,bp,0.77
110,3,OK,OK,0.00
110,4,OK,OK,0.00
111,1,NG,SC,0.91
111,2,OK,OK,0.00
111,3,OK,OK,0.00
111,4,OK,OK,0.00
112,1,OK,OK,0.00
112,2,OK,OK,0.00
112,3,OK,OK,0.00
112,4,OK,outsc,0.33
113,1,OK,OK,0.00
113,2,OK,WP,0.33
113,3,OK,OK,0.00
113,4,OK,OK,0.00
114,1,OK,OK,0.00
114,2,OK,OK,0.00
114,3,OK,OK,0.00
114,4,OK,OK,0.00
115,1,NG,bp,0.69
115,2,OK,OK,0.00
115,3,NG,outsc,0.81
115,4,OK,OK,0.00
116,1,NG,bp,0.90
116,2,NG,bp,0.89
116,3,OK,OK,0.00
116,4,OK,OK,0.00
117,1,NG,bp,0.56
117,2,NG,bp,0.70
117,3,NG,outsc,0.82
117,4,NG,outsc,0.53
118,1,OK,OK,0.00
118,2,OK,bp,0.28
118,3,OK,OK,0.00
118,4,NG,outsc,0.52
119,1,NG,SC,0.87
119,2,NG,SC,0.92
119,3,OK,OK,0.00
119,4,OK,OK,0.00
120,1,NG,SC,0.79
120,2,NG,SC,0.86
120,3,NG,outsc,0.64
120,4,NG,outsc,0.84
121,1,OK,OK,0.00
121,2,NG,bp,0.56
121,3,OK,OK,0.00
121,4,OK,OK,0.00
122,1,NG,WP,0.68
122,2,NG,bp,0.57
122,3,OK,OK,0.00
122,4,OK,OK,0.00
123,1,OK,OK,0.00
123,2,NG,bp,0.90
123,3,OK,outsc,0.39
123,4,OK,OK,0.00
124,1,OK,OK,0.00
124,2,NG,bp,0.79
124,3,NG,outsc,0.80
124,4,NG,outsc,0.67
125,1,NG,SC,0.74
125,2,NG,SC,0.51
125,3,OK,OK,0.00
125,4,OK,OK,0.00
126,1,OK,OK,0.00
126,2,NG,bp,0.91
126,3,OK,OK,0.00
126,4,OK,OK,0.00
127,1,NG,bp,0.81
127,2,NG,bp,0.70
127,3,OK,OK,0.00
127,4,OK,OK,0.00
128,1,NG,SC,0.61
128,2,NG,SC,0.90
128,3,NG,outsc,0.43
128,4,NG,outsc,0.49
129,1,OK,OK,0.00
129,2,OK,OK,0.00
129,3,OK,OK,0.00
129,4,OK,OK,0.00
130,1,OK,OK,0.00
130,2,NG,WP,0.63
130,3,OK,OK,0.00
130,4,NG,outsc,0.43
131,1,OK,OK,0.00
131,2,NG,WP,0.78
131,3,OK,OK,0.00
131,4,OK,OK,0.00
132,1,OK,OK,0.00
132,2,OK,OK,0.00
132,3,OK,OK,0.00
132,4,OK,OK,0.00
133,1,NG,bp,0.83
133,2,OK,OK,0.00
133,3,OK,OK,0.00
133,4,OK,OK,0.00
134,1,OK,OK,0.00
134,2,NG,SC,0.91
134,3,NG,outsc,0.68
134,4,OK,OK,0.00
135,1,OK,OK,0.00
135,2,OK,OK,0.00
135,3,NG,outsc,0.83
135,4,NG,outsc,0.88
136,1,OK,bp,0.31
136,2,NG,bp,0.81
136,3,OK,OK,0.00
136,4,OK,OK,0.00
137,1,NG,WP,0.87
137,2,OK,OK,0.00
137,3,OK,OK,0.00
137,4,OK,OK,0.00
138,1,OK,OK,0.00
138,2,OK,OK,0.00
138,3,OK,OK,0.00
138,4,OK,OK,0.00
139,1,NG,SC,0.88
139,2,NG,SC,0.77
139,3,OK,OK,0.00
139,4,NG,outsc,0.59
140,1,NG,SC,0.86
140,2,NG,bp,0.74
140,3,NG,outsc,0.73
140,4,NG,outsc,0.49
141,1,OK,OK,0.00
141,2,NG,SC,0.86
141,3,OK,OK,0.00
141,4,OK,OK,0.00
142,1,OK,OK,0.00
142,2,OK,OK,0.00
142,3,OK,OK,0.00
142,4,NG,outsc,0.78
143,1,OK,OK,0.00
143,2,OK,OK,0.00
143,3,OK,OK,0.00
143,4,OK,OK,0.00
144,1,OK,OK,0.00
144,2,OK,OK,0.00
144,3,OK,OK,0.00
144,4,OK,OK,0.00
145,1,NG,bp,0.92
145,2,NG,bp,0.90
145,3,OK,outsc,0.35
145,4,OK,OK,0.00
146,1,OK,OK,0.00
146,2,OK,OK,0.00
146,3,OK,OK,0.00
146,4,OK,OK,0.00
147,1,NG,SC,0.90
147,2,NG,SC,0.85
147,3,OK,OK,0.00
