
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,OK,OK,0.00
0,2,OK,OK,0.00
0,3,NG,outsc,0.82
0,4,NG,outsc,0.77
1,1,OK,OK,0.00
1,2,OK,OK,0.00
1,3,NG,outsc,0.75
1,4,OK,outsc,0.36
2,1,OK,OK,0.00
2,2,OK,OK,0.00
2,3,NG,outsc,0.73
2,4,NG,outsc,0.84
3,1,OK,OK,0.00
3,2,OK,OK,0.00
3,3,NG,outsc,0.89
3,4,NG,outsc,0.61
4,1,OK,SC,0.36
4,2,OK,OK,0.00
4,3,NG,outsc,0.75
4,4,NG,outsc,0.76
5,1,OK,OK,0.00
5,2,OK,OK,0.00
5,3,NG,outsc,0.80
5,4,OK,OK,0.00
6,1,OK,OK,0.00
6,2,OK,OK,0.00
6,3,NG,outsc,0.75
6,4,NG,outsc,0.83
7,1,OK,OK,0.00
7,2,OK,OK,0.00
7,3,NG,outsc,0.61
7,4,OK,OK,0.00
8,1,NG,bp,0.84
8,2,NG,bp,0.44
8,3,NG,outsc,0.75
8,4,NG,outsc,0.81
9,1,OK,OK,0.00
9,2,OK,OK,0.00
9,3,NG,outsc,0.83
9,4,NG,outsc,0.83
10,1,OK,bp,0.39
10,2,NG,SC,0.62
10,3,NG,outsc,0.89
10,4,NG,outsc,0.79
11,1,NG,bp,0.82
11,2,NG,SC,0.76
11,3,NG,outsc,0.84
11,4,NG,outsc,0.84
12,1,OK,OK,0.00
12,2,OK,OK,0.00
12,3,NG,outsc,0.60
12,4,OK,OK,0.00
13,1,OK,OK,0.00
13,2,OK,OK,0.00
13,3,NG,outsc,0.57
13,4,NG,outsc,0.68
14,1,OK,OK,0.00
14,2,OK,OK,0.00
14,3,NG,outsc,0.82
14,4,NG,outsc,0.83
15,1,OK,OK,0.00
15,2,OK,OK,0.00
15,3,NG,outsc,0.81
15,4,NG,outsc,0.78
16,1,NG,bp,0.74
16,2,NG,bp,0.40
16,3,NG,outsc,0.80
16,4,NG,outsc,0.85
17,1,OK,OK,0.00
17,2,NG,bp,0.77
17,3,NG,outsc,0.84
17,4,OK,OK,0.00
18,1,NG,WP,0.81
18,2,NG,SC,0.92
18,3,NG,outsc,0.88
18,4,NG,outsc,0.82
19,1,NG,deform,1.00
19,2,OK,OK,0.00
19,3,NG,outsc,0.73
19,4,NG,outsc,0.84
20,1,OK,OK,0.00
20,2,OK,OK,0.00
20,3,NG,outsc,0.87
20,4,NG,outsc,0.83
21,1,NG,bp,0.73
21,2,NG,SC,0.81
21,3,NG,outsc,0.81
21,4,NG,outsc,0.80
22,1,OK,OK,0.00
