
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.83,bp
0,3+4,OK,0.00,OK
1,1+2,NG,0.85,bp
1,3+4,OK,0.00,OK
2,1+2,NG,0.91,SC
2,3+4,OK,0.00,OK
3,1+2,NG,0.91,SC
3,3+4,OK,0.00,OK
4,1+2,NG,0.84,bp
4,3+4,OK,0.00,OK
5,1+2,NG,0.88,SC
5,3+4,OK,0.00,OK
6,1+2,NG,0.57,SC
6,3+4,OK,0.00,OK
7,1+2,NG,0.84,SC
7,3+4,OK,0.00,OK
8,1+2,NG,0.91,SC
8,3+4,OK,0.00,OK
9,1+2,NG,0.91,SC
9,3+4,OK,0.00,OK
10,1+2,NG,0.85,SC
10,3+4,OK,0.00,OK
11,1+2,NG,0.90,SC
11,3+4,OK,0.00,OK
12,1+2,NG,0.77,SC
12,3+4,OK,0.00,OK
13,1+2,NG,0.87,bp
13,3+4,OK,0.00,OK
14,1+2,NG,0.89,SC
14,3+4,OK,0.00,OK
15,1+2,NG,0.87,SC
15,3+4,OK,0.00,OK
16,1+2,NG,0.75,SC
16,3+4,OK,0.00,OK
17,1+2,NG,0.79,bp
17,3+4,OK,0.00,OK
18,1+2,NG,0.91,SC
18,3+4,OK,0.00,OK
19,1+2,NG,0.41,bp
19,3+4,OK,0.00,OK
20,1+2,NG,0.88,bp
20,3+4,OK,0.00,OK
21,1+2,NG,0.86,SC
21,3+4,OK,0.00,OK
22,1+2,NG,0.91,SC
22,3+4,OK,0.00,OK
23,1+2,NG,0.86,bp
23,3+4,OK,0.00,OK
24,1+2,NG,0.89,SC
24,3+4,OK,0.00,OK
25,1+2,NG,0.93,SC
25,3+4,OK,0.00,OK
26,1+2,NG,0.87,SC
26,3+4,OK,0.00,OK
27,1+2,NG,0.90,SC
27,3+4,OK,0.00,OK
28,1+2,NG,0.71,SC
28,3+4,OK,0.00,OK
29,1+2,NG,0.92,SC
29,3+4,OK,0.00,OK
30,1+2,NG,0.89,SC
30,3+4,OK,0.00,OK
31,1+2,NG,0.87,SC
31,3+4,OK,0.00,OK
32,1+2,NG,1.00,deform
32,3+4,OK,0.00,OK
33,1+2,NG,0.90,SC
33,3+4,OK,0.00,OK
34,1+2,NG,0.87,bp
34,3+4,OK,0.00,OK
35,1+2,NG,0.91,SC
35,3+4,OK,0.00,OK
36,1+2,NG,0.79,bp
36,3+4,OK,0.00,OK
37,1+2,NG,0.84,bp
37,3+4,OK,0.00,OK
38,1+2,NG,0.86,SC
38,3+4,OK,0.00,OK
39,1+2,NG,0.88,SC
39,3+4,OK,0.00,OK
40,1+2,NG,0.84,bp
40,3+4,OK,0.00,OK
41,1+2,NG,0.91,SC
41,3+4,OK,0.00,OK
42,1+2,NG,0.92,SC
42,3+4,OK,0.00,OK
43,1+2,NG,0.91,SC
43,3+4,OK,0.00,OK
44,1+2,NG,0.88,bp
44,3+4,OK,0.00,OK
45,1+2,NG,0.83,SC
45,3+4,OK,0.00,OK
46,1+2,NG,0.89,SC
46,3+4,OK,0.00,OK
47,1+2,NG,0.90,SC
47,3+4,OK,0.00,OK
48,1+2,NG,0.91,SC
48,3+4,OK,0.00,OK
49,1+2,NG,0.90,bp
49,3+4,OK,0.00,OK
50,1+2,NG,0.89,SC
50,3+4,OK,0.00,OK
51,1+2,NG,0.84,bp
51,3+4,OK,0.00,OK
52,1+2,NG,0.86,bp
52,3+4,OK,0.00,OK
53,1+2,NG,0.92,SC
53,3+4,OK,0.00,OK
54,1+2,NG,0.90,SC
54,3+4,OK,0.00,OK
55,1+2,NG,0.82,bp
55,3+4,OK,0.00,OK
56,1+2,NG,0.87,bp
56,3+4,OK,0.00,OK
57,1+2,NG,0.85,SC
57,3+4,OK,0.00,OK
58,1+2,NG,0.92,SC
58,3+4,OK,0.00,OK
59,1+2,NG,0.88,bp
59,3+4,OK,0.00,OK
60,1+2,NG,0.91,SC
60,3+4,OK,0.00,OK
61,1+2,NG,0.89,SC
61,3+4,OK,0.00,OK
62,1+2,NG,0.88,SC
62,3+4,OK,0.00,OK

==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,SC,0.67
0,2,NG,bp,0.83
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,bp,0.85
1,2,NG,bp,0.78
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,SC,0.91
2,2,NG,SC,0.91
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,NG,SC,0.91
3,2,NG,SC,0.90
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,OK,OK,0.00
4,2,NG,bp,0.84
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,SC,0.84
