
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,0.79,bp
0,3+4,OK,0.00,OK
1,1+2,NG,0.71,SC
1,3+4,OK,0.00,OK
2,1+2,NG,0.80,bp
2,3+4,OK,0.00,OK
3,1+2,NG,0.72,wp
3,3+4,OK,0.00,OK
4,1+2,NG,0.79,bp
4,3+4,OK,0.00,OK
5,1+2,NG,0.71,wp
5,3+4,OK,0.00,OK
6,1+2,NG,0.74,wp
6,3+4,OK,0.00,OK
7,1+2,NG,0.61,wp
7,3+4,OK,0.00,OK
8,1+2,OK,0.38,wp
8,3+4,OK,0.00,OK
9,1+2,OK,0.00,OK
9,3+4,OK,0.00,OK
10,1+2,OK,0.00,OK
10,3+4,OK,0.00,OK
11,1+2,OK,0.00,OK
11,3+4,OK,0.00,OK
12,1+2,NG,0.82,bp
12,3+4,OK,0.00,OK
13,1+2,NG,0.78,SC
13,3+4,OK,0.00,OK
14,1+2,NG,0.61,bp
14,3+4,OK,0.00,OK
15,1+2,NG,0.82,bp
15,3+4,OK,0.00,OK
16,1+2,NG,0.71,wp
16,3+4,OK,0.00,OK
17,1+2,NG,0.41,wp
17,3+4,OK,0.00,OK
18,1+2,NG,0.67,wp
18,3+4,OK,0.00,OK
19,1+2,NG,0.53,wp
19,3+4,OK,0.00,OK
20,1+2,NG,0.73,SC
20,3+4,OK,0.00,OK
21,1+2,NG,0.74,SC
21,3+4,OK,0.00,OK
22,1+2,NG,0.77,bp
22,3+4,OK,0.00,OK
23,1+2,NG,0.78,wp
23,3+4,OK,0.00,OK
24,1+2,NG,0.75,SC
24,3+4,OK,0.00,OK
25,1+2,NG,0.58,wp
25,3+4,OK,0.00,OK
26,1+2,NG,0.72,wp
26,3+4,OK,0.00,OK
27,1+2,NG,0.67,SC
27,3+4,OK,0.00,OK
28,1+2,NG,0.80,SC
28,3+4,OK,0.00,OK
29,1+2,NG,0.51,bp
29,3+4,OK,0.00,OK
30,1+2,NG,0.69,SC
30,3+4,OK,0.00,OK
31,1+2,NG,0.59,wp
31,3+4,OK,0.00,OK
32,1+2,NG,0.42,wp
32,3+4,OK,0.00,OK
33,1+2,NG,0.70,bp
33,3+4,OK,0.00,OK
34,1+2,NG,0.73,bp
34,3+4,OK,0.00,OK
35,1+2,OK,0.00,OK
35,3+4,OK,0.00,OK
36,1+2,NG,0.75,wp
36,3+4,OK,0.00,OK

==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,bp,0.79
0,2,NG,wp,0.75
0,3,OK,OK,0.00
0,4,OK,OK,0.00
1,1,NG,SC,0.42
1,2,NG,SC,0.71
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,bp,0.80
2,2,NG,SC,0.49
2,3,OK,OK,0.00
2,4,OK,OK,0.00
3,1,OK,OK,0.00
3,2,NG,wp,0.72
3,3,OK,OK,0.00
3,4,OK,OK,0.00
4,1,NG,bp,0.79
4,2,NG,SC,0.56
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,NG,bp,0.51
5,2,NG,wp,0.71
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,bp,0.51
6,2,NG,wp,0.74
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,NG,wp,0.61
7,2,NG,wp,0.57
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,OK,OK,0.00
8,2,OK,wp,0.38
8,3,OK,OK,0.00
8,4,OK,OK,0.00
9,1,OK,OK,0.00
9,2,OK,OK,0.00
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,OK,0.00
10,2,OK,OK,0.00
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,OK,OK,0.00
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,NG,bp,0.82
12,2,NG,SC,0.64
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,NG,SC,0.78
13,2,OK,OK,0.00
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,bp,0.61
14,2,NG,wp,0.53
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,NG,bp,0.82
15,2,NG,wp,0.78
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,wp,0.71
16,2,NG,SC,0.71
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,OK,OK,0.00
17,2,NG,wp,0.41
17,3,OK,OK,0.00
17,4,OK,OK,0.00
18,1,OK,bp,0.27
18,2,NG,wp,0.67
18,3,OK,OK,0.00
18,4,OK,OK,0.00
19,1,OK,bp,0.33
19,2,NG,wp,0.53
19,3,OK,OK,0.00
19,4,OK,OK,0.00
20,1,NG,bp,0.41
