
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,OK,0.00,OK
0,3+4,NG,0.82,outsc
1,1+2,OK,0.00,OK
1,3+4,NG,0.77,outsc
2,1+2,NG,0.78,SC
2,3+4,NG,0.85,outsc
3,1+2,OK,0.00,OK
3,3+4,NG,0.45,outsc
4,1+2,NG,0.75,wp
4,3+4,NG,0.79,outsc
5,1+2,OK,0.00,OK
5,3+4,NG,0.75,outsc
6,1+2,OK,0.00,OK
6,3+4,NG,0.78,outsc
7,1+2,OK,0.00,OK
7,3+4,NG,0.82,outsc
8,1+2,OK,0.00,OK
8,3+4,NG,0.83,outsc
9,1+2,OK,0.00,OK
9,3+4,NG,0.79,outsc
10,1+2,OK,0.00,OK
10,3+4,NG,0.67,outsc
11,1+2,OK,0.00,OK
11,3+4,NG,0.84,outsc
12,1+2,OK,0.00,OK
12,3+4,NG,0.83,outsc
13,1+2,OK,0.00,OK
13,3+4,NG,0.85,outsc
14,1+2,OK,0.37,bp
14,3+4,NG,0.86,outsc
15,1+2,OK,0.00,OK
15,3+4,NG,0.88,outsc
16,1+2,OK,0.00,OK
16,3+4,NG,0.79,outsc
17,1+2,OK,0.00,OK
17,3+4,NG,0.56,outsc
18,1+2,OK,0.00,OK
18,3+4,NG,0.82,outsc
19,1+2,OK,0.00,OK
19,3+4,NG,0.84,outsc
20,1+2,OK,0.00,OK
20,3+4,NG,0.81,outsc
21,1+2,OK,0.00,OK
21,3+4,NG,0.87,outsc
22,1+2,OK,0.00,OK
22,3+4,NG,0.80,outsc
23,1+2,OK,0.00,OK
23,3+4,NG,0.88,outsc
24,1+2,NG,0.82,wp
24,3+4,NG,0.86,outsc
25,1+2,NG,0.77,bp
25,3+4,NG,0.83,outsc
26,1+2,OK,0.00,OK
26,3+4,NG,0.81,outsc
27,1+2,NG,0.67,SC
27,3+4,NG,0.82,outsc
28,1+2,OK,0.00,OK
28,3+4,NG,0.87,outsc
29,1+2,OK,0.00,OK
29,3+4,NG,0.89,outsc
30,1+2,OK,0.00,OK
30,3+4,NG,0.82,outsc
31,1+2,OK,0.00,OK
31,3+4,NG,0.84,outsc
32,1+2,OK,0.00,OK
32,3+4,NG,0.80,outsc
33,1+2,OK,0.00,OK
33,3+4,OK,0.00,OK
34,1+2,OK,0.00,OK
34,3+4,NG,0.76,outsc
35,1+2,OK,0.00,OK
35,3+4,NG,0.86,outsc
36,1+2,OK,0.00,OK
36,3+4,NG,0.84,outsc
37,1+2,OK,0.00,OK
37,3+4,NG,0.78,outsc
38,1+2,NG,0.69,wp
38,3+4,NG,0.75,outsc
39,1+2,NG,0.72,wp
39,3+4,NG,0.83,outsc
40,1+2,OK,0.00,OK
40,3+4,NG,0.80,outsc
41,1+2,OK,0.00,OK
41,3+4,NG,0.73,outsc
42,1+2,OK,0.00,OK
42,3+4,NG,0.81,outsc
43,1+2,OK,0.39,SC
43,3+4,NG,0.85,outsc
44,1+2,NG,0.65,wp
44,3+4,NG,0.90,outsc
45,1+2,NG,0.74,bp
45,3+4,NG,0.85,outsc
46,1+2,OK,0.00,OK
46,3+4,NG,0.85,outsc
47,1+2,OK,0.00,OK
47,3+4,NG,0.84,outsc
48,1+2,OK,0.00,OK
48,3+4,NG,0.79,outsc
49,1+2,OK,0.00,OK
49,3+4,NG,0.70,outsc
50,1+2,OK,0.00,OK
50,3+4,NG,0.82,outsc
51,1+2,OK,0.00,OK
51,3+4,NG,0.88,outsc
52,1+2,OK,0.00,OK
52,3+4,NG,0.89,outsc
53,1+2,OK,0.00,OK
53,3+4,NG,0.88,outsc
54,1+2,NG,0.86,wp
54,3+4,NG,0.85,outsc
55,1+2,OK,0.00,OK
55,3+4,NG,0.63,outsc
56,1+2,OK,0.00,OK
56,3+4,OK,0.00,OK
57,1+2,OK,0.00,OK
57,3+4,NG,0.84,outsc
58,1+2,OK,0.00,OK
58,3+4,NG,0.76,outsc
59,1+2,NG,0.56,wp
59,3+4,NG,0.77,outsc
60,1+2,NG,0.59,bp
60,3+4,NG,0.82,outsc
61,1+2,OK,0.00,OK
61,3+4,NG,0.84,outsc
62,1+2,OK,0.00,OK
62,3+4,OK,0.00,OK
