==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,27,97,bp,5
1,27,97,SC,3
1,27,97,deform,89
2,36,88,bp,12
2,36,88,SC,5
2,36,88,WP,3
2,36,88,deform,68
3,119,5,outsc,5
4,110,14,outsc,14

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,deform,1.00
1,NG,deform,1.00
2,NG,deform,1.00
3,NG,deform,1.00
4,NG,deform,1.00
5,NG,deform,1.00
6,NG,deform,1.00
7,NG,deform,1.00
8,NG,deform,1.00
9,NG,deform,1.00
10,NG,deform,1.00
11,NG,deform,1.00
12,NG,deform,1.00
13,NG,deform,1.00
14,NG,deform,1.00
15,NG,SC,0.80
16,NG,deform,1.00
17,NG,deform,1.00
18,NG,deform,1.00
19,NG,deform,1.00
20,NG,deform,1.00
21,NG,deform,1.00
22,NG,deform,1.00
23,NG,deform,1.00
24,NG,deform,1.00
25,NG,deform,1.00
26,NG,deform,1.00
27,NG,deform,1.00
28,NG,deform,1.00
29,NG,deform,1.00
30,NG,deform,1.00
31,NG,deform,1.00
32,NG,deform,1.00
33,NG,deform,1.00
34,NG,deform,1.00
35,NG,deform,1.00
36,NG,deform,1.00
37,NG,deform,1.00
38,OK,-,-
39,NG,deform,1.00
40,NG,deform,1.00
41,NG,deform,1.00
42,NG,deform,1.00
43,NG,deform,1.00
44,NG,deform,1.00
45,NG,deform,1.00
46,NG,deform,1.00
47,NG,deform,1.00
48,NG,deform,1.00
49,NG,outsc,0.62
50,NG,deform,1.00
51,NG,deform,1.00
52,NG,deform,1.00
53,NG,deform,1.00
54,NG,deform,1.00
55,NG,deform,1.00
56,NG,deform,1.00
57,NG,deform,1.00
58,NG,deform,1.00
59,NG,deform,1.00
60,NG,deform,1.00
61,NG,deform,1.00
62,NG,deform,1.00
63,NG,deform,1.00
64,OK,-,-
65,OK,-,-
66,NG,deform,1.00
67,NG,deform,1.00
68,NG,deform,1.00
69,NG,deform,1.00
70,NG,deform,1.00
71,NG,deform,1.00
72,NG,deform,1.00
73,NG,deform,1.00
74,NG,deform,1.00
75,NG,deform,1.00
76,NG,deform,1.00
77,NG,deform,1.00
78,NG,deform,1.00
79,NG,deform,1.00
80,NG,deform,1.00
81,NG,deform,1.00
82,NG,deform,1.00
83,NG,deform,1.00
84,NG,deform,1.00
85,NG,deform,1.00
86,NG,deform,1.00
87,NG,deform,1.00
88,NG,deform,1.00
89,OK,-,-
90,NG,deform,1.00
91,NG,deform,1.00
92,NG,deform,1.00
93,NG,deform,1.00
94,NG,deform,1.00
95,NG,deform,1.00
96,NG,deform,1.00
97,NG,deform,1.00
98,NG,deform,1.00
99,NG,bp,0.52
100,NG,deform,1.00
101,NG,deform,1.00
102,NG,deform,1.00
103,NG,outsc,0.58
104,NG,deform,1.00
105,NG,deform,1.00
106,NG,deform,1.00
107,NG,deform,1.00
108,NG,deform,1.00
109,NG,deform,1.00
110,NG,deform,1.00
111,NG,deform,1.00
112,NG,deform,1.00
113,NG,deform,1.00
114,NG,deform,1.00
115,OK,-,-
116,NG,deform,1.00
117,NG,deform,1.00
118,NG,deform,1.00
119,NG,deform,1.00
120,NG,deform,1.00
121,NG,deform,1.00
122,NG,deform,1.00
123,NG,deform,1.00

==== 總體統計 ====
總樣品數,124
OK數量,5
NG數量,119
不良率(%),95.97

==== 瑕疵統計 ====
瑕疵類型,數量,比例
deform,115,0.97
outsc,2,0.02
SC,1,0.01
bp,1,0.01
