
==== 樣品級監控 ====
樣品ID,站點,結果,瑕疵名稱,分數
0,1,NG,bp,0.92
0,2,NG,bp,0.89
0,3,OK,OK,0.00
0,4,OK,outsc,0.26
1,1,OK,bp,0.44
1,2,OK,OK,0.00
1,3,OK,OK,0.00
1,4,OK,OK,0.00
2,1,NG,SC,0.53
2,2,NG,bp,0.68
2,3,NG,outsc,0.54
2,4,OK,outsc,0.31
3,1,OK,OK,0.00
3,2,NG,SC,0.73
3,3,NG,outsc,0.66
3,4,OK,OK,0.00
4,1,NG,SC,0.86
4,2,NG,SC,0.89
4,3,OK,OK,0.00
4,4,OK,OK,0.00
5,1,OK,OK,0.00
5,2,NG,SC,0.90
5,3,OK,OK,0.00
5,4,OK,OK,0.00
6,1,NG,bp,0.84
6,2,NG,bp,0.77
6,3,OK,OK,0.00
6,4,OK,OK,0.00
7,1,OK,OK,0.00
7,2,OK,OK,0.00
7,3,OK,OK,0.00
7,4,OK,OK,0.00
8,1,NG,bp,0.56
8,2,OK,OK,0.00
8,3,OK,outsc,0.36
8,4,OK,OK,0.00
9,1,OK,OK,0.00
9,2,OK,OK,0.00
9,3,OK,OK,0.00
9,4,OK,OK,0.00
10,1,OK,bp,0.46
10,2,NG,SC,0.88
10,3,OK,OK,0.00
10,4,OK,OK,0.00
11,1,OK,OK,0.00
11,2,OK,OK,0.00
11,3,OK,OK,0.00
11,4,OK,OK,0.00
12,1,OK,OK,0.00
12,2,OK,bp,0.48
12,3,OK,OK,0.00
12,4,OK,OK,0.00
13,1,OK,OK,0.00
13,2,OK,OK,0.00
13,3,OK,OK,0.00
13,4,OK,OK,0.00
14,1,NG,bp,0.68
14,2,OK,bp,0.26
14,3,OK,OK,0.00
14,4,OK,OK,0.00
15,1,OK,bp,0.47
15,2,OK,OK,0.00
15,3,OK,OK,0.00
15,4,OK,OK,0.00
16,1,NG,SC,0.66
16,2,OK,SC,0.40
16,3,OK,OK,0.00
16,4,OK,OK,0.00
17,1,NG,bp,0.54
17,2,OK,OK,0.00
17,3,NG,outsc,0.66
17,4,OK,OK,0.00
18,1,OK,bp,0.39
18,2,NG,WP,0.75
18,3,OK,OK,0.00
18,4,OK,OK,0.00
